upload_date	video_id	duration_s	transcript	title
20260726	hb7ot1_szWI	2232	YES	How to Start Trading with Just $50
20260719	lHGkup8CoTE	2331	YES	Seriously, you’re just 1 funded account away from changing your life
20260715	DejB31rwv8c	3747	YES	The Trading Industry Is About to Change Forever After This
20260628	MhWSZp4yS2c	5004	YES	This is Boring, But it’ll make your first $100,000 Trading
20260622	DsPLtzjTONI	1595	YES	I Tried to Make $1 Million Trading in 24 Hours to Prove It’s Not Luck
20260614	KPVVOa6c6dY	1692	YES	How Trading Dumb Made Me a Millionaire Trader (You Can Too)
20260609	WEyJ-zKAEoA	1523	YES	Price Action Trading Was Hard, Until I Discovered This
20260604	Rua24ytuHuY	1158	YES	How to Master Liquidity in Trading (Advanced Guide)
20260525	1dL3xmxA2e0	1639	YES	The Only Trading Strategy You Need To Be Profitable | Swing Trading
20260517	ithXhNOITTA	1806	YES	I Made $500,000 Day Trading and Blew It Repairing My Bugatti
20260510	6E99Y-c-BjE	2432	YES	This Is How Real People Get Profitable at Trading FAST
20260421	1fGzVHI7rN0	1273	YES	This trading strategy is boring, but it makes me $150,000/week
20260416	BcWxqfcjk9A	1323	YES	The ONLY confirmation YOU need to make $1000/day Trading Forex
20260405	M8wDlKjaQRk	1067	YES	⁠If I Wanted to Make $1,000/Day Trading, I’d Do This
20260324	MMRGV6Isxu8	1143	YES	Trading Has Changed This 2026: Don’t Trade Until You Watch This
20260310	PwHaMVHD9oQ	2085	YES	I never thought I'd spend $3,000,000 on this...
20260222	LwMsai2ppKc	3152	YES	How to Grow a Small Trading Account From Scratch in 2026
20260211	_ZVPrCyojrI	1912	no	How I Streaked the Superbowl (AGAIN)
20260202	pD1vAUMbSjw	1981	YES	Best Top Down Analysis Strategy for 2026 | Forex Trading Guide
20260128	noHsKFy7NgY	4317	YES	How to Start Day Trading for Beginners Step by Step in 2026 | Full Guide
20260119	1F6G_R0pCi4	2236	YES	Mat Armstrong Tries to REPAIR my Broken $6M Bugatti
20260111	ffcWRgTXb14	1693	YES	A Billionaire Weekend Spending $300,000 in St. Martin
20251216	EEpfmQo2Ars	1516	YES	Revealing the Counter-Trade Scalping Strategy That Made Me $350K
20251201	M5vbWrlyj00	2366	YES	I Bought a BROKEN $6M Bugatti & I Tried to Repair it
20251117	bGpZ1QhOJQI	6254	YES	STEAL This Easy Day Trading Strategy I Taught Ashton Hall (A Complete Beginner)
20251109	ig6Z2Gbk_LE	1463	YES	How To Trade Gold in 2026 | The Easiest Strategy to Become Profitable
