#,when,market,symbol,dir,level_swept,level_price,swept_at,confirmed_by,pullback_to,entry,stop,stop_move_pct_of_price,position_$,margin_$,leverage_x,targets,targets_hit,exit,exit_at,held,outcome,pl_$,pl_pct_of_margin,equity_after_$
1,Wed 01 Jul 01:53,crypto,SOL/USD,LONG,1h,73.09,01 Jul 01:05,5-minute break of structure,a fair value gap,73.8281,72.042577,2.418,2526.91,203.71,12.4,75.9 / 76.103,2,76.103,01 Jul 13:55,0 days 12:02:00,all 2 targets reached,71.02,34.9,2108.12
2,Wed 01 Jul 03:31,crypto,BTC/USD,SHORT,4h,58787.9745,01 Jul 02:25,5-minute break of structure,a fair value gap,58777.435,59148.434321,0.631,10019.68,210.81,47.5,57722.1,0,59148.434321,01 Jul 03:54,0 days 00:23:00,stopped out,-47.52,-22.5,2060.6
3,Wed 01 Jul 05:10,crypto,ADA/USD,SHORT,prev_day,0.146229,01 Jul 03:30,5-minute break of structure,a fair value gap,0.1508,0.152922,1.407,4392.54,206.06,21.3,0.14435 / 0.143596 / 0.143323 / 0.142857,0,0.152922,01 Jul 13:49,0 days 08:39:00,stopped out,-69.75,-33.8,1990.85
4,Wed 01 Jul 06:27,crypto,LINK/USD,SHORT,4h,7.224,01 Jul 04:50,5-minute break of structure,a fair value gap,7.234955,7.319542,1.169,5108.5,199.09,25.7,7.06835 / 7.05755 / 7.0063,0,7.319542,01 Jul 14:10,0 days 07:43:00,stopped out,-66.46,-33.4,1924.39
5,Wed 01 Jul 06:36,crypto,LTC/USD,SHORT,4h,42.7765,01 Jul 05:05,5-minute break of structure,the midpoint,42.31,42.920831,1.444,3998.86,192.44,20.8,41.27 / 41.1504 / 40.845 / 40.1294,2,42.31,01 Jul 15:07,0 days 08:31:00,stopped at break even,61.76,32.1,1986.15
6,Wed 01 Jul 11:23,crypto,XRP/USD,SHORT,1h,1.04245,01 Jul 09:00,5-minute break of structure,the midpoint,1.039095,1.051342,1.179,5055.57,198.61,25.5,1.0208 / 1.01018 / 1.00815,0,1.051342,01 Jul 14:10,0 days 02:47:00,stopped out,-66.11,-33.3,1920.04
7,Thu 02 Jul 02:04,crypto,ADA/USD,LONG,4h,0.15255,02 Jul 00:40,5-minute break of structure,a fair value gap,0.15501,0.152169,1.833,3142.96,192.0,16.4,0.15786 / 0.162135 / 0.163,2,0.161287,02 Jul 23:59,0 days 21:55:00,flat by the close,91.15,47.5,2011.19
8,Thu 02 Jul 12:45,crypto,DOT/USD,SHORT,prev_day,0.849183,02 Jul 11:55,5-minute gap inversion,the midpoint,0.848668,0.856091,0.875,6897.23,201.12,34.3,0.8393 / 0.838523 / 0.837068 / 0.83534,0,0.856091,02 Jul 13:24,0 days 00:39:00,stopped out,-67.37,-33.5,1943.82
9,Thu 02 Jul 14:16,crypto,XRP/USD,SHORT,prev_day,1.07263,02 Jul 14:00,5-minute break of structure,the midpoint,1.0999,1.10772,0.711,8201.91,194.38,42.2,1.0867 / 1.08025 / 1.0697 / 1.06675,2,1.08625,02 Jul 23:57,0 days 09:41:00,flat by the close,68.94,35.5,2012.77
10,Fri 03 Jul 01:33,crypto,ETH/USD,LONG,15m,1694.45,03 Jul 00:35,5-minute break of structure,a fair value gap,1708.675,1690.782,1.047,5766.22,201.28,28.6,1728.68 / 1732.24,2,1732.2355,03 Jul 08:43,0 days 07:10:00,all 2 targets reached,66.56,33.1,2079.33
