horizon,tag,n_events,mean_abs_move_%,median_abs_move_%,baseline_mean_abs_%,ratio_vs_baseline,source
1h,EIA,125,0.5704053946979429,0.4495145125681721,0.3254804156698208,1.7525029686473763,EIA
2h,EIA,125,0.7252510239161342,0.58874485296605,0.4767741670604605,1.5211625839286798,EIA
4h,EIA,125,0.9331464380952834,0.694010143243684,0.6928255442462826,1.3468707178088293,EIA
24h,EIA,125,2.0105437454742994,1.5416718763697546,1.874554447394251,1.0725448643378068,EIA
1h,EIA_random_control,125,0.26321520664740305,0.1615468812962817,0.3254804156698208,0.8086975251820318,EIA_control
2h,EIA_random_control,125,0.34142036788339203,0.23382037461396887,0.4767741670604605,0.7161050062515152,EIA_control
4h,EIA_random_control,125,0.5371307094805654,0.38491148844737033,0.6928255442462826,0.7752755566553252,EIA_control
24h,EIA_random_control,125,1.8062227345236204,1.2790995089492219,1.874554447394251,0.9635477577268475,EIA_control
1h,API,125,0.2575143287610574,0.09671138087934406,0.3254804156698208,0.7911822535654168,API
2h,API,125,0.32830446989428735,0.11383834564058226,0.4767741670604605,0.6885953404699767,API
4h,API,125,0.5237126638498086,0.2849302825333355,0.6928255442462826,0.7559084219672499,API
24h,API,125,1.808907681929873,1.4088973203919442,1.874554447394251,0.9649800700344388,API
1h,API_random_control,125,0.26321520664740305,0.1615468812962817,0.3254804156698208,0.8086975251820318,API_control
2h,API_random_control,125,0.34142036788339203,0.23382037461396887,0.4767741670604605,0.7161050062515152,API_control
4h,API_random_control,125,0.5371307094805654,0.38491148844737033,0.6928255442462826,0.7752755566553252,API_control
24h,API_random_control,125,1.8062227345236204,1.2790995089492219,1.874554447394251,0.9635477577268475,API_control
