instrument_tf,lookback,exit,tr_n,tr_exp,tr_win,tr_avg_lev,tr_med_hold_h,tr_skipped_no_structure,raw_signal_events_per_year
CL=F_1d,5,structure_trail,107,1.9944195206576387,0.40186915887850466,0.3066604184283482,648.0,0,68.37344179167546
CL=F_1d,5,ema20_cross,26,-470.6343062415393,0.2692307692307692,1.9812559137841377,156.0,0,68.37344179167546
CL=F_1d,5,ema50_cross,207,-48.2571992393438,0.2560386473429952,2.381129343086144,168.0,0,68.37344179167546
CL=F_1d,5,chandelier2.5,255,-3.050198864092524,0.3607843137254902,0.34739767976784375,240.0,0,68.37344179167546
CL=F_1d,5,chandelier3.0,186,17.318916473573353,0.3817204301075269,0.29726181583727446,312.0,0,68.37344179167546
CL=F_1d,5,chandelier3.5,144,-4.312557642730708,0.3680555555555556,0.22828017134409706,456.0,0,68.37344179167546
CL=F_1d,5,chandelier4.0,106,12.842896186136802,0.4056603773584906,0.20270098056418404,696.0,0,68.37344179167546
CL=F_1d,10,structure_trail,103,-1.528413488337003,0.36893203883495146,0.23431084867814425,648.0,0,49.19646630044369
CL=F_1d,10,ema20_cross,229,-41.54374613375382,0.2794759825327511,0.971370211725955,168.0,0,49.19646630044369
CL=F_1d,10,ema50_cross,175,-53.20363150186277,0.25142857142857145,1.3537326846237656,192.0,0,49.19646630044369
CL=F_1d,10,chandelier2.5,217,-8.796986133514904,0.33640552995391704,0.36005164506005805,216.0,0,49.19646630044369
CL=F_1d,10,chandelier3.0,174,-7.471636746592744,0.3620689655172414,0.28119032700066443,288.0,0,49.19646630044369
CL=F_1d,10,chandelier3.5,136,-4.000930853612558,0.3602941176470588,0.22688960976809955,444.0,0,49.19646630044369
CL=F_1d,10,chandelier4.0,104,8.072133006906911,0.41346153846153844,0.20491775949094487,660.0,0,49.19646630044369
CL=F_1d,15,structure_trail,98,-2.0663147308591623,0.3877551020408163,0.22352714807571705,660.0,0,40.01312592436087
CL=F_1d,15,ema20_cross,178,-10.561333041827552,0.3089887640449438,0.5684244883137698,216.0,0,40.01312592436087
CL=F_1d,15,ema50_cross,148,-58.05004494106268,0.27702702702702703,1.0571068656120575,252.0,0,40.01312592436087
CL=F_1d,15,chandelier2.5,171,17.256772599384863,0.391812865497076,0.5011083673901967,240.0,0,40.01312592436087
CL=F_1d,15,chandelier3.0,145,4.847900044947869,0.3724137931034483,0.31060737555637224,336.0,0,40.01312592436087
CL=F_1d,15,chandelier3.5,122,6.457588259673393,0.36885245901639346,0.23533813696512715,468.0,0,40.01312592436087
CL=F_1d,15,chandelier4.0,99,13.899523803255612,0.42424242424242425,0.2023899463633157,672.0,0,40.01312592436087
CL=F_1d,20,structure_trail,88,9.018458643280654,0.4318181818181818,0.2029636067720083,768.0,0,35.382870272554406
CL=F_1d,20,ema20_cross,157,-15.16363472624741,0.31210191082802546,0.4994776312130157,216.0,0,35.382870272554406
CL=F_1d,20,ema50_cross,132,-42.848551688915904,0.2878787878787879,0.7508201230759743,264.0,0,35.382870272554406
CL=F_1d,20,chandelier2.5,152,23.18611215401909,0.3618421052631579,0.5255125280157946,240.0,0,35.382870272554406
CL=F_1d,20,chandelier3.0,130,5.577790011890222,0.36923076923076925,0.3144789333611959,324.0,0,35.382870272554406
CL=F_1d,20,chandelier3.5,111,8.896395059022222,0.3963963963963964,0.236348436933657,504.0,0,35.382870272554406
CL=F_1d,20,chandelier4.0,95,11.190654433802859,0.42105263157894735,0.204517273226457,648.0,0,35.382870272554406
CL=F_1d,25,structure_trail,82,7.605847559876607,0.43902439024390244,0.2004929808140834,696.0,0,31.292811113458693
CL=F_1d,25,ema20_cross,132,-9.093490210660645,0.3333333333333333,0.45695317409320213,240.0,0,31.292811113458693
CL=F_1d,25,ema50_cross,110,-24.40627434168728,0.3090909090909091,0.5771313495885187,336.0,0,31.292811113458693
CL=F_1d,25,chandelier2.5,133,22.134447642262863,0.37593984962406013,0.5478651356079545,240.0,0,31.292811113458693
CL=F_1d,25,chandelier3.0,117,-2.9831862395382807,0.36752136752136755,0.320189730520663,312.0,0,31.292811113458693
CL=F_1d,25,chandelier3.5,102,-2.168227184405292,0.4117647058823529,0.24769549718051076,468.0,0,31.292811113458693
CL=F_1d,25,chandelier4.0,87,6.130163660408892,0.42528735632183906,0.21280007211359095,648.0,0,31.292811113458693
CL=F_1d,30,structure_trail,77,12.218040766593107,0.45454545454545453,0.19025333416248472,696.0,0,28.591828649904922
CL=F_1d,30,ema20_cross,122,-20.38158707371921,0.32786885245901637,0.43263500533001975,216.0,0,28.591828649904922
CL=F_1d,30,ema50_cross,97,-25.993244593203002,0.31958762886597936,0.4211104206572941,408.0,0,28.591828649904922
CL=F_1d,30,chandelier2.5,124,6.093463487080519,0.3709677419354839,0.5434553034860901,216.0,0,28.591828649904922
CL=F_1d,30,chandelier3.0,108,-8.708114846624788,0.3611111111111111,0.3135654513211562,288.0,0,28.591828649904922
CL=F_1d,30,chandelier3.5,94,-5.879293774253297,0.4148936170212766,0.24405598132885986,492.0,0,28.591828649904922
CL=F_1d,30,chandelier4.0,81,3.935463298966398,0.43209876543209874,0.2085628031146663,696.0,0,28.591828649904922
CL=F_1d,35,structure_trail,71,15.68574427752405,0.4507042253521127,0.18903673858985012,696.0,0,26.353871751531795
CL=F_1d,35,ema20_cross,109,-17.856864498253945,0.3577981651376147,0.4240824396510935,240.0,0,26.353871751531795
CL=F_1d,35,ema50_cross,86,-26.256319234120202,0.32558139534883723,0.37987951896350836,516.0,0,26.353871751531795
CL=F_1d,35,chandelier2.5,112,13.097250457268942,0.39285714285714285,0.5636546531838922,204.0,0,26.353871751531795
CL=F_1d,35,chandelier3.0,97,-3.727161780924491,0.35051546391752575,0.3199920291251115,288.0,0,26.353871751531795
CL=F_1d,35,chandelier3.5,86,-3.0742107421702896,0.43023255813953487,0.2498800302544896,528.0,0,26.353871751531795
CL=F_1d,35,chandelier4.0,75,2.223086281153936,0.38666666666666666,0.21571500596679447,648.0,0,26.353871751531795
CL=F_1d,40,structure_trail,68,14.422208425643698,0.47058823529411764,0.19332053072710192,732.0,0,24.733282273399535
CL=F_1d,40,ema20_cross,101,-15.793516444122394,0.37623762376237624,0.414880165743031,240.0,0,24.733282273399535
CL=F_1d,40,ema50_cross,79,-24.27921880993469,0.31645569620253167,0.34713114563627034,528.0,0,24.733282273399535
CL=F_1d,40,chandelier2.5,104,18.726116435055133,0.41346153846153844,0.5809459205602837,228.0,0,24.733282273399535
CL=F_1d,40,chandelier3.0,92,-6.189747819718097,0.358695652173913,0.32263027314258835,288.0,0,24.733282273399535
CL=F_1d,40,chandelier3.5,82,-5.81712378646876,0.4024390243902439,0.25102462562194683,516.0,0,24.733282273399535
CL=F_1d,40,chandelier4.0,73,-3.9349980546322545,0.3835616438356164,0.21692534561751656,600.0,0,24.733282273399535
CL=F_1d,45,structure_trail,64,12.428588554572361,0.46875,0.19249638203413194,768.0,0,23.38279104162265
CL=F_1d,45,ema20_cross,93,-8.232510012129985,0.3763440860215054,0.4112991894158227,288.0,0,23.38279104162265
CL=F_1d,45,ema50_cross,72,-14.78422585453247,0.3055555555555556,0.3245684935986307,600.0,0,23.38279104162265
CL=F_1d,45,chandelier2.5,98,21.202603949903875,0.3979591836734694,0.5967090935844613,240.0,0,23.38279104162265
CL=F_1d,45,chandelier3.0,86,-4.101596346677626,0.3372093023255814,0.3264254702056556,336.0,0,23.38279104162265
CL=F_1d,45,chandelier3.5,77,-4.453116902295564,0.37662337662337664,0.25173409837513117,528.0,0,23.38279104162265
CL=F_1d,45,chandelier4.0,68,-1.7298607994108144,0.36764705882352944,0.21744087318988295,636.0,0,23.38279104162265
CL=F_1d,50,structure_trail,62,13.952813392597319,0.46774193548387094,0.18265404445876304,768.0,0,22.495325375026407
CL=F_1d,50,ema20_cross,91,-11.638331726199624,0.3626373626373626,0.4039310333131464,264.0,0,22.495325375026407
CL=F_1d,50,ema50_cross,70,-14.404373370160263,0.3,0.3084501529045772,540.0,0,22.495325375026407
CL=F_1d,50,chandelier2.5,96,14.63579749096337,0.3958333333333333,0.6013432524505521,240.0,0,22.495325375026407
CL=F_1d,50,chandelier3.0,84,-8.347950068068192,0.3333333333333333,0.32665704325333633,288.0,0,22.495325375026407
CL=F_1d,50,chandelier3.5,75,-7.691501466418203,0.3466666666666667,0.2511448176447178,504.0,0,22.495325375026407
CL=F_1d,50,chandelier4.0,66,-3.930817889779668,0.3484848484848485,0.21672958992932287,672.0,0,22.495325375026407
CL=F_1d,55,structure_trail,61,11.74962638984768,0.45901639344262296,0.18140024914891484,768.0,0,21.569274244665117
CL=F_1d,55,ema20_cross,88,-9.961830628563337,0.3522727272727273,0.39914839758321785,264.0,0,21.569274244665117
CL=F_1d,55,ema50_cross,69,-16.80539466433745,0.2898550724637681,0.29597848179388736,528.0,0,21.569274244665117
CL=F_1d,55,chandelier2.5,93,11.900931573423039,0.3655913978494624,0.6114368898568988,216.0,0,21.569274244665117
CL=F_1d,55,chandelier3.0,83,-16.041523619291596,0.3132530120481928,0.3269590359137339,288.0,0,21.569274244665117
CL=F_1d,55,chandelier3.5,74,-14.650223420040481,0.33783783783783783,0.2512355947124697,504.0,0,21.569274244665117
CL=F_1d,55,chandelier4.0,65,-10.955629872127245,0.35384615384615387,0.21690133920611177,600.0,0,21.569274244665117
CL=F_1h,5,structure_trail,249,-11.098036106811643,0.3172690763052209,1.5679690322550919,22.0,0,1396.553319057816
CL=F_1h,5,ema20_cross,590,-16.940582667106902,0.24915254237288137,7.292649298479786,6.0,0,1396.553319057816
CL=F_1h,5,ema50_cross,392,-25.490860021138502,0.2423469387755102,7.543709625433124,7.5,0,1396.553319057816
CL=F_1h,5,chandelier2.5,593,-12.589264725441858,0.2984822934232715,2.2666319353536557,8.0,0,1396.553319057816
CL=F_1h,5,chandelier3.0,464,-14.27382110403441,0.32112068965517243,1.8309551776069197,13.0,0,1396.553319057816
CL=F_1h,5,chandelier3.5,369,-11.105228504941433,0.33875338753387535,1.4919538051806516,17.0,0,1396.553319057816
CL=F_1h,5,chandelier4.0,300,-9.849877628187011,0.3566666666666667,1.19336432334495,20.0,0,1396.553319057816
