family,config,symbol,tf,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,verdict,shape,side,thresh,stop_style
B-gapday,continuation long thresh0.3% stop=priorclose,SPY,1d,,,1322,-10.72260713558162,34.79576399394856,-141.752866332389,-142.7012470856032,383,-2.691258675145308,46.99738903394256,-10.307520725806532,-11.956095888576703,FAIL,continuation,long,0.3,priorclose
B-gapday,continuation long thresh0.3% stop=structure_k5,SPY,1d,,,1320,-5.496435919501973,46.36363636363636,-72.55295413742603,-86.93978285110956,383,0.8328219804362195,53.00261096605744,3.189708185070718,-7.704097516932029,FAIL,continuation,long,0.3,structure_k5
B-gapday,continuation long thresh0.3% stop=atr1.0x,SPY,1d,,,1322,-6.056844403310668,48.63842662632375,-80.07148301176703,-102.65295542235347,383,1.1093825632846355,54.83028720626631,4.248935217380158,-8.541066338766964,FAIL,continuation,long,0.3,atr1.0x
B-gapday,continuation long thresh0.5% stop=priorclose,SPY,1d,,,747,-13.213777542340779,37.21552878179384,-98.7069182412856,-101.14853772774362,193,-0.4217184545375257,53.8860103626943,-0.8139166172574236,-8.966207635999128,FAIL,continuation,long,0.5,priorclose
B-gapday,continuation long thresh0.5% stop=structure_k5,SPY,1d,,,746,-0.9730475509355594,48.257372654155496,-7.258934729979274,-37.14479107942052,193,4.813587805066654,58.03108808290155,9.290224463778642,-6.170468800846127,FAIL,continuation,long,0.5,structure_k5
B-gapday,continuation long thresh0.5% stop=atr1.0x,SPY,1d,,,747,-3.7926201679978564,50.20080321285141,-28.330872654943978,-54.76173226392708,193,5.5025095319090545,60.10362694300518,10.619843396584477,-7.869100284777844,FAIL,continuation,long,0.5,atr1.0x
B-gapday,continuation long thresh0.8% stop=priorclose,SPY,1d,,,353,-6.2877614595742255,44.47592067988669,-22.19579795229702,-28.98981799851957,73,-3.9843730894203895,53.42465753424658,-2.9085923552768853,-6.58097099406742,FAIL,continuation,long,0.8,priorclose
B-gapday,continuation long thresh0.8% stop=structure_k5,SPY,1d,,,352,4.495912989550163,50.28409090909091,15.825613723216572,-15.066388239156225,73,5.416069505934667,57.534246575342465,3.953730739332307,-5.822080359729164,SURVIVOR,continuation,long,0.8,structure_k5
B-gapday,continuation long thresh0.8% stop=atr1.0x,SPY,1d,,,353,0.6704490239585531,52.124645892351275,2.366685054573699,-26.786928811399125,73,0.9498970252876306,57.534246575342465,0.693424828459971,-6.348242394502381,SURVIVOR,continuation,long,0.8,atr1.0x
B-gapday,continuation short thresh0.3% stop=priorclose,SPY,1d,,,1026,-15.472510535352908,31.28654970760234,-158.7479580927208,-157.54995677893456,291,-13.841027755296583,35.051546391752574,-40.27739076791304,-44.19685134934998,FAIL,continuation,short,0.3,priorclose
