family,config,symbol,tf,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,verdict
A-options-expiry-week,"long monthly-expiry-week, calendar exit",SPY,1d,,,241,11.482560150761094,50.62240663900415,27.67296996333424,-23.510149479022115,80,21.83818069603401,63.74999999999999,17.470544556827218,-12.211430566249078,SURVIVOR
A-options-expiry-week,"long monthly-expiry-week, stop=1.0xATR",SPY,1d,1.31904997066182,,241,18.01545351590799,43.56846473029046,43.41724297333825,-16.586336123949188,80,37.02804298408241,60.0,29.622434387265926,-4.5079404370999825,SURVIVOR
A-options-expiry-week,"long quad-witching-week, calendar exit",SPY,1d,,,80,5.19011214639761,43.75,4.15208971711809,-24.151206014639563,27,-10.451039517432676,55.55555555555556,-2.8217806697068193,-11.913045131055835,FAIL
A-options-expiry-week,"long quad-witching-week, stop=1.0xATR",SPY,1d,1.31904997066182,,80,2.558208425414546,37.5,2.0465667403316345,-10.279343004798786,27,11.444993778897967,51.85185185185185,3.090148320302455,-5.905288507906734,SURVIVOR
A-options-expiry-week,"long monthly-expiry-week, calendar exit",ES,1d,,,185,13.985831207446598,57.83783783783784,25.873787733776197,-28.372621735936733,62,-3.9267581161160297,64.51612903225806,-2.4345900319919345,-20.518244654292623,FAIL
A-options-expiry-week,"long monthly-expiry-week, stop=1.0xATR",ES,1d,1.360174799166574,,185,15.560594139882026,45.40540540540541,28.78709915878175,-18.663739992176744,62,17.345488906171898,58.06451612903226,10.754203121826578,-11.930726942159351,SURVIVOR
A-options-expiry-week,"long quad-witching-week, calendar exit",ES,1d,,,61,24.584783862858412,60.65573770491803,14.996718156343626,-21.13368225563061,21,-72.42037806307677,66.66666666666666,-15.208279393246116,-18.522450976636513,FAIL
A-options-expiry-week,"long quad-witching-week, stop=1.0xATR",ES,1d,1.360174799166574,,61,19.93075792209454,44.26229508196721,12.157762332477674,-8.316109806248976,21,14.619252023294914,61.904761904761905,3.0700429248919248,-4.736834560922948,SURVIVOR
A-options-expiry-week,"long monthly-expiry-week, calendar exit",QQQ,1d,,,197,18.40672516202738,51.26903553299492,36.26124856919395,-32.939803753693475,66,23.754419325290847,65.15151515151516,15.677916754691967,-16.1635896316353,SURVIVOR
A-options-expiry-week,"long monthly-expiry-week, stop=1.0xATR",QQQ,1d,1.7041106187120867,,197,-0.4143871296570798,39.08629441624365,-0.8163426454244505,-36.59809703511455,66,61.59129004455617,62.121212121212125,40.65025142940708,-8.28796205730247,FAIL
A-options-expiry-week,"long quad-witching-week, calendar exit",QQQ,1d,,,66,-9.566922383068425,57.57575757575758,-6.314168772825157,-45.05649518184294,22,8.442414172618472,59.09090909090909,1.8573311179760577,-11.844837401513608,FAIL
A-options-expiry-week,"long quad-witching-week, stop=1.0xATR",QQQ,1d,1.7041106187120867,,66,-12.008758835750665,40.909090909090914,-7.925780831595441,-25.733420912515054,22,53.875570742236214,59.09090909090909,11.852625563291962,-4.8475292727497505,FAIL
