family,config,symbol,tf,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,verdict
B-engulfing,k=5 bullish-engulf@swinglow stop=none,SPY,1d,,,117,2.5429226699803915,56.41025641025641,2.9752195238770485,-13.852686233590594,28,1.0584583459610388,53.57142857142857,0.2963683368691017,-5.79002513446394,SURVIVOR
B-engulfing,k=5 bullish-engulf@swinglow stop=1.5xATR,SPY,1d,1.97857495599273,,117,-9.747693479826735,53.84615384615385,-11.404801371397276,-18.12282826174489,28,-30.162783332150735,50.0,-8.445579333002208,-9.171872254968758,FAIL
B-engulfing,k=5 bearish-engulf@swinghigh stop=none,SPY,1d,,,128,-39.947179556697535,22.65625,-51.13238983257284,-53.274466623090724,37,-51.15199863603291,16.216216216216218,-18.926239495332176,-19.445829310902845,FAIL
B-engulfing,k=5 bearish-engulf@swinghigh stop=1.5xATR,SPY,1d,1.97857495599273,,128,-34.03263224232147,22.65625,-43.56176927017148,-46.34493922634956,37,-48.035318800540864,16.216216216216218,-17.773067956200116,-18.300048278682137,FAIL
B-engulfing,k=8 bullish-engulf@swinglow stop=none,SPY,1d,,,121,5.484202341858044,54.54545454545454,6.635884833648231,-14.627480362431228,25,0.5134062270768481,52.0,0.12835155676920174,-5.790025134463959,SURVIVOR
B-engulfing,k=8 bullish-engulf@swinglow stop=1.5xATR,SPY,1d,1.97857495599273,,121,-13.292965305042848,50.413223140495866,-16.08448801910185,-19.580873339040927,25,-11.816336948433891,52.0,-2.9540842371084675,-4.734119357656998,FAIL
B-engulfing,k=8 bearish-engulf@swinghigh stop=none,SPY,1d,,,122,-34.542999415581995,25.40983606557377,-42.142459287010034,-46.52121357367617,35,-42.2169220641127,17.142857142857142,-14.77592272243945,-15.081125085274063,FAIL
B-engulfing,k=8 bearish-engulf@swinghigh stop=1.5xATR,SPY,1d,1.97857495599273,,122,-31.667123808940048,24.59016393442623,-38.633891046906854,-43.6685237312122,35,-42.2169220641127,17.142857142857142,-14.77592272243945,-15.081125085274063,FAIL
B-engulfing,k=5 bullish-engulf@swinglow stop=none,ES,1d,,,157,12.155786890005587,58.59872611464968,19.084585417308773,-10.119272129801864,49,47.12031744309952,65.3061224489796,23.08895554711876,-3.9230316485621004,SURVIVOR
B-engulfing,k=5 bullish-engulf@swinglow stop=1.5xATR,ES,1d,2.0402621987498613,,157,-1.5947104068849176,57.324840764331206,-2.5036953388093197,-15.779748119941104,49,9.772537126480046,61.224489795918366,4.788543191975214,-5.743284982072025,FAIL
B-engulfing,k=5 bearish-engulf@swinghigh stop=none,ES,1d,,,129,-14.235926124204525,27.906976744186046,-18.364344700223832,-31.809711167776356,32,-74.25072950882063,9.375,-23.7602334428226,-24.90056666979459,FAIL
B-engulfing,k=5 bearish-engulf@swinghigh stop=1.5xATR,ES,1d,2.0402621987498613,,129,-15.734983007707653,27.131782945736433,-20.298128079942867,-31.425214162811997,32,-69.26428517002876,9.375,-22.164571254409204,-23.32877111548356,FAIL
B-engulfing,k=8 bullish-engulf@swinglow stop=none,ES,1d,,,148,12.793065288284689,65.54054054054053,18.933736626661336,-17.845206457016864,48,-46.30597797276698,58.333333333333336,-22.226869426928154,-29.195648930577683,FAIL
B-engulfing,k=8 bullish-engulf@swinglow stop=1.5xATR,ES,1d,2.0402621987498613,,148,1.1294251703594775,64.1891891891892,1.6715492521320208,-9.704619668528652,48,1.8138251543172526,56.25,0.870636074072273,-5.398537153875251,SURVIVOR
B-engulfing,k=8 bearish-engulf@swinghigh stop=none,ES,1d,,,129,-6.335888885029796,33.33333333333333,-8.173296661688434,-32.947712497763895,29,-47.87598610664771,17.24137931034483,-13.884035970927833,-15.215107575438422,FAIL
B-engulfing,k=8 bearish-engulf@swinghigh stop=1.5xATR,ES,1d,2.0402621987498613,,129,-3.425072885411818,32.55813953488372,-4.418344022181242,-28.556248219724502,29,-42.22439396703139,17.24137931034483,-12.245074250439103,-13.631438134152926,FAIL
