entry_idx,exit_idx,entry_time,exit_time,direction,entry_price,exit_price,stop_price,stop_dist_pct,notional,leverage,pnl,reason,hold_hours
106,112,2020-04-12 00:00:00+00:00,2020-04-13 00:00:00+00:00,1,6876.56235,6715.889378575001,6717.904750000001,2.3072225906597,8668.431074212669,0.8668431074212669,-215.4216516159892,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.35,use=wick)",24.0
414,415,2020-06-02 08:00:00+00:00,2020-06-02 12:00:00+00:00,1,10125.53675,9354.825960025,9357.63325,7.583830062144593,2580.379114037553,0.263718989430313,-199.51460294040908,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.35,use=wick)",4.0
802,814,2020-08-06 00:00:00+00:00,2020-08-08 00:00:00+00:00,1,11748.02335,11545.5353,10979.93525,6.538019861868925,2932.0999164733844,0.30590301685444715,-55.78491178986606,time_cap,48.0
821,833,2020-08-09 04:00:00+00:00,2020-08-11 04:00:00+00:00,1,11742.02155,11750.97365,11293.832750000001,3.816964549856393,4993.118856192814,0.523976571926833,-6.041568493515855,time_cap,48.0
1176,1183,2020-10-07 08:00:00+00:00,2020-10-08 12:00:00+00:00,-1,10610.8158,10822.982921100001,10819.737000000001,1.9689456865324215,9673.438257133363,1.0157720518549547,-202.65181735277264,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.35,use=wick)",28.0
1312,1324,2020-10-30 00:00:00+00:00,2020-11-01 00:00:00+00:00,1,13441.53125,13678.8951,12846.878,4.423999311834352,4213.646879589043,0.45207963632587606,66.77953348782218,time_cap,48.0
1342,1354,2020-11-04 00:00:00+00:00,2020-11-06 00:00:00+00:00,1,14016.203599999999,15444.86515,13160.775500000002,6.103136943587188,3076.242616891942,0.32770033156497996,307.085082658328,time_cap,48.0
1415,1423,2020-11-16 04:00:00+00:00,2020-11-17 12:00:00+00:00,1,16003.7997,17040.555849134995,15656.509750000001,2.1700468420633787,8934.784149392532,0.9216390914853752,562.3658191262525,"target:target_fixed_r(stop=stop_structure(k=8,n_back=1,buffer_pct=0.35,use=wick),r=3.0)",32.0
1461,1473,2020-11-23 20:00:00+00:00,2020-11-25 20:00:00+00:00,1,18472.5401,18731.87875,17605.1655,4.695480942547794,4368.803114559952,0.4259414582811167,27.0201756262814,time_cap,48.0
1537,1549,2020-12-06 12:00:00+00:00,2020-12-08 12:00:00+00:00,1,19081.7228,18806.85625,18447.208000000002,3.325249017871684,6185.302816983175,0.601458714595785,-100.1775367536391,time_cap,48.0
1588,1589,2020-12-15 00:00:00+00:00,2020-12-15 04:00:00+00:00,-1,19270.2172,19500.34835,19490.478750000002,1.1430153989131109,17818.934953345506,1.749757703966012,-233.41892413290168,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.35,use=wick)",4.0
1650,1661,2020-12-25 08:00:00+00:00,2020-12-27 04:00:00+00:00,1,23659.59575,27049.6286762,22526.879,4.7875574966237515,4156.708135552056,0.4177495521276614,586.2441031712169,"target:target_fixed_r(stop=stop_structure(k=8,n_back=1,buffer_pct=0.35,use=wick),r=3.0)",44.0
1719,1731,2021-01-05 20:00:00+00:00,2021-01-07 20:00:00+00:00,1,33727.615249999995,39501.1461,27825.269500000002,17.500038784983456,1204.1668970507678,0.11428546099658778,192.63141934686973,time_cap,48.0
1763,1775,2021-01-13 04:00:00+00:00,2021-01-15 04:00:00+00:00,1,33824.1442,38420.4704,30320.505500000003,10.358395704805442,2071.5785390126102,0.19308009241934682,273.27282156808735,time_cap,48.0
1969,1981,2021-02-16 12:00:00+00:00,2021-02-18 12:00:00+00:00,1,49028.20405,51607.01325,45552.506250000006,7.0891803347628315,3103.9943751900196,0.2821200626245474,129.37741815511777,time_cap,48.0
2143,2150,2021-03-17 12:00:00+00:00,2021-03-18 16:00:00+00:00,1,54871.95665,59902.29851762,53189.184,3.0667261616594805,7259.706131725314,0.6521612607621122,650.5962046556814,"target:target_fixed_r(stop=stop_structure(k=8,n_back=1,buffer_pct=0.35,use=wick),r=3.0)",28.0
2214,2215,2021-03-29 08:00:00+00:00,2021-03-29 12:00:00+00:00,-1,55922.71815,57846.848849999995,56863.82925,1.682877962898164,14002.633375061374,1.1884403052944523,-498.1801410056257,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.35,use=wick)",4.0
2536,2548,2021-05-22 00:00:00+00:00,2021-05-24 00:00:00+00:00,-1,37216.331750000005,35257.07395,42548.4,14.327226782634202,1575.2080419901374,0.13959435628004208,81.99730489919337,time_cap,48.0
2571,2583,2021-05-27 20:00:00+00:00,2021-05-29 20:00:00+00:00,-1,38756.86945,34623.3839,41014.048500000004,5.823945746990683,3903.2570777237074,0.3434097924132327,412.67485635438567,time_cap,48.0
2887,2899,2021-07-19 12:00:00+00:00,2021-07-21 12:00:00+00:00,-1,31280.11315,31932.07675,32493.33,3.878556462318937,6073.833757171657,0.5156557650843703,-133.0812589654023,time_cap,48.0
3041,3053,2021-08-14 04:00:00+00:00,2021-08-16 04:00:00+00:00,1,47569.2665,47290.8085,43656.665,8.22506165824524,2831.777513625026,0.24315927139525986,-22.46093791405178,time_cap,48.0
3313,3325,2021-09-28 12:00:00+00:00,2021-09-30 12:00:00+00:00,-1,42077.87285,43152.941999999995,44498.70225,5.7532124036541035,4040.6335009298878,0.3476318723657269,-106.66271369212541,time_cap,48.0
