entry_idx,exit_idx,entry_time,exit_time,direction,entry_price,exit_price,stop_price,stop_dist_pct,notional,leverage,pnl,reason,hold_hours
24,48,2025-06-18 19:00:00+00:00,2025-06-19 19:00:00+00:00,1,103792.32836,104178.83697,95488.9420912,7.999999999999993,2500.0000000000023,0.2500000000000002,6.19415148950279,time_cap,24.0
65,67,2025-06-20 12:00:00+00:00,2025-06-20 14:00:00+00:00,1,105965.7802,104160.64242999999,104191.9,1.6740123053423237,11954.743844542178,1.1947343479001573,-218.06579454328605,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",2.0
68,69,2025-06-20 15:00:00+00:00,2025-06-20 16:00:00+00:00,1,104197.54989,104135.05011000001,104191.9,0.005422286806134225,195762.56713892432,20.0,-352.4404353429249,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",1.0
71,95,2025-06-20 18:00:00+00:00,2025-06-21 18:00:00+00:00,-1,103100.26064000001,102643.7839,106499.9,3.2974110238873844,5723.088722181421,0.606536457090557,18.613006929535903,time_cap,24.0
97,98,2025-06-21 20:00:00+00:00,2025-06-21 21:00:00+00:00,1,102750.81599999999,102229.322,102260.0,0.477676011838185,39584.57487597479,4.186938323119122,-248.45325295450934,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",1.0
99,114,2025-06-21 22:00:00+00:00,2025-06-22 13:00:00+00:00,1,101757.71815999999,100769.76000000001,93617.10070719999,7.999999999999999,2301.46191889458,0.25000000000000006,-25.212171685978337,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",15.0
115,138,2025-06-22 14:00:00+00:00,2025-06-23 13:00:00+00:00,-1,99550.42591,102182.04542,103347.0,3.8137195851199492,4814.530958024588,0.5244224058327288,-133.02324542904032,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",23.0
140,142,2025-06-23 15:00:00+00:00,2025-06-23 17:00:00+00:00,-1,101351.88531000001,102182.04542,102151.4,0.7888503381605044,22938.729492240935,2.5353351621344773,-215.7211328883807,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",2.0
144,168,2025-06-23 19:00:00+00:00,2025-06-24 19:00:00+00:00,1,103140.13276,105548.326,98125.0,4.862445515432739,3632.695152076748,0.4113156627981275,80.12592606619138,time_cap,24.0
170,172,2025-06-24 21:00:00+00:00,2025-06-24 23:00:00+00:00,-1,105901.12013,106056.60743999999,106024.8,0.11678806593186429,152618.62555101307,17.1250374260571,-407.120021779077,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",2.0
174,175,2025-06-25 01:00:00+00:00,2025-06-25 02:00:00+00:00,-1,106311.59695,106531.84997,106499.9,0.17712371500594573,96033.40839566896,11.29154274983936,-314.64893293505526,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",1.0
187,200,2025-06-25 14:00:00+00:00,2025-06-26 03:00:00+00:00,-1,107529.63143,108122.427,116132.0019444,8.00000000000001,2047.5620242317418,0.24999999999999967,-13.860071299885918,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",13.0
211,212,2025-06-26 14:00:00+00:00,2025-06-26 15:00:00+00:00,1,107428.91901,106973.29838,107005.4,0.39423184548713597,41480.09918135288,5.073156881907099,-225.6288146521797,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",1.0
