family,config,tf,stop%,target%,max_hold_h,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,mean_ret_pct_of_notional,thickness_x_taker_cost,verdict,edge,transfer_type,btc_number,eth_number,eth_test_exp,eth_test_n,transfer_verdict,eth_time_in_market_pct,chance_baseline_survivor_rate
1-CHoCH-confluence,k8 CHoCH thresh>=0 tgt2x (dose-response),1h,4.257518796992477,8.515037593984953,240.0,94,-65.06540722506311,30.851063829787233,-61.16148279155931,-79.80467025678587,33,4.615595257330686,39.39393939393939,1.5231464349191315,-28.82928114600952,52.0,84.15748031496064,-0.579636802559497,-3.2202044586638725,FAIL,1-CHoCH-confluence,unchanged-config,sealed +$99.52/t (16t) thresh>=2,,,,,,
1-CHoCH-confluence,k8 CHoCH thresh>=1 tgt2x (dose-response),1h,4.65133799567564,9.30267599135128,240.0,93,-69.50729248970296,31.182795698924732,-64.64178201542374,-76.98685839960548,31,-17.77915910254013,38.70967741935484,-5.51153932178744,-38.08874403265748,60.0,86.16935483870968,-0.7080951345799807,-3.933861858777671,FAIL,1-CHoCH-confluence,unchanged-config,sealed +$99.52/t (16t) thresh>=2,,,,,,
1-CHoCH-confluence,k8 CHoCH thresh>=2 tgt2x (dose-response),1h,4.7155348372893116,9.431069674578623,240.0,51,-70.9226687291946,31.372549019607842,-36.17056105188925,-55.13950203388421,17,-195.9574835408279,23.52941176470588,-33.312772201940746,-37.579458142429495,64.0,84.1470588235294,-1.077272572215474,-5.9848476234192995,FAIL,1-CHoCH-confluence,unchanged-config,sealed +$99.52/t (16t) thresh>=2,,,,,,
1-CHoCH-confluence,"k8 CHoCH thresh>=2 tgt2x hold10d (UNCHANGED CONFIG, full gauntlet)",1h,4.7155348372893116,9.431069674578623,240.0,51,-70.9226687291946,31.372549019607842,-36.17056105188925,-55.13950203388421,17,-195.9574835408279,23.52941176470588,-33.312772201940746,-37.579458142429495,64.0,84.1470588235294,-1.077272572215474,-5.9848476234192995,FAIL,1-CHoCH-confluence,unchanged-config-full-gauntlet,sealed +$99.52/t (16t),,-37.89614778737355,23.0,FAIL-ON-TEST,,
2-hidden-rsi-divergence,RSI14 k8 hidden buf0.35% tgt3x hold48h,4h,4.0,12.0,48.0,63,-54.24339877311914,38.095238095238095,-34.17334122706506,-48.18317553056325,19,-147.9411902230368,21.052631578947366,-28.108826142376998,-38.1513340942656,42.0,32.63414634146341,-0.8131299150942228,-4.517388417190127,FAIL,2-hidden-rsi-divergence,unchanged-config,"sealed +$52.03/t (24t), ~18/yr",,,,,,
2-hidden-rsi-divergence,"RSI14 k8 hidden buf0.35% tgt3x hold48h (UNCHANGED CONFIG, full gauntlet)",4h,4.0,12.0,48.0,63,-54.24339877311914,38.095238095238095,-34.17334122706506,-48.18317553056325,19,-147.9411902230368,21.052631578947366,-28.108826142376998,-38.1513340942656,42.0,32.63414634146341,-0.8131299150942228,-4.517388417190127,FAIL,2-hidden-rsi-divergence,unchanged-config-full-gauntlet,sealed +$52.03/t (24t),,-8.776327598618627,30.0,FAIL-ON-TEST,,
3-ride-vol-gated-trend,"vol_gated_ma(20,100,min_atr=1.5) stop-8% (UNCHANGED CONFIG)",4h,8.0,,,38,375.8548302349069,39.473684210526315,142.82483548926464,-38.6720294124383,15,-129.2526236594867,13.333333333333334,-19.387893548923007,-41.72394779773479,188.0,302.5660377358491,2.2788741435337534,12.660411908520851,FAIL,3-ride-vol-gated-trend,unchanged-config,R54 sealed: 8t +$401.30/t +32.1% DD-12.3%,,,,,44.97656582871751,
3-ride-vol-gated-trend,"vol_gated_ma(20,100,min_atr=2.7) structure-stop12.68% (RE-DERIVED)",4h,12.682279596732377,,,22,214.34648913225465,50.0,47.156227609096014,-50.66820866533453,5,26.3025855034728,40.0,1.315129275173632,-21.858632718210675,188.0,314.22222222222223,2.563893771429219,14.243854285717882,INSUFFICIENT-SAMPLE,3-ride-vol-gated-trend,re-derived-eth-native,"min_atr_pct=1.5 (18.7% selectivity), -8% swept SL","min_atr_pct=2.7 (19.4% selectivity), 12.68% structure stop",,,,,
4-rsi3-dipbuy,RSI3<15 champ4h stop1.5%/tgt4.5%/hold48h (UNCHANGED CONFIG),1h,1.5,4.5,48.0,198,-32.19779255794464,23.737373737373737,-63.75162926473039,-66.09649340122351,60,-51.94083017040757,21.666666666666668,-31.164498102244544,-31.571272609634082,7.5,13.205426356589147,-0.5126444285818721,-2.8480246032326226,FAIL,4-rsi3-dipbuy,unchanged-config,"R43/live: stop1.5%/tgt4.5%/hold48h, needs 48h room",,,,,,
4-rsi3-dipbuy,"RSI3<15 champ4h stop1.5%/tgt4.5%/hold48h (UNCHANGED CONFIG, full gauntlet)",1h,1.5,4.5,48.0,198,-32.19779255794464,23.737373737373737,-63.75162926473039,-66.09649340122351,60,-51.94083017040757,21.666666666666668,-31.164498102244544,-31.571272609634082,7.5,13.205426356589147,-0.5126444285818721,-2.8480246032326226,FAIL,4-rsi3-dipbuy,unchanged-config-full-gauntlet,live spec,,-30.267501340067724,64.0,FAIL-ON-TEST,,0.0
