family,config,tf,stop%,target%,max_hold_h,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,mean_ret_pct_of_notional,thickness_x_taker_cost,verdict,edge,transfer_type,btc_number
A-always-short,unconditional short stop1.5xATR(1.47%),1h,1.4662162668411391,,,1,10.033100163720519,100.0,0.10033100163719944,-15.274390027299706,1,-147.04968012601603,0.0,-1.4704968012601571,-2.8507739123099918,251.0,251.0,-0.6852884863573848,-3.807158257541027,FAIL,A-always-short,native-eth-retest,5x confirmed dead
A-always-short,unconditional short stop2.5xATR(2.44%),1h,2.4436937780685652,,,1,-86.80848229578805,0.0,-0.8680848229578819,-16.09406385479876,1,129.12454589082517,100.0,1.2912454589082412,-29.632304179316083,2440.0,2440.0,0.21164381111852104,1.1757989506584503,FAIL,A-always-short,native-eth-retest,5x confirmed dead
A-always-short,unconditional short stop1.5xATR(3.13%),4h,3.1347070001004393,,,1,-161.6543680044033,0.0,-1.6165436800440358,-16.394280692619866,1,-311.25361929758765,0.0,-3.112536192975879,-3.1125361929758766,260.0,260.0,-2.3652495113633636,-13.140275063129799,FAIL,A-always-short,native-eth-retest,5x confirmed dead
A-always-short,unconditional short stop2.5xATR(5.22%),4h,5.224511666834065,,,1,-351.22522855583156,0.0,-3.512252285558315,-18.005243424461433,1,-136.67263134702807,0.0,-1.366726313470279,-30.400446910443623,2462.0,2462.0,-2.4402213659240757,-13.556785366244865,FAIL,A-always-short,native-eth-retest,5x confirmed dead
B-pin-bar,wick2.0x hold24h tgt2.0x,1h,2.0269933458979192,4.0539866917958385,24.0,985,-9.001118068178892,38.88324873096447,-88.66101297156209,-91.22655963099237,327,-17.495218955021265,38.837920489296636,-57.209365982919536,-66.22491324521783,13.0,13.609756097560975,-0.20317952308552037,-1.128775128252891,FAIL,B-pin-bar,native-eth-retest,0/112 (combined pin/engulf/inside)
B-pin-bar,wick2.0x hold24h tgt3.0x,1h,2.0269933458979192,6.080980037693758,24.0,985,-8.327240192429525,37.56345177664975,-82.02331589543081,-89.52086136633224,327,-20.80893736276991,36.69724770642202,-68.0452251762576,-75.43127674714906,17.0,14.744664634146341,-0.18494310577253523,-1.0274616987363068,FAIL,B-pin-bar,native-eth-retest,0/112 (combined pin/engulf/inside)
B-pin-bar,wick2.0x hold48h tgt2.0x,1h,2.0269933458979192,4.0539866917958385,48.0,539,-15.208988622036061,33.58070500927644,-81.97644867277437,-84.30307799660845,179,-13.295596691034733,36.312849162011176,-23.799118076952176,-47.4371180599134,13.0,18.984679665738163,-0.2422759254817297,-1.345977363787387,FAIL,B-pin-bar,native-eth-retest,0/112 (combined pin/engulf/inside)
B-pin-bar,wick2.0x hold48h tgt3.0x,1h,2.0269933458979192,6.080980037693758,48.0,539,-16.403367165253137,28.385899814471244,-88.41414902071442,-89.9521974966789,179,-15.528496870601945,32.402234636871505,-27.796009398377485,-46.90911992430507,16.5,21.841225626740947,-0.301753346404871,-1.6764074800270612,FAIL,B-pin-bar,native-eth-retest,0/112 (combined pin/engulf/inside)
B-pin-bar,wick3.0x hold24h tgt2.0x,1h,2.052732813042421,4.105465626084842,24.0,920,-9.378015375701917,38.369565217391305,-86.27774145645765,-90.02185196469968,311,-11.123725449662052,39.87138263665595,-34.59478614844899,-48.88123071121339,14.0,13.714865962632006,-0.16719436163523238,-0.9288575646401799,FAIL,B-pin-bar,native-eth-retest,0/112 (combined pin/engulf/inside)
B-pin-bar,wick3.0x hold24h tgt3.0x,1h,2.052732813042421,6.158198439127263,24.0,920,-9.602990290086353,36.630434782608695,-88.34751066879446,-91.79828009351999,311,-13.469070876959472,38.263665594855304,-41.888810427343955,-58.611497765932455,17.0,15.04549147034931,-0.1853956035737964,-1.02997557540998,FAIL,B-pin-bar,native-eth-retest,0/112 (combined pin/engulf/inside)
B-pin-bar,wick3.0x hold48h tgt2.0x,1h,2.052732813042421,4.105465626084842,48.0,516,-14.805081756905038,34.10852713178294,-76.39422186563,-82.37137885371236,174,-15.265466788625291,34.48275862068966,-26.561912212208007,-41.49995562191391,12.0,18.542028985507248,-0.2187027141249626,-1.2150150784720144,FAIL,B-pin-bar,native-eth-retest,0/112 (combined pin/engulf/inside)
B-pin-bar,wick3.0x hold48h tgt3.0x,1h,2.052732813042421,6.158198439127263,48.0,516,-16.886350421996337,30.620155038759687,-87.13356817750109,-91.183916833773,174,-23.206957773623767,29.310344827586203,-40.38010652610535,-56.770947980016764,14.5,21.7,-0.32991586195791506,-1.8328658997661949,FAIL,B-pin-bar,native-eth-retest,0/112 (combined pin/engulf/inside)
C-engulfing,hold24h tgt2.0x,1h,2.28405896738715,4.5681179347743,24.0,1013,-9.176989914077442,38.4995064165844,-92.96290782960448,-94.11029339335182,341,-16.299749026905907,41.935483870967744,-55.582144181749136,-74.36947898568941,16.0,14.78138847858198,-0.2240218276990014,-1.2445657094388967,FAIL,C-engulfing,native-eth-retest,0/112 (combined pin/engulf/inside)
C-engulfing,hold24h tgt3.0x,1h,2.28405896738715,6.85217690216145,24.0,1013,-8.573361529244725,37.21618953603159,-86.84815229124906,-90.02906449684727,341,-14.322467653870532,41.05571847507331,-48.83961469969851,-73.19426158513333,20.0,15.824224519940916,-0.16001161553707197,-0.8889534196503998,FAIL,C-engulfing,native-eth-retest,0/112 (combined pin/engulf/inside)
C-engulfing,hold48h tgt2.0x,1h,2.28405896738715,4.5681179347743,48.0,547,-15.21393071497701,35.831809872029254,-83.22020101092424,-85.580414432037,182,-28.029957636121484,36.26373626373626,-51.0145228977411,-54.58176026807832,16.0,22.030178326474623,-0.30297127449064437,-1.6831737471702466,FAIL,C-engulfing,native-eth-retest,0/112 (combined pin/engulf/inside)
C-engulfing,hold48h tgt3.0x,1h,2.28405896738715,6.85217690216145,48.0,547,-13.768957663040027,33.45521023765997,-75.31619841682895,-81.98598666603067,182,-16.727061323818862,35.16483516483517,-30.44325160935033,-45.80634257655136,20.0,24.62962962962963,-0.1887192750616821,-1.0484404170093449,FAIL,C-engulfing,native-eth-retest,0/112 (combined pin/engulf/inside)
