tf,entry_n,ema_n,stop,stop_pct,tr_n,tr_exp,tr_ret,tr_dd,tr_bh_ret,va_n,va_exp,va_ret,va_dd,va_bh_ret,combined_n,combined_exp,trades_per_yr,avg_notional,edge_pct_notional,thickness_x_cost,worst_adverse_pct,p5_adverse_pct,median_move_pct,verdict,stage
1d,20,20,"none (pure EMA-exit, gold's own mechanism)",,16,1977.2369932796773,316.3579189247484,-51.52895559735451,-2.65633138270166,6,451.1900070699512,27.071400424197066,-26.536708191442937,14.551359612812842,22,1561.0423606770246,5.76848528356066,13374.235158829351,11.6720122095839,64.84451227546612,-19.847536726920673,-15.748527507985939,0.5622557919119824,INSUFFICIENT SAMPLE,1_unchanged_replay
1d,10,20,none,,29,677.9124317878216,196.59460521846825,-66.80476268262595,-2.65633138270166,12,98.6664656933984,11.8399758832078,-23.030215492395083,14.551359612812842,41,508.37702707725856,10.750358937544867,11336.850790275055,4.484287889837565,24.91271049909758,-19.847536726920673,-15.762798003834321,-3.5590141630215797,INSUFFICIENT SAMPLE,2_native_sweep
1d,10,20,3xATR,24.37612128919529,29,677.9124317878216,196.59460521846825,-66.80476268262595,-2.65633138270166,12,98.6664656933984,11.8399758832078,-23.030215492395083,14.551359612812842,41,508.37702707725856,10.750358937544867,11336.850790275055,4.484287889837565,24.91271049909758,-19.847536726920673,-15.762798003834321,-3.5590141630215797,INSUFFICIENT SAMPLE,2_native_sweep
1d,10,20,5xATR,30.0,29,677.9124317878216,196.59460521846825,-66.80476268262595,-2.65633138270166,12,98.6664656933984,11.8399758832078,-23.030215492395083,14.551359612812842,41,508.37702707725856,10.750358937544867,11336.850790275055,4.484287889837565,24.91271049909758,-19.847536726920673,-15.762798003834321,-3.5590141630215797,INSUFFICIENT SAMPLE,2_native_sweep
1d,15,20,none,,19,1831.9902429524138,348.0781461609586,-55.6693712063835,-2.65633138270166,8,157.91314287391538,12.633051429913223,-37.85019436691483,14.551359612812842,27,1335.9673984847109,7.079504666188083,15039.815647580928,8.882870839574379,49.34928244207988,-19.847536726920673,-15.137139224412671,-0.94122750084016,INSUFFICIENT SAMPLE,2_native_sweep
1d,15,20,3xATR,24.37612128919529,19,1831.9902429524138,348.0781461609586,-55.6693712063835,-2.65633138270166,8,157.91314287391538,12.633051429913223,-37.85019436691483,14.551359612812842,27,1335.9673984847109,7.079504666188083,15039.815647580928,8.882870839574379,49.34928244207988,-19.847536726920673,-15.137139224412671,-0.94122750084016,INSUFFICIENT SAMPLE,2_native_sweep
1d,15,20,5xATR,30.0,19,1831.9902429524138,348.0781461609586,-55.6693712063835,-2.65633138270166,8,157.91314287391538,12.633051429913223,-37.85019436691483,14.551359612812842,27,1335.9673984847109,7.079504666188083,15039.815647580928,8.882870839574379,49.34928244207988,-19.847536726920673,-15.137139224412671,-0.94122750084016,INSUFFICIENT SAMPLE,2_native_sweep
1d,20,20,none,,16,1977.2369932796773,316.3579189247484,-51.52895559735451,-2.65633138270166,6,451.1900070699512,27.071400424197066,-26.536708191442937,14.551359612812842,22,1561.0423606770246,5.76848528356066,13374.235158829351,11.6720122095839,64.84451227546612,-19.847536726920673,-15.748527507985939,0.5622557919119824,INSUFFICIENT SAMPLE,2_native_sweep
1d,20,20,3xATR,24.37612128919529,16,1977.2369932796773,316.3579189247484,-51.52895559735451,-2.65633138270166,6,451.1900070699512,27.071400424197066,-26.536708191442937,14.551359612812842,22,1561.0423606770246,5.76848528356066,13374.235158829351,11.6720122095839,64.84451227546612,-19.847536726920673,-15.748527507985939,0.5622557919119824,INSUFFICIENT SAMPLE,2_native_sweep
1d,20,20,5xATR,30.0,16,1977.2369932796773,316.3579189247484,-51.52895559735451,-2.65633138270166,6,451.1900070699512,27.071400424197066,-26.536708191442937,14.551359612812842,22,1561.0423606770246,5.76848528356066,13374.235158829351,11.6720122095839,64.84451227546612,-19.847536726920673,-15.748527507985939,0.5622557919119824,INSUFFICIENT SAMPLE,2_native_sweep
1d,30,20,none,,11,3437.9483972068283,378.1743236927511,-45.100050437919535,-2.65633138270166,5,242.1467770970372,12.107338854851868,-27.457272412972966,14.551359612812842,16,2439.2603909225186,4.195262024407753,17604.22041081599,13.856111398286306,76.97839665714613,-19.847536726920673,-16.864988055255612,3.6244370153635472,INSUFFICIENT SAMPLE,2_native_sweep
1d,30,20,3xATR,24.37612128919529,11,3437.9483972068283,378.1743236927511,-45.100050437919535,-2.65633138270166,5,242.1467770970372,12.107338854851868,-27.457272412972966,14.551359612812842,16,2439.2603909225186,4.195262024407753,17604.22041081599,13.856111398286306,76.97839665714613,-19.847536726920673,-16.864988055255612,3.6244370153635472,INSUFFICIENT SAMPLE,2_native_sweep
1d,30,20,5xATR,30.0,11,3437.9483972068283,378.1743236927511,-45.100050437919535,-2.65633138270166,5,242.1467770970372,12.107338854851868,-27.457272412972966,14.551359612812842,16,2439.2603909225186,4.195262024407753,17604.22041081599,13.856111398286306,76.97839665714613,-19.847536726920673,-16.864988055255612,3.6244370153635472,INSUFFICIENT SAMPLE,2_native_sweep
1d,55,20,none,,6,5947.849129741987,356.8709477845192,-23.084207794521486,-2.65633138270166,5,-191.7275818160844,-9.58637909080422,-31.615331197333184,14.551359612812842,11,3157.1324426701362,2.88424264178033,16111.784350762406,19.59517564248395,108.86208690268862,-16.08606447444717,-14.755658252427343,-3.044513391488144,FAIL,2_native_sweep
1d,55,20,3xATR,24.37612128919529,6,5947.849129741987,356.8709477845192,-23.084207794521486,-2.65633138270166,5,-191.7275818160844,-9.58637909080422,-31.615331197333184,14.551359612812842,11,3157.1324426701362,2.88424264178033,16111.784350762406,19.59517564248395,108.86208690268862,-16.08606447444717,-14.755658252427343,-3.044513391488144,FAIL,2_native_sweep
1d,55,20,5xATR,30.0,6,5947.849129741987,356.8709477845192,-23.084207794521486,-2.65633138270166,5,-191.7275818160844,-9.58637909080422,-31.615331197333184,14.551359612812842,11,3157.1324426701362,2.88424264178033,16111.784350762406,19.59517564248395,108.86208690268862,-16.08606447444717,-14.755658252427343,-3.044513391488144,FAIL,2_native_sweep
