tf,ma,gate,tr_n,tr_exp,va_n,va_exp,combined_n,combined_exp,thickness_x_cost,worst_adverse_pct,count_verdict,verdict
1h,20/100,ungated,153,-15.981308965937917,60,-43.67155783263681,213,-23.78137906923338,-1.0694596034177362,-14.590377371259263,FAIL,FAIL
1h,20/100,fixed1.0,145,-19.55921471972672,60,-55.47988196498595,205,-30.072580742729414,-1.4815735554112561,-14.590377371259263,FAIL,FAIL
1h,20/100,fixed1.5,106,-17.58415819891868,38,-164.05811765388046,144,-56.23700861064471,-3.0008362928581396,-14.590377371259263,FAIL,FAIL
1h,20/100,adaptive,102,47.8181073266294,45,-104.71763939611941,147,1.1234909829307838,0.04124992573724996,-14.590377371259263,FAIL,FAIL
1h,50/200,ungated,71,104.36915455424375,24,-60.74969431935256,95,62.654919049335206,1.776555929705329,-16.168606998338415,FAIL,FAIL
1h,50/200,fixed1.0,68,65.14202488772975,23,-45.984397834025,91,37.05512683717635,1.1247190179018223,-16.168606998338415,FAIL,FAIL
1h,50/200,fixed1.5,55,204.66637213022636,16,26.34035913216212,71,164.4802283560147,4.399662082429021,-13.136723951317137,SURVIVOR,"REJECT (thin, <5x cost)"
1h,50/200,adaptive,57,58.33955612467144,17,88.29295250636663,74,65.22074177992575,2.2483539855497603,-16.736687672968557,SURVIVOR,"REJECT (thin, <5x cost)"
4h,20/100,ungated,39,-81.32248666637592,12,-242.86801936233587,51,-119.33320024189588,-6.096096699367811,-19.84032173631509,FAIL,FAIL
4h,20/100,fixed1.0,39,-81.32248666637592,12,-242.86801936233587,51,-119.33320024189588,-6.096096699367811,-19.84032173631509,FAIL,FAIL
4h,20/100,fixed1.5,39,-88.24231792711558,12,-242.86801936233587,51,-124.62483591187329,-6.486239802136827,-19.84032173631509,FAIL,FAIL
4h,20/100,adaptive,27,-202.95364234283892,10,-188.7402612927048,37,-199.11218800496482,-12.632355881948278,-44.27496707793699,FAIL,FAIL
4h,50/200,ungated,20,31.147072739349188,7,-155.2136785371783,27,-17.168677591602385,-0.7221011009629319,-39.420826194664066,FAIL,FAIL
4h,50/200,fixed1.0,20,31.147072739349188,7,-155.2136785371783,27,-17.168677591602385,-0.7221011009629319,-39.420826194664066,FAIL,FAIL
4h,50/200,fixed1.5,20,4.6471486329640355,7,-155.2136785371783,27,-36.79825100373954,-1.58630798625037,-39.420826194664066,FAIL,FAIL
4h,50/200,adaptive,14,-274.78747357575804,5,-368.55127964017663,19,-299.462159382184,-14.97130423431642,-46.66883668905931,FAIL,FAIL
