edge,cell,train_n,train_exp,train_win,val_n,val_exp,val_win,val_pct_of_position,val_x_cost_12bps,val_x_cost_full,random_entry_control,avg_notional,train_med_hold_h,val_med_hold_h,skipped_no_structure,verdict
1 - 1h structure flip + 2 agreeing tools,BASELINE - enter on the break bar (what round 150 measured),74,-42.92208068926182,0.3108108108108108,34,70.60577539653816,0.4705882352941176,1.263068273462716,10.525568945522632,7.017045963681755,,5590.020498493849,58.5,69.5,0,FAIL
1 - 1h structure flip + 2 agreeing tools,"RETEST of the broken level, wait up to 5 bars",42,-35.52705331189433,0.3333333333333333,20,8.424761981119374,0.4,0.1451093764522705,1.209244803768921,0.806163202512614,,5805.80124254786,41.0,71.0,0,FAIL
1 - 1h structure flip + 2 agreeing tools,"RETEST of the broken level, wait up to 10 bars",44,-30.748094608783205,0.3409090909090909,21,26.46064019804148,0.4285714285714285,0.4472324920773619,3.7269374339780166,2.484624955985344,,5916.529023893983,44.0,68.0,0,FAIL
1 - 1h structure flip + 2 agreeing tools,"RETEST of the broken level, wait up to 20 bars",47,-40.62612317605918,0.3191489361702128,21,26.46064019804148,0.4285714285714285,0.4637998123941371,3.864998436617809,2.5766656244118726,,5705.185619082404,46.0,68.0,0,FAIL
2 - 4h hidden RSI divergence,BASELINE - enter on the divergence bar (what round 150 measured),66,15.196568982529213,0.4545454545454545,25,-9.3013436862034,0.44,-0.1485114768246239,-1.2375956402051995,-0.8250637601367998,,6263.047062138694,48.0,48.0,0,FAIL
2 - 4h hidden RSI divergence,"CONFIRMING CLOSE through the pullback high, wait up to 3 bars",14,21.875220102672987,0.5,3,-20.235601995896303,0.3333333333333333,-0.5461688861260057,-4.55140738438338,-3.0342715895889207,,3705.008196169524,48.0,48.0,0,NOT ENOUGH TRADES
2 - 4h hidden RSI divergence,"CONFIRMING CLOSE through the pullback high, wait up to 6 bars",22,24.221444055025163,0.5454545454545454,7,21.866611040415393,0.5714285714285714,0.6712285207690173,5.593571006408477,3.729047337605651,,3257.6999283884893,48.0,48.0,0,NOT ENOUGH TRADES
2 - 4h hidden RSI divergence,"CONFIRMING CLOSE through the pullback high, wait up to 12 bars",26,15.723353149661571,0.5,8,93.52307129439008,0.625,2.8536432125364595,23.780360104470496,15.853573402980327,,3277.3218068583337,48.0,48.0,0,NOT ENOUGH TRADES
2 - 4h hidden RSI divergence,"CONFIRMING CLOSE through the pullback high, wait up to 24 bars",32,2.886927955444139,0.46875,10,88.53168589006205,0.7,2.765135646844711,23.04279705703926,15.361864704692838,-12.971024686764377,3201.712219474127,48.0,48.0,0,SURVIVOR (first 60% + middle 20%; final slice untouched)
2 - 4h hidden RSI divergence,"CONFIRMING CLOSE through the pullback high, wait up to 48 bars",33,-2.267073799823699,0.4545454545454545,15,63.784490639888936,0.6,1.9592296311041584,16.326913592534652,10.884609061689767,,3255.590341594725,48.0,48.0,0,FAIL
3 - 1h RSI(3) dip-buy in a 4h uptrend,BASELINE - buy the falling bar (what round 150 measured),167,-70.09176446584537,0.4071856287425149,139,-69.54286172529399,0.4100719424460431,-0.2941052111617453,-2.450876759681211,-1.633917839787474,,23645.57276989165,7.0,7.0,7,FAIL
3 - 1h RSI(3) dip-buy in a 4h uptrend,"TURN CONFIRMED IN PRICE - close above the signal bar's high, wait up to 3 bars",216,-30.663307355943747,0.3333333333333333,69,-46.011830035398496,0.3623188405797101,-0.2088943210460666,-1.740786008717222,-1.1605240058114814,,22026.36711471524,10.0,15.0,0,FAIL
3 - 1h RSI(3) dip-buy in a 4h uptrend,"TURN CONFIRMED IN PRICE - close above the signal bar's high, wait up to 6 bars",279,-25.47217211277847,0.3548387096774194,87,-56.423346847996775,0.3333333333333333,-0.2783966408585825,-2.3199720071548553,-1.5466480047699036,,20267.251312367018,13.0,13.0,0,FAIL
3 - 1h RSI(3) dip-buy in a 4h uptrend,"TURN CONFIRMED IN PRICE - close above the signal bar's high, wait up to 12 bars",302,-23.09093470778321,0.3576158940397351,99,-43.18228959613229,0.3636363636363636,-0.2089567264439851,-1.7413060536998763,-1.1608707024665843,,20665.6614175606,14.5,15.0,0,FAIL
3 - 1h RSI(3) dip-buy in a 4h uptrend,"TURN CONFIRMED IN THE OSCILLATOR - RSI(3) back above 25, wait up to 6 bars",375,-25.8412252796643,0.328,124,-34.83718093062068,0.3629032258064516,-0.2164674418459028,-1.8038953487158575,-1.202596899143905,,16093.496848094272,8.0,9.0,1,FAIL
"4 - news momentum, first-hour direction",BASELINE - generic swing floor (what round 150 measured),284,-8.875579452680507,0.3274647887323944,96,-15.245596021139592,0.2708333333333333,-0.0834103586592224,-0.6950863221601867,-0.4633908814401245,,18277.820963972004,20.0,16.0,0,FAIL
"4 - news momentum, first-hour direction","REACTION BAR's own far side as the starting floor, cushion 0.1%",355,-19.966167497931743,0.2591549295774648,121,-42.82193349816447,0.2066115702479339,-0.2184807989222522,-1.8206733243521016,-1.2137822162347345,,19599.86127357715,8.0,5.0,0,FAIL
"4 - news momentum, first-hour direction","REACTION BAR's own far side as the starting floor, cushion 0.3%",315,-6.393328572542565,0.3111111111111111,112,-28.229959187973417,0.2589285714285714,-0.1388056391589162,-1.1567136596576353,-0.7711424397717569,,20337.761029761485,13.0,8.5,0,FAIL
