section,cell,window,side,n,exp,win_rate
A direction split,break bar,first 60%,long,38,-22.051237332641993,0.34210526315789475
A direction split,break bar,first 60%,short,36,-64.95241534347163,0.2777777777777778
A direction split,break bar,middle 20%,long,17,40.79480409362545,0.4117647058823529
A direction split,break bar,middle 20%,short,17,100.41674669945085,0.5294117647058824
A direction split,"retest, 10-bar wait",first 60%,long,24,-12.28158782287345,0.375
A direction split,"retest, 10-bar wait",first 60%,short,20,-52.907902751874886,0.3
A direction split,"retest, 10-bar wait",middle 20%,long,10,15.204057722155984,0.4
A direction split,"retest, 10-bar wait",middle 20%,short,11,36.69389699430103,0.45454545454545453
ending mix,divergence bar,first 60%,hit the stop,15,,0.22727272727272727
ending mix,divergence bar,first 60%,ran out of time,47,,0.7121212121212122
ending mix,divergence bar,first 60%,reached the target,4,,0.06060606060606061
ending mix,divergence bar,middle 20%,ran out of time,16,,0.64
ending mix,divergence bar,middle 20%,reached the target,2,,0.08
ending mix,divergence bar,middle 20%,hit the stop,7,,0.28
ending mix,"confirming close, 24-bar wait",first 60%,ran out of time,26,,0.8125
ending mix,"confirming close, 24-bar wait",first 60%,hit the stop,5,,0.15625
ending mix,"confirming close, 24-bar wait",first 60%,reached the target,1,,0.03125
ending mix,"confirming close, 24-bar wait",middle 20%,reached the target,1,,0.1
ending mix,"confirming close, 24-bar wait",middle 20%,ran out of time,9,,0.9
ending mix,falling bar,first 60%,hit the stop,94,,0.562874251497006
ending mix,falling bar,first 60%,reached the target,43,,0.25748502994011974
ending mix,falling bar,first 60%,ran out of time,30,,0.17964071856287425
ending mix,falling bar,middle 20%,ran out of time,32,,0.2302158273381295
ending mix,falling bar,middle 20%,reached the target,32,,0.2302158273381295
ending mix,falling bar,middle 20%,hit the stop,75,,0.539568345323741
ending mix,"turn confirmed, 6-bar wait",first 60%,hit the stop,162,,0.5806451612903226
ending mix,"turn confirmed, 6-bar wait",first 60%,ran out of time,67,,0.24014336917562723
ending mix,"turn confirmed, 6-bar wait",first 60%,reached the target,50,,0.17921146953405018
ending mix,"turn confirmed, 6-bar wait",middle 20%,ran out of time,23,,0.26436781609195403
ending mix,"turn confirmed, 6-bar wait",middle 20%,hit the stop,53,,0.6091954022988506
ending mix,"turn confirmed, 6-bar wait",middle 20%,reached the target,11,,0.12643678160919541
