family,cell,timeframe,dial_in_source_market,dial_re_derived_for_ethereum,train_trades,train_avg_profit_per_trade,train_win_pct,train_return_pct,train_worst_drawdown_pct,val_trades,val_avg_profit_per_trade,val_win_pct,val_return_pct,val_worst_drawdown_pct,profit_pct_of_position_train,profit_pct_of_position_val,times_bigger_than_trading_cost_train,times_bigger_than_trading_cost_val,median_stop_distance_pct_train,avg_leverage_out_train,median_hold_hours_train,verdict,source_market
A2 volatility gate ladder,4h 20/100 gate 1.80% matched to Bitcoin's first-60% window (63.2% of bars),4h,1.50% on Bitcoin 4h,1.80% on Ethereum 4h,33,13.119844135282145,39.39393939393939,4.329548564643093,-9.072790365717221,12,6.398209441034569,33.33333333333333,0.7677851329241481,-7.289474471203509,0.5253093120240623,0.1741008372542909,2.918385066800346,0.9672268736349494,11.003490397830827,0.2278608013119213,136.0,SURVIVES (first 60% + middle 20%; final slice untouched),Bitcoin
A2 volatility gate ladder,4h 10/50 gate 1.80% matched to Bitcoin's first-60% window (63.2% of bars),4h,1.50% on Bitcoin 4h,1.80% on Ethereum 4h,74,3.0779954737933375,33.78378378378378,2.2777166506070756,-12.390252717076574,25,37.00604899468803,36.0,9.251512248672,-6.999021596819997,0.12462538814990856,1.3414712067078216,0.6923632674994921,7.452617815043454,10.50608887340762,0.22895637741849748,100.0,SURVIVES (first 60% + middle 20%; final slice untouched),Bitcoin
A2 volatility gate ladder,4h 20/100 gate 2.01% matched to Bitcoin's whole history (53.5% of bars),4h,1.50% on Bitcoin 4h,2.01% on Ethereum 4h,29,71.99032778553692,41.37931034482759,20.87719505780572,-4.587895013184871,10,-36.235703130052954,50.0,-3.6235703130052976,-5.3434248636892026,2.5218716738477087,-1.3270817021263546,14.010398188042826,-7.372676122924192,10.673698941614749,0.2488115628594319,132.0,NOT ENOUGH TRADES,Bitcoin
A2 volatility gate ladder,4h 10/50 gate 2.01% matched to Bitcoin's whole history (53.5% of bars),4h,1.50% on Bitcoin 4h,2.01% on Ethereum 4h,67,27.376229675257278,37.3134328358209,18.342073882422373,-6.341922258758966,20,5.063807553912015,35.0,1.0127615107824006,-7.304117306707989,1.0039718668963165,0.2021257492432426,5.577621482757314,1.1229208291291255,10.571168244360987,0.2469163218659158,100.0,SURVIVES (first 60% + middle 20%; final slice untouched),Bitcoin
A2 volatility gate ladder,4h 20/100 gate 2.86% matched to Bitcoin's most recent fifth (24.3% of bars),4h,1.50% on Bitcoin 4h,2.86% on Ethereum 4h,19,146.8769029494771,36.84210526315789,27.906611560400663,-5.883690314637715,4,-33.59274027091818,50.0,-1.3437096108367186,-1.7423970531813937,3.410858373401551,-1.262250311715923,18.949213185564172,-7.012501731755128,8.345888660907637,0.3697346360810283,124.0,NOT ENOUGH TRADES,Bitcoin
A2 volatility gate ladder,4h 10/50 gate 2.86% matched to Bitcoin's most recent fifth (24.3% of bars),4h,1.50% on Bitcoin 4h,2.86% on Ethereum 4h,34,55.46656343193756,41.17647058823529,18.85863156685876,-3.2474727357443536,7,-68.71050637381256,28.57142857142857,-4.809735446166885,-5.512322221965787,1.9813906714337466,-2.5358103189994003,11.007725952409702,-14.087835105552221,11.138367366581228,0.26219161668517804,48.0,NOT ENOUGH TRADES,Bitcoin
A2 volatility gate ladder,4h 20/100 gate 3.09% matched to the 18.7% figure in round 170's notes,4h,1.50% on Bitcoin 4h,3.09% on Ethereum 4h,16,72.52541747104075,25.0,11.604066795366519,-6.991641882322745,3,-27.497047363867136,66.66666666666666,-0.8249114209160191,-1.4796973100506328,2.1283964480754465,-1.2592185280968573,11.82442471153026,-6.995658489426986,8.14338220705443,0.32220329151306915,54.0,NOT ENOUGH TRADES,Bitcoin
A2 volatility gate ladder,4h 10/50 gate 3.09% matched to the 18.7% figure in round 170's notes,4h,1.50% on Bitcoin 4h,3.09% on Ethereum 4h,24,87.21723102656011,41.66666666666667,20.932135446374424,-2.1642488391768167,4,-7.6808762187282404,50.0,-0.30723504874913266,-1.4796973100506328,3.293992110327882,-0.3389026847751326,18.299956168488237,-1.8827926931951808,10.586385104042375,0.2438542598078365,84.0,NOT ENOUGH TRADES,Bitcoin
A2 volatility gate ladder,1h 20/100 gate 0.83% matched to Bitcoin's first-60% window (63.2% of bars),1h,1.50% on Bitcoin 4h,0.83% on Ethereum 1h,152,-13.828122585124387,33.55263157894737,-21.01874632938907,-28.961338860005565,63,-15.340130041558679,17.46031746031746,-9.664281926181973,-23.524919221552427,-0.29900424546540544,-0.3709247460284358,-1.6611346970300305,-2.0606930334913094,5.728420426379883,0.479713669121661,27.0,DIES,Bitcoin
A2 volatility gate ladder,1h 10/50 gate 0.83% matched to Bitcoin's first-60% window (63.2% of bars),1h,1.50% on Bitcoin 4h,0.83% on Ethereum 1h,287,-9.578233102954828,30.66202090592334,-27.489529005480385,-40.111376524874935,105,-0.20091678368974902,34.285714285714285,-0.2109626228742334,-19.034364878208255,-0.23154701428754754,-0.004268238073232702,-1.2863723015974862,-0.023712433740181678,5.134151293746257,0.4655867200249526,22.0,DIES,Bitcoin
A2 volatility gate ladder,1h 20/100 gate 0.94% matched to Bitcoin's whole history (53.5% of bars),1h,1.50% on Bitcoin 4h,0.94% on Ethereum 1h,142,-17.86211857926327,33.80281690140845,-25.364208382553834,-29.15773068782983,56,-17.01515022008065,21.428571428571427,-9.528484123245162,-23.702685610564586,-0.444217338839662,-0.3775513143075648,-2.467874104664789,-2.0975073017086934,5.910583982550797,0.442037394832511,25.5,DIES,Bitcoin
A2 volatility gate ladder,1h 10/50 gate 0.94% matched to Bitcoin's whole history (53.5% of bars),1h,1.50% on Bitcoin 4h,0.94% on Ethereum 1h,253,-11.529847890082687,32.015810276679844,-29.170515161909183,-40.639399711610984,89,-2.077956516787303,30.337078651685395,-1.849381299940689,-18.01195440186354,-0.3032257782296496,-0.04809618411183949,-1.6845876568313867,-0.26720102284355274,5.499991738065397,0.4265388419586215,22.0,DIES,Bitcoin
A2 volatility gate ladder,1h 20/100 gate 1.37% matched to Bitcoin's most recent fifth (24.3% of bars),1h,1.50% on Bitcoin 4h,1.37% on Ethereum 1h,75,-1.2113128899267829,40.0,-0.9084846674450864,-9.829102318080626,24,-45.19493009280078,20.833333333333336,-10.846783222272183,-15.977399053131697,-0.02794834396636755,-1.1649494085811134,-0.15526857759093082,-6.471941158783962,6.750186812461699,0.438626433385227,20.0,DIES,Bitcoin
A2 volatility gate ladder,1h 10/50 gate 1.37% matched to Bitcoin's most recent fifth (24.3% of bars),1h,1.50% on Bitcoin 4h,1.37% on Ethereum 1h,130,-3.675797934887975,36.92307692307693,-4.778537315354347,-17.773071737789643,34,-33.731648877453885,26.47058823529412,-11.46876061833433,-19.081659157067023,-0.1029702943762304,-0.9098781213724738,-0.5720571909790577,-5.054878452069298,7.104585670548953,0.3594694269917933,21.0,DIES,Bitcoin
A2 volatility gate ladder,1h 20/100 gate 1.49% matched to the 18.7% figure in round 170's notes,1h,1.50% on Bitcoin 4h,1.49% on Ethereum 1h,65,-22.786263327752188,46.15384615384615,-14.811071163038925,-19.860198398094106,18,28.25533762736218,38.88888888888889,5.085960772925202,-7.5313169990740825,-0.4877748132648989,0.5434198510946102,-2.7098600736938834,3.0189991727478342,6.1857066167445085,0.5144273837664556,15.0,DIES,Bitcoin
A2 volatility gate ladder,1h 10/50 gate 1.49% matched to the 18.7% figure in round 170's notes,1h,1.50% on Bitcoin 4h,1.49% on Ethereum 1h,103,-7.602463194583967,39.80582524271845,-7.830537090421497,-17.004165093709396,31,-6.792572655322271,35.483870967741936,-2.1056975231498964,-11.563612837573006,-0.19132998838912058,-0.19003908611276507,-1.0629443799395588,-1.0557727006264725,7.092377793609844,0.402512694855877,21.0,DIES,Bitcoin
