variant,window,real,random_mean,random_p90,random_min,random_max,beats_pct,draws
"as shipped (round 190 entry, honest stop)",first 60%,62.871562535709714,-21.842252019864965,34.27705091307072,-359.6408967650354,134.0777967643946,97.5,200
"as shipped (round 190 entry, honest stop)",middle 20%,96.44440491107478,-27.925945988162923,46.5599860809594,-212.75967617323997,244.68514464864995,96.5,200
+ close must clear the level by 1/4 of a median hourly range,first 60%,132.9041781270631,-15.207172403149519,43.83009540281571,-113.93632295938556,129.00675967297045,100.0,200
+ close must clear the level by 1/4 of a median hourly range,middle 20%,112.35624483328094,-20.10546403682213,75.48713903670708,-229.95105508065137,197.93359109500767,96.0,200
+ close must clear the level by 1/2 of a median hourly range,first 60%,135.08550551495452,-17.943130418404536,58.48989123159021,-152.33543862104742,196.79840515432798,98.0,200
+ close must clear the level by 1/2 of a median hourly range,middle 20%,86.34982151612881,-44.618684611737166,88.50401458771292,-589.7202103515201,241.64034127790765,88.5,200
+ level must have 2 swings sitting on it,first 60%,17.234719265892792,-27.49137446186986,77.60666856578034,-1372.7031018590596,297.3101384383807,70.0,200
+ level must have 2 swings sitting on it,middle 20%,312.6252782590334,-30.280559390942518,153.04360244208272,-624.3853406427297,609.5466783118601,99.0,200
+ wait for the level to be re-tested and held,first 60%,48.03500555866888,-18.45993091610267,40.25010396177699,-313.8598981187815,137.03612159820972,91.5,200
+ wait for the level to be re-tested and held,middle 20%,60.58848150531356,-32.04582750013108,56.75055320628311,-289.45552345735825,179.46950154929758,90.5,200
+ clear by 1/4 range AND re-tested,first 60%,44.52725226953872,-19.40534827820106,51.78058125610573,-178.454639749701,146.5353749914817,88.0,200
+ clear by 1/4 range AND re-tested,middle 20%,111.28573132999682,-25.316186443570697,82.10640130975648,-333.35129863203167,261.35928142681433,93.0,200
