market,variant,tr_n,tr_exp,tr_win,va_n,va_exp,va_win,tr_pct_of_position,tr_x_cost,va_pct_of_position,va_x_cost,avg_leverage,avg_stop_dist_pct,worst_move_pct,p5_move_pct,median_move_pct,verdict,own_gate_pct,own_median_hourly_range_pct,random_entry_mean,beats_random_pct
"SOL (gate ported from BTC, 1.5%)","as shipped (round 190 entry, honest stop)",60,62.871562535709714,45.0,25,96.44440491107478,52.0,1.5511612524116818,8.617562513398234,1.8599494672839847,10.333052596022137,0.3812653099650212,6.801363867647833,-17.98888661915088,-11.418827479366497,-2.295747913483227,SURVIVOR (first 60% + middle 20% only),,,,
"SOL (gate ported from BTC, 1.5%)",+ close must clear the level by 1/4 of a median hourly range,43,132.9041781270631,53.48837209302325,18,112.35624483328094,55.55555555555556,3.6985979098616513,20.54776616589806,2.530242936501595,14.05690520278664,0.3282311676662149,7.539290461001454,-17.98888661915088,-11.428111495450702,7.11680791631901,SURVIVOR (first 60% + middle 20% only),,,,
"SOL (gate ported from BTC, 1.5%)",+ close must clear the level by 1/2 of a median hourly range,31,135.08550551495452,54.83870967741935,11,86.34982151612881,54.54545454545454,4.031877699638239,22.399320553545767,2.3389723705925127,12.99429094773618,0.3003304175069523,8.49323707857903,-17.98888661915088,-11.42579049142965,6.492123501308507,SURVIVOR (first 60% + middle 20% only),,,,
"SOL (gate ported from BTC, 1.5%)",+ level must have 2 swings sitting on it,14,17.234719265892792,35.714285714285715,6,312.6252782590334,83.33333333333334,0.5890742291913142,3.2726346066184124,8.540180570798988,47.44544761554993,0.3029966966669778,7.691825230434719,-17.98888661915088,-10.344131043352984,4.326906109284693,NOT ENOUGH TRADES,,,,
"SOL (gate ported from BTC, 1.5%)",+ wait for the level to be re-tested and held,50,48.03500555866888,44.0,21,60.58848150531356,47.61904761904761,1.1198182072783927,6.221212262657737,1.2731717518768526,7.073176399315848,0.3978171558140736,6.824215986351484,-17.28013823879855,-11.575843721050443,-3.0025997653266754,SURVIVOR (first 60% + middle 20% only),,,,
"SOL (gate ported from BTC, 1.5%)",+ clear by 1/4 range AND re-tested,33,44.52725226953872,42.42424242424242,14,111.28573132999682,57.14285714285714,1.2479862397493495,6.933256887496386,2.389375234988807,13.274306861048927,0.3618958132122087,7.544828785785923,-17.28013823879855,-12.850113318491418,-2.585417005395372,SURVIVOR (first 60% + middle 20% only),,,,
"SOL (gate re-derived, 2.85%)","as shipped (round 190 entry, honest stop)",52,30.669197834271618,40.38461538461539,18,114.49850574378254,55.55555555555556,0.8647045585013603,4.803914213896446,2.398877644538506,13.32709802521392,0.352294702447345,7.342838989338928,-17.98888661915088,-11.461725582490535,-2.99220173611151,SURVIVOR (first 60% + middle 20% only),,,,
"SOL (gate re-derived, 2.85%)",+ close must clear the level by 1/4 of a median hourly range,37,93.64756185428958,48.64864864864865,14,166.68521018248006,64.28571428571429,2.9031701911714842,16.12872328428602,3.9627103396843713,22.015057442690953,0.30881998773979524,7.973283785533684,-17.98888661915088,-11.458669756396006,7.216895997902034,SURVIVOR (first 60% + middle 20% only),,,,
"SOL (gate re-derived, 2.85%)",+ close must clear the level by 1/2 of a median hourly range,27,116.33651117732865,51.85185185185185,8,46.88904451047206,50.0,3.8790853944104473,21.550474413391374,1.3600309150295709,7.555727305719838,0.2768573437320269,9.143596338719814,-17.98888661915088,-11.446446452017884,5.867439086298005,NOT ENOUGH TRADES,,,,
"SOL (gate re-derived, 2.85%)",+ level must have 2 swings sitting on it,14,17.234719265892792,35.714285714285715,5,285.52255681046347,80.0,0.5890742291913142,3.2726346066184124,7.353528550686862,40.8529363927048,0.3072001397777078,7.624903755554789,-17.98888661915088,-10.746486599973926,0.22025639066079297,NOT ENOUGH TRADES,,,,
"SOL (gate re-derived, 2.85%)",+ wait for the level to be re-tested and held,42,5.785326289562892,38.095238095238095,14,67.88118716791159,50.0,0.1561368111524055,0.867426728624475,1.5246834200028772,8.47046344446043,0.37083455095169116,7.505942364914388,-17.28013823879855,-12.335664083690238,-3.2060700631945656,SURVIVOR (first 60% + middle 20% only),,,,
"SOL (gate re-derived, 2.85%)",+ clear by 1/4 range AND re-tested,28,0.9479832533650462,35.714285714285715,11,146.69019452124982,63.63636363636363,0.03021165610243628,0.1678425339024238,3.1836885915032713,17.68715884168484,0.3398867585396527,8.191633351277577,-17.28013823879855,-12.917685259694547,-3.2482868636447053,NOT ENOUGH TRADES,,,,
BTC,as shipped,71,-44.120289688434866,,30,24.909259783722522,,-1.0258795906575402,,0.34153723832507676,1.8974291018059821,,,-13.144450050537484,-7.454232538040823,,FAIL,1.6616248356944308,0.8097165624137981,-22.728039505984224,77.5
BTC,chosen,66,-45.31376556615227,,22,44.122445609919914,,-1.021502815942198,,0.6814702935053346,3.7859460750296368,,,-13.144450050537484,-8.325751626143425,,FAIL,1.6616248356944308,0.8097165624137981,-34.29376601265553,90.83333333333333
ETH,as shipped,62,-15.706493899144514,,15,-47.918894873549675,,-0.31351222165093495,,-0.9930468604468828,-5.516927002482682,,,-13.878511669857657,-8.483782150639435,,FAIL,2.068469133814112,0.9774775112274261,-43.90750053331191,50.0
ETH,chosen,47,-43.4179936721032,,11,8.820066363298109,,-0.9717947600878077,,0.21602851146267496,1.2001583970148608,,,-13.878511669857657,-9.494789515549359,,FAIL,2.068469133814112,0.9774775112274261,-23.298984114972676,67.5
ADA,as shipped,68,19.15836937812561,,20,-51.22696341681272,,0.49019369210398417,,-1.2084230068818687,-6.713461149343715,,,-31.22038307854089,-9.280504473358972,,FAIL,2.5393220514645365,1.194378391612055,-7.652996119638345,24.166666666666668
ADA,chosen,57,9.797903512548444,,14,-29.349438924382774,,0.2909755011510185,,-0.7835138343943927,-4.3528546355244035,,,-31.22038307854089,-10.268164577954284,,FAIL,2.5393220514645365,1.194378391612055,-21.748720964089877,50.0
AVAX,as shipped,55,74.8480768930459,,13,0.9018269373048895,,1.6034785465510966,,0.02548040624768463,0.14155781248713684,,,-9.637171229809756,-9.046785470552457,,FAIL (too thin),2.9210498548901045,1.3939430820133216,-14.227334505621947,58.333333333333336
AVAX,chosen,47,59.24774378162352,,7,-125.89857278190473,,1.589035949867966,,-3.5131836312916533,-19.51768684050918,,,-11.570447137394995,-9.14161822570533,,NOT ENOUGH TRADES,2.9210498548901045,1.3939430820133216,-12.62882289061971,11.666666666666666
BNB,as shipped,66,2.7760222604870752,,12,45.736843809188876,,0.0393487851659661,,0.7160772839583854,3.9782071331021416,,,-13.20009192971606,-5.671587425743385,,FAIL (too thin),1.7663031590807683,0.866722422179998,-38.91136375549929,83.33333333333334
BNB,chosen,49,55.72780176708254,,9,66.26524856520703,,0.8545883373405385,,1.3224492650348256,7.346940361304586,,,-13.20009192971606,-5.877287196469633,,SURVIVOR (first 60% + middle 20% only),1.7663031590807683,0.866722422179998,-36.74425791215926,85.83333333333333
DOGE,as shipped,64,-32.629752833161845,,23,3.0713321698004536,,-0.9115139290002784,,0.08821287592187549,0.49007153289930827,,,-20.896045284173464,-11.09442399263961,,FAIL,2.7320101514330175,1.2190073419541305,-16.452436398957943,60.83333333333333
DOGE,chosen,48,-27.917439197475616,,15,63.74377146979824,,-0.8551534217706757,,1.996551980345745,11.091955446365251,,,-12.04675500531825,-10.939497293424813,,FAIL,2.7320101514330175,1.2190073419541305,-31.757156194101558,85.0
LINK,as shipped,73,-36.28596946323988,,12,-49.71849116264974,,-1.240897199811014,,-1.6102997243864718,-8.946109579924842,,,-17.082808661118705,-13.761206186318072,,FAIL,2.941943737075583,1.4374910490831638,-38.579376853188585,43.333333333333336
LINK,chosen,52,-27.982357630199424,,7,-117.98489828501555,,-1.1675508379566175,,-3.634602621845716,-20.192236788031753,,,-19.188303885875715,-14.267047511476735,,NOT ENOUGH TRADES,2.941943737075583,1.4374910490831638,-21.61455507235186,16.666666666666664
LTC,as shipped,74,-21.959435538349386,,13,-8.32971992813938,,-0.5161070441763257,,-0.209239370103109,-1.1624409450172724,,,-14.508042565149362,-8.95426622398692,,FAIL,2.5232714156943925,1.2145875622808027,-38.125447038805305,61.66666666666667
LTC,chosen,54,-16.22961214123499,,10,-18.126900132585487,,-0.3942418910958722,,-0.5457348039612191,-3.0318600220067733,,,-14.508042565149362,-9.040595840169855,,FAIL,2.5232714156943925,1.2145875622808027,-47.16114772816659,62.5
XRP,as shipped,61,-6.0548851505784755,,15,48.60792921351006,,-0.10906721015459153,,1.0087415951973937,5.604119973318855,,,-17.511951922869002,-10.360704773749566,,FAIL,2.2967467109939346,1.0544168581513071,-62.022218605336896,85.0
XRP,chosen,41,3.2459628376604592,,10,-1.036565014974144,,0.06828446341497177,,-0.039325085775865874,-0.21847269875481037,,,-17.511951922869002,-12.415561666216409,,FAIL,2.2967467109939346,1.0544168581513071,-33.82418868549908,66.66666666666666
DOT,as shipped,71,-12.823499590786094,,17,57.449187509048144,,-0.3715292914828235,,1.4392908836039018,7.996060464466121,,,-22.025623054230127,-10.464346906756436,,FAIL,2.677503899112594,1.294893943186917,-22.918732881927674,88.33333333333333
DOT,chosen,57,-6.926238260275175,,12,101.86367380392171,,-0.2115783485950684,,3.2034636134786076,17.797020074881154,,,-17.573467564415374,-10.412207221517239,,FAIL,2.677503899112594,1.294893943186917,-41.55958632160787,96.66666666666667
