symbol,family,config,train_n,train_dollars_per_trade,train_pct_of_position,train_x_research_cost,train_x_live_venue_cost,val_n,val_dollars_per_trade,val_pct_of_position,val_x_research_cost,val_x_live_venue_cost,trades_per_year_train,trades_per_year_val,verdict
GLD,incumbent,"donchian20 + EMA20 exit (round 48, unchanged)",67,80.61,0.7253,18.13,4.03,23,62.09,0.644,16.1,3.58,5.16,5.31,SURVIVOR
GLD,filtered,donchian20 + EMA20 exit | no trend filter | width>=own median (6.68% of price),36,30.85,0.3821,9.55,2.12,6,-116.98,-1.1971,-29.93,-6.65,2.77,1.39,NOT ENOUGH TRADES
GLD,filtered,donchian20 + EMA20 exit | no trend filter | width>=own upper quarter (8.94% of price),19,-9.04,0.0084,0.21,0.05,4,-142.7,-1.4493,-36.23,-8.05,1.46,0.92,NOT ENOUGH TRADES
GLD,filtered,donchian20 + EMA20 exit | close>SMA100 | none,55,125.79,1.0465,26.16,5.81,20,43.05,0.48,12.0,2.67,4.23,4.62,SURVIVOR
GLD,filtered,donchian20 + EMA20 exit | close>SMA100 | width>=own median (6.68% of price),32,61.31,0.648,16.2,3.6,6,-116.98,-1.1971,-29.93,-6.65,2.46,1.39,NOT ENOUGH TRADES
GLD,filtered,donchian20 + EMA20 exit | close>SMA100 | width>=own upper quarter (8.94% of price),16,66.39,0.7332,18.33,4.07,4,-142.7,-1.4493,-36.23,-8.05,1.23,0.92,NOT ENOUGH TRADES
GLD,filtered,donchian20 + EMA20 exit | close>SMA200 | none,47,144.02,1.1957,29.89,6.64,20,29.69,0.3545,8.86,1.97,3.62,4.62,SURVIVOR
GLD,filtered,donchian20 + EMA20 exit | close>SMA200 | width>=own median (6.68% of price),31,69.69,0.7214,18.04,4.01,6,-116.98,-1.1971,-29.93,-6.65,2.39,1.39,NOT ENOUGH TRADES
GLD,filtered,donchian20 + EMA20 exit | close>SMA200 | width>=own upper quarter (8.94% of price),16,46.26,0.5468,13.67,3.04,4,-142.7,-1.4493,-36.23,-8.05,1.23,0.92,NOT ENOUGH TRADES
GLD,incumbent,"donchian55 + EMA20 exit (round 48, unchanged)",39,93.25,0.901,22.53,5.01,11,192.79,1.8342,45.85,10.19,3.0,2.54,SURVIVOR
GLD,filtered,donchian55 + EMA20 exit | no trend filter | width>=own median (11.59% of price),21,-36.61,-0.3228,-8.07,-1.79,4,-51.38,-0.4912,-12.28,-2.73,1.62,0.92,NOT ENOUGH TRADES
GLD,filtered,donchian55 + EMA20 exit | no trend filter | width>=own upper quarter (15.81% of price),8,-42.82,-0.415,-10.38,-2.31,2,-401.68,-4.0855,-102.14,-22.7,0.62,0.46,NOT ENOUGH TRADES
GLD,filtered,donchian55 + EMA20 exit | close>SMA100 | none,39,93.25,0.901,22.53,5.01,11,192.79,1.8342,45.85,10.19,3.0,2.54,SURVIVOR
GLD,filtered,donchian55 + EMA20 exit | close>SMA100 | width>=own median (11.59% of price),21,-36.61,-0.3228,-8.07,-1.79,4,-51.38,-0.4912,-12.28,-2.73,1.62,0.92,NOT ENOUGH TRADES
GLD,filtered,donchian55 + EMA20 exit | close>SMA100 | width>=own upper quarter (15.81% of price),8,-42.82,-0.415,-10.38,-2.31,2,-401.68,-4.0855,-102.14,-22.7,0.62,0.46,NOT ENOUGH TRADES
GLD,filtered,donchian55 + EMA20 exit | close>SMA200 | none,35,114.88,1.071,26.78,5.95,11,156.33,1.5238,38.1,8.47,2.69,2.54,SURVIVOR
GLD,filtered,donchian55 + EMA20 exit | close>SMA200 | width>=own median (11.59% of price),20,-26.07,-0.2085,-5.21,-1.16,4,-51.38,-0.4912,-12.28,-2.73,1.54,0.92,NOT ENOUGH TRADES
GLD,filtered,donchian55 + EMA20 exit | close>SMA200 | width>=own upper quarter (15.81% of price),8,-42.82,-0.415,-10.38,-2.31,2,-401.68,-4.0855,-102.14,-22.7,0.62,0.46,NOT ENOUGH TRADES
GC=F,incumbent,"donchian20 + EMA20 exit (round 48, unchanged)",89,57.51,0.5436,27.18,3.02,24,95.09,0.9522,47.61,5.29,5.72,4.65,SURVIVOR
GC=F,filtered,donchian20 + EMA20 exit | no trend filter | width>=own median (6.37% of price),47,5.48,0.1274,6.37,0.71,5,175.64,1.7945,89.72,9.97,3.02,0.97,NOT ENOUGH TRADES
