family,config,symbol,train_trades,train_$per_trade,train_pct_of_position,train_cost_multiple,train_win_pct,train_worst_drop_pct,val_trades,val_$per_trade,val_pct_of_position,val_cost_multiple,val_win_pct,verdict,E,H,filter,rsi_n,thresh,gate_pct,orig_constant,lookback,exit_ma
A-existing-edge,"RSI2<5 dip buy, above 200-day avg",SPY,65,113.52,0.8803,22.01,73.8,-15.6,29,31.02,0.3069,7.67,79.3,SURVIVOR,,,,,,,,,
A-existing-edge,long while above 200-day avg,SPY,74,251.82,1.7989,44.97,31.1,-29.7,18,310.46,2.8694,71.73,33.3,SURVIVOR,,,,,,,,,
A-existing-edge,"RSI2<5 dip buy, above 200-day avg",ES,43,35.0,0.345,17.25,79.1,-14.5,22,16.93,0.1809,9.04,72.7,SURVIVOR,,,,,,,,,
A-existing-edge,long while above 200-day avg,ES,52,160.26,1.3742,68.71,30.8,-20.1,16,345.33,3.2881,164.4,25.0,SURVIVOR,,,,,,,,,
A-existing-edge,"RSI2<5 dip buy, above 200-day avg",QQQ,61,79.88,0.6721,16.8,68.9,-12.0,22,44.1,0.4328,10.82,68.2,SURVIVOR,,,,,,,,,
A-existing-edge,long while above 200-day avg,QQQ,62,145.19,1.3718,34.3,29.0,-53.9,17,531.08,5.515,137.88,23.5,SURVIVOR,,,,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 2 days, no filter",SPY,230,18.23,0.1675,4.19,55.2,-14.5,81,-7.09,-0.0685,-1.71,56.8,FAIL,1.0,2.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 2 days, only above 200-day avg",SPY,158,19.22,0.1765,4.41,55.7,-11.5,72,-10.13,-0.1012,-2.53,56.9,FAIL,1.0,2.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 3 days, no filter",SPY,230,21.74,0.1975,4.94,60.0,-17.1,81,-9.98,-0.095,-2.37,49.4,FAIL,1.0,3.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 3 days, only above 200-day avg",SPY,158,24.16,0.2185,5.46,62.7,-12.5,72,-11.04,-0.1075,-2.69,48.6,FAIL,1.0,3.0,only above 200-day avg,,,,,,
