symbol,tf,swing_def,scope,side,n,med_pct,p25,p75,p10,p90,med_bars_ago
SPY,5m,TJR 2-candle (1 bar late),any,long,123415,0.09519781422129575,0.0442903287600207,0.19189199759426454,0.01886733275726743,0.36084519466618836,3.0
SPY,5m,TJR 2-candle (1 bar late),any,short,120954,0.08600678441448686,0.037782407339440015,0.18399200449427958,0.015426543939939908,0.3616463372723158,3.0
SPY,5m,TJR 2-candle (1 bar late),same session only,long,111510,0.09214057361796767,0.04371311707167842,0.18007817644451032,0.01886516594648791,0.32024816964535346,3.0
SPY,5m,TJR 2-candle (1 bar late),same session only,short,108841,0.08299694420342826,0.03726476616357961,0.17252182564493082,0.015417895036833369,0.3279269697775455,3.0
SPY,5m,"ours fractal k=2 (5 bar, 2 late)",any,long,123583,0.14119480013632216,0.06501077676617367,0.28765174339406585,0.027806617749709262,0.542507193006863,5.0
SPY,5m,"ours fractal k=2 (5 bar, 2 late)",any,short,120655,0.12179507198402399,0.05303398594598317,0.26681174772773586,0.02147866868565645,0.5359877503062679,5.0
SPY,5m,"ours fractal k=2 (5 bar, 2 late)",same session only,long,109012,0.13703546147653906,0.06483897352362812,0.2690527039322614,0.028346105956588416,0.4913452999144343,4.0
SPY,5m,"ours fractal k=2 (5 bar, 2 late)",same session only,short,105283,0.11683812562392717,0.052327560768988444,0.2489490666267829,0.02167434902097683,0.47787668333439637,4.0
SPY,5m,"ours fractal k=3 (7 bar, 3 late)",any,long,123646,0.17110174560667857,0.07997258082942212,0.3461185279366961,0.034320553974110005,0.6460500688803312,7.0
SPY,5m,"ours fractal k=3 (7 bar, 3 late)",any,short,120267,0.1457201775743952,0.0634472818406121,0.3227469737092733,0.02559836170485186,0.6515472118770993,7.0
SPY,5m,"ours fractal k=3 (7 bar, 3 late)",same session only,long,106072,0.16525684023329676,0.07996232790867774,0.32190293448703894,0.03538321570632571,0.5832344243308559,6.0
SPY,5m,"ours fractal k=3 (7 bar, 3 late)",same session only,short,101611,0.1384936414485197,0.062181412296120245,0.29664956692514277,0.02583742190532834,0.5734818541142664,6.0
SPY,5m,"ours fractal k=5 (11 bar, 5 late)",any,long,123730,0.22425212519446713,0.1063278678303261,0.4536496924546628,0.046519817350613765,0.8353970859134218,10.0
SPY,5m,"ours fractal k=5 (11 bar, 5 late)",any,short,119586,0.18559390048152893,0.08112643507677096,0.41561213196539726,0.03355170595639881,0.8344861540632063,10.0
SPY,5m,"ours fractal k=5 (11 bar, 5 late)",same session only,long,99652,0.21349408994578623,0.10599495699592976,0.411675404700975,0.048573007782547244,0.739009913008847,8.0
SPY,5m,"ours fractal k=5 (11 bar, 5 late)",same session only,short,95483,0.17492711370261674,0.07936756310378912,0.37336990508715784,0.03416361264673482,0.7326016596718445,8.0
SPY,15m,TJR 2-candle (1 bar late),any,long,41215,0.17679318805022695,0.08220808247373415,0.3572861311620159,0.03523814936814944,0.6565649763891297,3.0
SPY,15m,TJR 2-candle (1 bar late),any,short,39942,0.15049938463372925,0.06571516657647855,0.32939661117070995,0.026511499162358187,0.6546912207836905,3.0
SPY,15m,TJR 2-candle (1 bar late),same session only,long,33174,0.1665408538288632,0.08133505691339393,0.31981395204953245,0.03659591459185886,0.5682721578190328,2.0
SPY,15m,TJR 2-candle (1 bar late),same session only,short,31672,0.14116814362073,0.06371557411554749,0.29743224993770423,0.02681902599198222,0.5607026804159155,2.0
SPY,15m,"ours fractal k=2 (5 bar, 2 late)",any,long,41257,0.2750577621300473,0.1309733188639085,0.563306133192942,0.057288533770493505,1.0088697115485394,5.0
SPY,15m,"ours fractal k=2 (5 bar, 2 late)",any,short,39621,0.22162029056882385,0.09573042312847481,0.4971595020917234,0.03951527924130814,1.0081566853540573,5.0
SPY,15m,"ours fractal k=2 (5 bar, 2 late)",same session only,long,30785,0.25539160045402765,0.12901006278489396,0.5042120150033778,0.059634660386185465,0.8913615267343257,4.0
SPY,15m,"ours fractal k=2 (5 bar, 2 late)",same session only,short,29243,0.20524790211687793,0.09254930850660695,0.4373644491104688,0.040435458786934816,0.8533851496584679,4.0
SPY,15m,"ours fractal k=3 (7 bar, 3 late)",any,long,41254,0.3441022854188504,0.1635536171423148,0.6806438941066142,0.07366245105877234,1.2266763678449815,7.0
SPY,15m,"ours fractal k=3 (7 bar, 3 late)",any,short,39393,0.27092474046370146,0.11561823185525291,0.5990146386417601,0.04800153624580198,1.2084105451815519,7.0
SPY,15m,"ours fractal k=3 (7 bar, 3 late)",same session only,long,28271,0.31372229465450224,0.16074141674179793,0.6091128879925674,0.0781079939050173,1.070892637897317,5.0
SPY,15m,"ours fractal k=3 (7 bar, 3 late)",same session only,short,26867,0.24544543160370463,0.11115998415262324,0.5151945202324311,0.049335498248640294,1.029526102712012,5.0
SPY,15m,"ours fractal k=5 (11 bar, 5 late)",any,long,41230,0.46290339435340405,0.22090314957897667,0.884213281410142,0.10046783073137558,1.5588590080168887,10.0
SPY,15m,"ours fractal k=5 (11 bar, 5 late)",any,short,38796,0.3468167253933365,0.15044832815119788,0.771224542566881,0.06311241384669623,1.5887833039559942,10.0
SPY,15m,"ours fractal k=5 (11 bar, 5 late)",same session only,long,24130,0.4145388193920063,0.21524728388626316,0.7763838768200689,0.10873485994671679,1.2973368826054357,6.0
SPY,15m,"ours fractal k=5 (11 bar, 5 late)",same session only,short,22705,0.3115831608633366,0.1437385285597475,0.6527979865507871,0.06566587890793278,1.3366450274768422,6.0
