sym,setup,n_tr,n_va,sig_gross_tr,base_gross_tr,lift,t,sig_gross_va
QQQ,prev day low sweep -> BOS up [09:30-10:30],341,132,-0.012880145419342567,0.012200215711501245,-0.02508036113084381,-0.2033393415024487,0.1055347979530029
QQQ,prev day low sweep -> BOS up [all session],3254,1233,-0.001100697357410594,0.004084054248166418,-0.005184751605577012,-0.07478433999785922,-0.012576511643627353
QQQ,prev day high sweep -> BOS down [09:30-10:30],457,150,-0.04609957682871283,-0.012200215711501245,-0.033899361117211584,-1.2205742186723594,0.17715313298968452
QQQ,prev day high sweep -> BOS down [all session],4461,1323,-0.009394240626271397,-0.004084054248166418,-0.005310186378104979,-1.107192403518839,-0.04012188847298939
QQQ,overnight low sweep -> BOS up [09:30-10:30],514,139,-0.05004779714660129,0.012200215711501245,-0.06224801285810254,-1.181994458097349,0.08699029124063379
QQQ,overnight low sweep -> BOS up [all session],4538,1503,-0.020262585938101166,0.004084054248166418,-0.024346640186267584,-1.9546283121697554,0.011751702048621
QQQ,overnight high sweep -> BOS down [09:30-10:30],498,133,-0.045821948933136784,-0.012200215711501245,-0.03362173322163554,-1.1313041384916063,0.03750140546334697
QQQ,overnight high sweep -> BOS down [all session],4871,1366,-0.0010585174115556617,-0.004084054248166418,0.0030255368366107565,-0.11607229665176905,-0.050445862164550846
QQQ,opening-range low sweep -> BOS up [09:30-10:30],140,51,0.053297181001139914,0.012200215711501245,0.041096965289638666,0.5989655253835746,-0.06171196743811542
QQQ,opening-range low sweep -> BOS up [all session],4086,1482,-0.009518924815291459,0.004084054248166418,-0.013602979063457877,-0.8209741892935715,-0.0066626941326998965
QQQ,opening-range high sweep -> BOS down [09:30-10:30],141,57,-0.02050962318724165,-0.012200215711501245,-0.008309407475740405,-0.26301586546118455,-0.12844074054789487
QQQ,opening-range high sweep -> BOS down [all session],4392,1426,0.010379269601209292,-0.004084054248166418,0.01446332384937571,1.019305453929688,-0.06059457000286272
