name,n_tr,n_va,gross_tr,mean_tr,mean_va,t_tr,stop_tr,lev1,thick,verdict
"SPY RSI2<2 5m dip, above 200-bar avg",73,17,-0.008223001695800777,-0.04822300169580078,0.1903882990859412,-2.7280472841291385,0.09964102648552987,10.03602667767802,-1.2055750423950196,reject
"SPY RSI2<2 5m dip, no trend filter",132,53,-0.013003528643450965,-0.053003528643450974,0.11804659934519952,-3.55854363634099,0.0906312305452694,11.033724180766914,-1.3250882160862743,reject
"SPY RSI2<5 5m dip, above 200-bar avg",321,79,-0.0004586864616164326,-0.04045868646161643,0.040393034451109824,-4.026317089175068,0.08011205797857744,12.482515431914225,-1.0114671615404107,reject
"SPY RSI2<5 5m dip, no trend filter",607,195,-0.0009326328349534094,-0.04093263283495341,0.02842875106866982,-5.481738878488491,0.07444762421937272,13.432262083385336,-1.023315820873835,reject
"SPY RSI2<10 5m dip, above 200-bar avg",1121,354,0.00047440647762505515,-0.03952559352237495,-0.01923422815660526,-6.69298208452846,0.0692667121879351,14.4369491262526,-0.9881398380593737,reject
"SPY RSI2<10 5m dip, no trend filter",2069,755,0.004848343370450082,-0.035151656629549916,-0.014291596162808028,-6.7151934634653765,0.06951008304945651,14.386402031608835,-0.8787914157387479,reject
"SPY RSI2<15 5m dip, above 200-bar avg",2443,764,-0.0015674366635780354,-0.04156743666357803,-0.027121358046203883,-10.895396742434162,0.06532930147110957,15.307067081411052,-1.0391859165894508,reject
"SPY RSI2<15 5m dip, no trend filter",4484,1635,0.005414891563332345,-0.03458510843666766,-0.023665687346025064,-8.418833797213692,0.07036524215394024,14.211561978459034,-0.8646277109166914,reject
"SPY RSI3<2 5m dip, above 200-bar avg",1,1,,,,,,,,NOT ENOUGH TRADES
"SPY RSI3<2 5m dip, no trend filter",7,12,,,,,,,,NOT ENOUGH TRADES
"SPY RSI3<5 5m dip, above 200-bar avg",21,7,,,,,,,,NOT ENOUGH TRADES
"SPY RSI3<5 5m dip, no trend filter",62,33,0.007765048759128855,-0.03223495124087115,0.1580008333051771,-1.023107982478946,0.0790040739138054,12.657575115569541,-0.8058737810217786,reject
"SPY RSI3<10 5m dip, above 200-bar avg",115,34,0.001607547519112986,-0.03839245248088701,0.08248354213165195,-1.8900131591032994,0.05873717525304373,17.024993042173588,-0.9598113120221753,reject
