name,n_tr,n_va,mean_tr,mean_va,R_tr,R_va,win_tr,stop_tr,lev_at_1pct,thick_x,verdict,extra
BASELINE long any bar 09:30-10:30 flat at close,14727,4913,-0.02526643665962684,-0.013673689750598832,-0.6072050649246736,-0.7277316051071419,28.58015889183133,0.288078185883062,3.4712798434725096,-0.6316609164906709,reject,
BASELINE long any bar 09:30-10:30 target 1R,14727,4913,-0.029004480324736636,-0.0333765470834355,-0.6676334799480222,-0.8903318832457509,45.52862090038705,0.288078185883062,3.4712798434725096,-0.7251120081184159,reject,
BASELINE long any bar 09:30-10:30 target 2R,14727,4913,-0.02547681625043089,-0.02941141060418392,-0.637630715209802,-0.8556694041237628,36.837101921640524,0.288078185883062,3.4712798434725096,-0.6369204062607723,reject,
BASELINE long any bar 10:30-13:00 flat at close,37862,12696,-0.023325140247774954,-0.023592987394153792,-0.9254640957497027,-0.6136597862281157,24.64212138819925,0.15233690648931927,6.564397446721898,-0.5831285061943738,reject,
BASELINE long any bar 10:30-13:00 target 1R,37862,12696,-0.033304348664002184,-0.03856080897460426,-1.090980458759653,-0.8423013289522744,41.115102213300936,0.15233690648931927,6.564397446721898,-0.8326087166000545,reject,
BASELINE long any bar 10:30-13:00 target 2R,37862,12696,-0.030906790207719272,-0.03252141299160789,-1.0540005637847962,-0.7954861181731214,33.336854894089065,0.15233690648931927,6.564397446721898,-0.7726697551929818,reject,
BASELINE long any bar 13:00-15:30 flat at close,37294,12598,-0.03862938311643065,-0.020818033916672845,-1.0887199121160467,-0.8070676780296006,24.17815198155199,0.1327328664734482,7.533929060441404,-0.9657345779107663,reject,
BASELINE long any bar 13:00-15:30 target 1R,37294,12598,-0.04100296900776613,-0.03175320243369372,-1.24765778160012,-1.0320515569370354,36.340966375288254,0.1327328664734482,7.533929060441404,-1.0250742251941531,reject,
BASELINE long any bar 13:00-15:30 target 2R,37294,12598,-0.03954675133426766,-0.02735833210697113,-1.223710699555196,-0.97381925563557,31.232906097495576,0.1327328664734482,7.533929060441404,-0.9886687833566915,reject,
BASELINE long any bar all session flat at close,95838,32240,-0.030486994608627294,-0.021913518564621186,-0.9533234937263424,-0.7250408035095766,25.33337507043135,0.16640614092961445,6.009393610197201,-0.7621748652156823,reject,
BASELINE long any bar all session target 1R,95838,32240,-0.03618159138930309,-0.035373050538392466,-1.097622858582746,-0.9339196925962181,39.35912685990943,0.16640614092961445,6.009393610197201,-0.9045397847325772,reject,
BASELINE long any bar all session target 2R,95838,32240,-0.03399877078137702,-0.030545453155679428,-1.0667587092329183,-0.8850944801861382,32.860660698261654,0.16640614092961445,6.009393610197201,-0.8499692695344255,reject,
BASELINE short any bar all session flat at close,90880,30416,-0.03345049668736217,-0.04437118005801808,-1.3043105355451594,-1.2582686955220288,20.27948943661972,0.16279856796970033,6.142560174031246,-0.8362624171840543,reject,
"OR15 break long, stop far side of range",1208,395,-0.01454481474819778,-0.012215184769528915,-0.06756224493908396,-0.04494232231789271,41.97019867549669,0.37295668272661964,2.681276529727739,-0.36362036870494446,reject,
"OR15 break long, stop at 2-candle swing",1192,392,-0.01612530261525655,-0.01933026734591775,-0.13046535070206683,-0.03294216579940011,38.84228187919463,0.35863160476511735,2.788376670413477,-0.4031325653814138,reject,
"OR15 break short, stop far side of range",1119,375,-0.053270990361860455,-0.04786016396852897,-0.1661602812303539,-0.13053051275127664,32.0822162645219,0.3766745591702134,2.654811628910981,-1.3317747590465114,reject,
"OR15 break short, stop at 2-candle swing",1098,372,-0.04416703415941503,-0.06073893866859189,-0.23013499302497967,-0.23650601818032585,29.87249544626594,0.36702768271669967,2.7245901251864897,-1.1041758539853757,reject,
"OR30 break long, stop far side of range",1135,366,-0.03638077440521599,0.0049873920257718675,-0.08468865060567522,-0.006263752424909434,44.40528634361233,0.4708657476970754,2.123747596615024,-0.9095193601303997,reject,
"OR30 break long, stop at 2-candle swing",1133,366,-0.020699690664364983,-0.012971195943890327,-0.13013337628121616,-0.06503647858356847,38.0406001765225,0.33515120822230227,2.983727868099197,-0.5174922666091245,reject,
"OR30 break short, stop far side of range",1011,338,-0.045438805191055184,-0.04143029087970703,-0.13755865901920206,-0.11710726326433073,35.60830860534125,0.46185408414057283,2.1651860064436144,-1.1359701297763796,reject,
"OR30 break short, stop at 2-candle swing",1010,338,-0.04637727826487486,-0.05582248624665811,-0.24774908348379088,-0.19469937953300082,30.099009900990097,0.34771946691521655,2.875881551503204,-1.1594319566218714,reject,
"OR60 break long, stop far side of range",997,325,-0.03166356761198054,0.004200134499806725,-0.059574289648017587,-0.005607627261840744,46.74022066198596,0.5805609067815738,1.7224721615233267,-0.7915891902995135,reject,
"OR60 break long, stop at 2-candle swing",997,325,-0.009760615838445636,-0.013035510873947515,-0.11412459733705275,-0.030096343291087492,38.515546639919755,0.2889625330323783,3.4606562640006686,-0.24401539596114089,reject,
"OR60 break short, stop far side of range",846,296,-0.03655628740020478,-0.07037053008527275,-0.0997961321144294,-0.1406629094052336,39.83451536643026,0.595110068403094,1.6803614206753035,-0.9139071850051195,reject,
