study,label,unfiltered_n,filtered_n,novel_n,novel_frac_pct,in_n,in_avg,out_n,out_avg,gap,pctile
R100-gold-session,GLD London(08:00 UTC)+2h train,55.0,0.0,0.0,0.0,,,,,,
R100-gold-session,GLD London(08:00 UTC)+2h val  ,19.0,0.0,0.0,0.0,,,,,,
R100-gold-session,GLD London(08:00 UTC)+4h train,55.0,0.0,0.0,0.0,,,,,,
R100-gold-session,GLD London(08:00 UTC)+4h val  ,19.0,0.0,0.0,0.0,,,,,,
R100-gold-session,GLD NY(13:30 UTC)+2h train,55.0,39.0,0.0,0.0,,,,,,
R100-gold-session,GLD NY(13:30 UTC)+2h val  ,19.0,16.0,0.0,0.0,,,,,,
R100-gold-session,GLD NY(13:30 UTC)+4h train,55.0,47.0,0.0,0.0,,,,,,
R100-gold-session,GLD NY(13:30 UTC)+4h val  ,19.0,17.0,0.0,0.0,,,,,,
R100-gold-session-partition,GLD NY(13:30 UTC)+2h train,,,,,39.0,50.1,16.0,-18.14,68.24,98.8
R100-gold-session-partition,GLD NY(13:30 UTC)+2h val,,,,,16.0,14.57,3.0,97.27,-82.7,14.9
R100-gold-session-partition,GLD NY(13:30 UTC)+4h train,,,,,47.0,40.21,8.0,-28.28,68.49,97.3
R100-gold-session-partition,GLD NY(13:30 UTC)+4h val,,,,,17.0,19.13,2.0,99.83,-80.69,13.7
R100-gold-session,GC=F London(08:00 UTC)+2h train,152.0,10.0,0.0,0.0,,,,,,
R100-gold-session,GC=F London(08:00 UTC)+2h val  ,55.0,2.0,0.0,0.0,,,,,,
R100-gold-session,GC=F London(08:00 UTC)+4h train,152.0,26.0,0.0,0.0,,,,,,
R100-gold-session,GC=F London(08:00 UTC)+4h val  ,55.0,6.0,0.0,0.0,,,,,,
R100-gold-session,GC=F NY(13:30 UTC)+2h train,152.0,24.0,0.0,0.0,,,,,,
R100-gold-session,GC=F NY(13:30 UTC)+2h val  ,55.0,10.0,0.0,0.0,,,,,,
R100-gold-session,GC=F NY(13:30 UTC)+4h train,152.0,36.0,0.0,0.0,,,,,,
R100-gold-session,GC=F NY(13:30 UTC)+4h val  ,55.0,15.0,0.0,0.0,,,,,,
R100-gold-session-partition,GC=F London(08:00 UTC)+2h train,,,,,10.0,32.85,142.0,14.23,18.62,76.3
R100-gold-session-partition,GC=F London(08:00 UTC)+2h val,,,,,2.0,17.7,53.0,26.5,-8.8,52.8
R100-gold-session-partition,GC=F London(08:00 UTC)+4h train,,,,,26.0,25.04,126.0,13.48,11.56,74.3
R100-gold-session-partition,GC=F London(08:00 UTC)+4h val,,,,,6.0,9.25,49.0,28.26,-19.01,36.3
R100-gold-session-partition,GC=F NY(13:30 UTC)+2h train,,,,,24.0,25.28,128.0,13.61,11.67,75.5
R100-gold-session-partition,GC=F NY(13:30 UTC)+2h val,,,,,10.0,18.5,45.0,27.89,-9.39,43.0
R100-gold-session-partition,GC=F NY(13:30 UTC)+4h train,,,,,36.0,10.4,116.0,17.02,-6.62,34.0
R100-gold-session-partition,GC=F NY(13:30 UTC)+4h val,,,,,15.0,17.32,40.0,29.51,-12.19,38.4
R86-volume-gate,BTC vol>=1.2x train,819.0,772.0,0.0,0.0,,,,,,
R86-volume-gate,BTC vol>=1.2x val  ,260.0,254.0,0.0,0.0,,,,,,
R86-volume-gate,BTC vol>=1.5x train,819.0,726.0,0.0,0.0,,,,,,
R86-volume-gate,BTC vol>=1.5x val  ,260.0,243.0,0.0,0.0,,,,,,
R86-volume-gate-partition,BTC vol>=1.2x train,,,,,772.0,16.04,47.0,-7.13,23.17,61.6
R86-volume-gate-partition,BTC vol>=1.2x val,,,,,254.0,5.52,6.0,-169.63,175.15,97.4
R86-volume-gate-partition,BTC vol>=1.5x train,,,,,726.0,11.41,93.0,40.52,-29.11,27.1
R86-volume-gate-partition,BTC vol>=1.5x val,,,,,244.0,6.78,16.0,-79.4,86.18,91.6
R86-volume-gate,ETH vol>=1.2x train,667.0,647.0,0.0,0.0,,,,,,
R86-volume-gate,ETH vol>=1.2x val  ,210.0,195.0,0.0,0.0,,,,,,
R86-volume-gate,ETH vol>=1.5x train,667.0,607.0,0.0,0.0,,,,,,
R86-volume-gate,ETH vol>=1.5x val  ,210.0,179.0,0.0,0.0,,,,,,
R86-volume-gate-partition,ETH vol>=1.2x train,,,,,647.0,39.65,20.0,-167.64,207.29,91.0
R86-volume-gate-partition,ETH vol>=1.2x val,,,,,195.0,24.71,15.0,-77.86,102.57,85.5
R86-volume-gate-partition,ETH vol>=1.5x train,,,,,607.0,53.57,60.0,-170.31,223.89,99.4
R86-volume-gate-partition,ETH vol>=1.5x val,,,,,179.0,18.49,31.0,10.96,7.54,51.6
