symbol,partition,a_label,a_n,a_mean,a_t,b_label,b_n,b_mean,b_t,total_n,whole_n
NVDA,day just ended UP / DOWN,after an up day,814,0.2600950157448183,4.478181197979455,after a down day,777,0.08935707850677282,1.306748516917077,1591,1591
NVDA,first half / second half,first half,796,0.17136883013306028,2.710283435302717,second half,795,0.18206063400016184,2.873811171939552,1591,1591
AMD,day just ended UP / DOWN,after an up day,767,0.2939480459555112,4.38435261513851,after a down day,824,0.13353997013663002,1.7065994422439772,1591,1591
AMD,first half / second half,first half,796,0.22484966869639922,2.744255295992904,second half,795,0.19687389982154269,3.0945943897232424,1591,1591
AVGO,day just ended UP / DOWN,after an up day,826,0.017494037846147746,0.4055046479565927,after a down day,765,0.027477399790290954,0.5658998164301176,1591,1591
AVGO,first half / second half,first half,796,0.025451919890415897,0.6056218050775621,second half,795,0.019132777192100086,0.3888023089024605,1591,1591
MU,day just ended UP / DOWN,after an up day,797,0.20550853331371158,3.4295711668602236,after a down day,794,0.07131943016143893,1.075783768478292,1591,1591
MU,first half / second half,first half,796,0.16386318791321425,2.7615174480691542,second half,795,0.11318595096892091,1.6924235603147335,1591,1591
MSFT,day just ended UP / DOWN,after an up day,851,0.031212673843525062,0.9469849598811969,after a down day,740,0.11598605475679817,2.7934979072620023,1591,1591
MSFT,first half / second half,first half,796,0.06176018357887259,2.0137169272466267,second half,795,0.0795352953862741,1.8748187719282485,1591,1591
GOOGL,day just ended UP / DOWN,after an up day,815,0.06124097564751846,1.5302435523563824,after a down day,776,0.0408540300578196,1.0931665502829608,1591,1591
GOOGL,first half / second half,first half,796,0.0501085515047531,1.7791051287571271,second half,795,0.05248769242743659,1.1142519715101222,1591,1591
META,day just ended UP / DOWN,after an up day,811,0.032484954271006644,0.5902152880540088,after a down day,780,-0.014785906713075997,-0.2641374725580841,1591,1591
META,first half / second half,first half,796,0.013856450329651986,0.2890945594901889,second half,795,0.004757932346143566,0.07651106105977769,1591,1591
AMZN,day just ended UP / DOWN,after an up day,775,0.1338199740395258,3.0359851638918087,after a down day,816,0.11450569647860248,2.6141799735070532,1591,1591
AMZN,first half / second half,first half,796,0.14667829437670088,3.417605346120371,second half,795,0.10112101368970844,2.249950041834281,1591,1591
TSLA,day just ended UP / DOWN,after an up day,798,0.27708044743517024,3.4843642148002694,after a down day,793,0.03344823787845685,0.40662030182175235,1591,1591
TSLA,first half / second half,first half,796,0.024684902293580637,0.4114634065331001,second half,795,0.28677417291219115,2.943807665726339,1591,1591
SMH,day just ended UP / DOWN,after an up day,818,0.07687234198218769,1.896806247557357,after a down day,773,0.09092533706816806,2.21882318886939,1591,1591
SMH,first half / second half,first half,796,0.047589153904536545,1.5844937049815278,second half,795,0.11985647143032999,2.4369304624477652,1591,1591
SPY,day just ended UP / DOWN,after an up day,864,0.022457323505928464,0.8486155826032576,after a down day,727,0.04366558129317922,1.5939349382915784,1591,1591
SPY,first half / second half,first half,796,0.024601718493087486,1.4702627982533696,second half,795,0.03970444929404508,1.1586961829801612,1591,1591
QQQ,day just ended UP / DOWN,after an up day,868,0.051226813192205636,1.8423831037164324,after a down day,723,0.03839562662453437,1.1641796347078432,1591,1591
QQQ,first half / second half,first half,796,0.03553866784694254,1.6703668881283464,second half,795,0.05526557521283846,1.494611986257586,1591,1591
