symbol,tf,swing_def,scope,side,n,med_pct,p25,p75,p90,lev_risk1,lev_risk2
NVDA,5m,TJR 2-candle,same session,long,111051,0.31446540880502905,0.15661707126076407,0.58436815193572,0.9892827699917641,3.180000000000024,6.360000000000048
NVDA,5m,ours fractal k=2,same session,long,109947,0.4096495220755529,0.20097937573900582,0.7901841571883561,1.3864106528149724,2.441111111111139,4.882222222222278
NVDA,5m,ours fractal k=3,same session,long,107091,0.5076142131979611,0.2474393598278875,0.963855421686748,1.7035775127768331,1.9700000000000328,3.9400000000000657
NVDA,5m,ours fractal k=5,same session,long,100988,0.6526392122437952,0.32292787944025625,1.232970802339468,2.1579059695717757,1.532240143159598,3.064480286319196
NVDA,1d,TJR 2-candle,any,long,1579,4.340175953079187,2.190060837505202,7.234098011798915,10.539130859418867,0.230405405405405,0.46081081081081
NVDA,1d,ours fractal k=3,any,long,1571,8.858342878961443,4.810958116201809,13.719187175759739,18.4287812041116,0.11288793103448266,0.22577586206896533
NVDA,1d,ours fractal k=5,any,long,1569,12.238879331531082,7.174421627242002,17.471387696709577,25.386495762319132,0.08170682730923699,0.16341365461847399
AMD,5m,TJR 2-candle,same session,long,111896,0.3891892541831938,0.1912008275537063,0.7220216606498201,1.2252062951931832,2.569444015351189,5.138888030702378
AMD,5m,ours fractal k=2,same session,long,110277,0.5355776587605224,0.2619629758993996,1.0179967278676518,1.7857142857142978,1.8671428571428497,3.7342857142856993
AMD,5m,ours fractal k=3,same session,long,107200,0.6448232241772247,0.3184713375796213,1.2287035373629394,2.1857935218842397,1.5508126297342506,3.101625259468501
AMD,5m,ours fractal k=5,same session,long,101634,0.8294930875576024,0.4150633170365922,1.5800133691672515,2.728996932296497,1.2055555555555575,2.411111111111115
AMD,1d,TJR 2-candle,any,long,1582,4.778233104430335,2.5114489470925174,8.229700854700855,12.721302091166644,0.20928238077644412,0.41856476155288824
AMD,1d,ours fractal k=3,any,long,1579,9.161041465766628,4.585825305862162,15.873472926804016,24.414439239459906,0.10915789473684219,0.21831578947368438
AMD,1d,ours fractal k=5,any,long,1575,11.772853185595563,5.601434890119453,20.09986761755621,27.81769793745842,0.08494117647058827,0.16988235294117654
AVGO,5m,TJR 2-candle,same session,long,109688,0.24422735346358668,0.1244813278008346,0.44275774826059633,0.7358953393295165,4.094545454545475,8.18909090909095
AVGO,5m,ours fractal k=2,same session,long,109737,0.3060443764345901,0.15018236429950715,0.5757466714645562,1.0075566750629805,3.2674999999999246,6.534999999999849
AVGO,5m,ours fractal k=3,same session,long,106870,0.3735990037359821,0.18565714205135672,0.7010138031447135,1.2316971531874716,2.6766666666667236,5.353333333333447
AVGO,5m,ours fractal k=5,same session,long,101217,0.4872456291200966,0.24539877300612972,0.914285714285715,1.572374137309899,2.05235294117645,4.1047058823529
AVGO,1d,TJR 2-candle,any,long,1580,2.91363165978857,1.5827606828758949,4.7774404613906905,6.982906474892166,0.3432142826429082,0.6864285652858164
AVGO,1d,ours fractal k=3,any,long,1576,5.846796186727056,3.099400450299201,9.131653826470282,12.522348715274761,0.1710338393991093,0.3420676787982186
AVGO,1d,ours fractal k=5,any,long,1574,7.756777104503631,4.5070353822792395,11.275672128164365,15.846311871135715,0.1289195224417876,0.2578390448835752
MU,5m,TJR 2-candle,same session,long,112093,0.3090507726269328,0.14961445505811424,0.5770340450086433,0.9831679147171083,3.235714285714273,6.471428571428546
MU,5m,ours fractal k=2,same session,long,109747,0.4403346543373026,0.21242132358752383,0.8368200836820168,1.4578042745361148,2.2709999999999675,4.541999999999935
MU,5m,ours fractal k=3,same session,long,107027,0.5348668719434839,0.2592387000861311,1.0114126619267403,1.7646284371038814,1.8696241110735006,3.739248222147001
MU,5m,ours fractal k=5,same session,long,100661,0.7018508337914654,0.3490285002890006,1.299907149489311,2.2052761747732896,1.424804177545682,2.849608355091364
MU,1d,TJR 2-candle,any,long,1579,4.214295551576921,2.277410708097653,7.246514405615063,10.772318129989118,0.23728758169934622,0.47457516339869243
MU,1d,ours fractal k=3,any,long,1577,7.8560108671043665,4.0841929188737005,12.793733681462143,17.37669584460152,0.1272910662824208,0.2545821325648416
MU,1d,ours fractal k=5,any,long,1575,9.484193011647259,4.8410198677987175,15.018752325661618,21.757322175732217,0.10543859649122803,0.21087719298245605
MSFT,5m,TJR 2-candle,same session,long,112420,0.16739653552695777,0.07946487147316111,0.3169181076947388,0.5440009779951084,5.973839284379686,11.947678568759372
MSFT,5m,ours fractal k=2,same session,long,109849,0.24170227459104934,0.11529592621061159,0.46407885743066535,0.8125677140643452,4.137321428571412,8.274642857142824
MSFT,5m,ours fractal k=3,same session,long,107116,0.2935420743639937,0.14244422262518994,0.5596304939594965,0.9765587892331955,3.406666666666649,6.813333333333298
MSFT,5m,ours fractal k=5,same session,long,100468,0.3741436298457186,0.18625126989502105,0.7073753874976015,1.2284441441587501,2.672770348682293,5.345540697364586
MSFT,1d,TJR 2-candle,any,long,1582,2.2558301188839325,1.1703140891695132,3.8481374848754966,5.732762759014156,0.44329579236877464,0.8865915847375493
MSFT,1d,ours fractal k=3,any,long,1577,4.431229618262042,2.522632489065206,6.754914464136499,9.500685291291399,0.22567099567099544,0.4513419913419909
MSFT,1d,ours fractal k=5,any,long,1575,5.7440739647880426,3.365717414573668,8.608553984372534,11.924394349413527,0.17409246575342457,0.34818493150684915
GOOGL,5m,TJR 2-candle,same session,long,111266,0.18525067790160596,0.09116029991144473,0.3425745800622013,0.5800559413365316,5.398090907560079,10.796181815120159
GOOGL,5m,ours fractal k=2,same session,long,109942,0.24918774381955633,0.11983739712246552,0.47628549338713816,0.8318015819497702,4.013038461169773,8.026076922339547
GOOGL,5m,ours fractal k=3,same session,long,106683,0.3009575923392598,0.14605229256801233,0.5737316203662848,0.9905502626928542,3.322727272727289,6.645454545454578
GOOGL,5m,ours fractal k=5,same session,long,101423,0.39341917024321266,0.19135229375663831,0.7483707346275177,1.2781617213184437,2.5418181818181296,5.083636363636259
GOOGL,1d,TJR 2-candle,any,long,1584,2.310673923143333,1.1310908272797917,3.8283313300595396,5.5116754218090875,0.43277417466141077,0.8655483493228215
GOOGL,1d,ours fractal k=3,any,long,1576,4.426229621094171,2.3577870232794074,6.943228615009839,10.461487122076427,0.22592592016335528,0.45185184032671055
GOOGL,1d,ours fractal k=5,any,long,1574,5.442546071801517,3.0333099680399087,8.380255123041934,11.713987258137152,0.18373753511819033,0.36747507023638065
META,5m,TJR 2-candle,same session,long,112595,0.20264046668712565,0.09495765787928241,0.3884484059224717,0.6776032519252116,4.934848484848723,9.869696969697445
META,5m,ours fractal k=2,same session,long,109546,0.2972201384758246,0.14102400898071898,0.5739322372033925,1.0071360437227335,3.3645095689952322,6.7290191379904645
META,5m,ours fractal k=3,same session,long,106559,0.3584229390680951,0.17251352815594456,0.6851337057630771,1.211119275240026,2.790000000000041,5.580000000000082
META,5m,ours fractal k=5,same session,long,100466,0.4606193071837672,0.22553883730583377,0.8812729503645969,1.545761441306488,2.170990196034148,4.341980392068296
META,1d,TJR 2-candle,any,long,1585,2.5418748163385305,1.3352728357763757,4.429058995611898,6.8747186727366945,0.39341040462427657,0.7868208092485531
META,1d,ours fractal k=3,any,long,1577,5.258142272548907,2.853170189099012,8.227416454832898,12.743868971502778,0.19018123667377407,0.38036247334754814
META,1d,ours fractal k=5,any,long,1575,6.803744567034441,3.870330502120886,10.971767158605726,15.326892588754285,0.14697788697788688,0.29395577395577377
AMZN,5m,TJR 2-candle,same session,long,111875,0.18968133535659015,0.09360757757647815,0.36173996958082844,0.6255948291934328,5.272000000000299,10.544000000000597
AMZN,5m,ours fractal k=2,same session,long,109481,0.26136957658128596,0.12341108231518488,0.5115599255912903,0.9107678118515011,3.8259999999999996,7.651999999999999
AMZN,5m,ours fractal k=3,same session,long,106447,0.31307070180014984,0.1495739279932175,0.6077348066298507,1.094169638960848,3.1941666666667348,6.3883333333334695
AMZN,5m,ours fractal k=5,same session,long,100637,0.4053577722946845,0.19650101419878443,0.7821344036225225,1.4051149726444812,2.4669565217390876,4.933913043478175
AMZN,1d,TJR 2-candle,any,long,1580,2.591190519427344,1.3059969137376566,4.484724591218597,6.969095414905206,0.38592299273347186,0.7718459854669437
AMZN,1d,ours fractal k=3,any,long,1569,5.249183006535948,2.951388888888883,8.475585549821341,12.653743966750902,0.19050583657587547,0.38101167315175094
AMZN,1d,ours fractal k=5,any,long,1565,6.539618856569705,3.735214774849548,10.124491869918698,15.312885598892148,0.15291411042944794,0.3058282208588959
TSLA,5m,TJR 2-candle,same session,long,111278,0.3720283227327018,0.1870907390084151,0.6891694431620922,1.1658518595839966,2.6879673909088067,5.375934781817613
TSLA,5m,ours fractal k=2,same session,long,109539,0.48701298701299106,0.23752969121139636,0.9395579061033257,1.6730038022813736,2.0533333333333164,4.106666666666633
TSLA,5m,ours fractal k=3,same session,long,106427,0.5927137090593207,0.28985507246376707,1.1298865098104893,2.0049905406,1.687155172413798,3.374310344827596
TSLA,5m,ours fractal k=5,same session,long,100521,0.7636826474331766,0.3782505910165404,1.438848920863302,2.5290498974709568,1.3094444444444464,2.618888888888893
TSLA,1d,TJR 2-candle,any,long,1575,4.848678601875525,2.468132241901115,8.220378817205678,13.363981834695737,0.20624175824175858,0.41248351648351717
TSLA,1d,ours fractal k=3,any,long,1565,9.007506255212677,4.657933042212522,14.999164857190575,24.62440062061656,0.11101851851851852,0.22203703703703703
TSLA,1d,ours fractal k=5,any,long,1561,12.722371967654983,6.520223152022318,21.900627110467916,32.1034282393957,0.07860169491525426,0.15720338983050852
SMH,5m,TJR 2-candle,same session,long,110348,0.1801152737752187,0.08960238977168754,0.3340164033409212,0.5707560847568466,5.551999999999921,11.103999999999843
SMH,5m,ours fractal k=2,same session,long,109058,0.23901452472881515,0.11562921564849157,0.46652670865406054,0.8315066795074311,4.183846153846072,8.367692307692144
SMH,5m,ours fractal k=3,same session,long,106290,0.29207740051114217,0.14456089627756666,0.5673069142819379,1.0046724645857124,3.423749999999921,6.847499999999842
