symbol,window,variant,n,p_any,n_rev,p_rev,med_edge,mean_edge,t_edge,p_net_rev,n_net
SPY,first 60%,real_full,1171,0.9752348420153715,1142,0.521015761821366,0.02745703007889788,0.05386012261487063,2.0270492341909336,0.500875656742557,1142
SPY,first 60%,real_open60,1171,0.8462852263023057,991,0.5247225025227044,0.028720501651446906,0.05917521011886215,2.0142085946750488,0.5015136226034309,991
SPY,first 60%,placebo_full,1171,0.8650725875320239,1010,0.5217821782178218,0.030369018257941915,0.00387283052100151,0.14263466976836223,0.508390918065153,1013
SPY,first 60%,placebo_open60,1171,0.7011101622544833,821,0.5152253349573691,0.03217144641803893,0.014758473886759476,0.4757353341744317,0.5115712545676004,821
SPY,first 60%,volmatch_full,1171,0.9812126387702819,1149,0.5030461270670148,0.003055581018740483,0.019748564737755138,0.7600502535990373,0.4995648389904265,1149
SPY,first 60%,volmatch_open60,1171,0.8514090520922288,997,0.4864593781344032,-0.01636098763585503,0.006461015412095015,0.2290771838382457,0.4944834503510532,997
SPY,middle 20%,real_full,313,0.9904153354632588,310,0.4870967741935484,-0.013892495718909048,-0.024787150145685645,-0.5235478509221386,0.44516129032258067,310
SPY,middle 20%,real_open60,313,0.8849840255591054,277,0.49097472924187724,-0.011106175033315235,-0.030341851834027902,-0.5915145902596878,0.44765342960288806,277
SPY,middle 20%,placebo_full,313,0.9137380191693291,286,0.4755244755244755,-0.030470385303532632,-0.05159643588672382,-0.990681074933596,0.458041958041958,286
SPY,middle 20%,placebo_open60,313,0.7571884984025559,237,0.4767932489451477,-0.04062563477554848,-0.06190353490017178,-1.0215013673690807,0.459915611814346,237
SPY,middle 20%,volmatch_full,313,0.9904153354632588,310,0.4838709677419355,-0.04311233883709242,-0.0654780143553303,-1.269959480917267,0.4774193548387097,310
SPY,middle 20%,volmatch_open60,313,0.8434504792332268,264,0.48484848484848486,-0.03478610075714483,-0.07821504261121758,-1.3460597402582881,0.4772727272727273,264
QQQ,first 60%,real_full,1096,0.9698905109489051,1063,0.5098777046095955,0.029961905577191583,0.03485068222542403,1.006107873224937,0.49764816556914393,1063
QQQ,first 60%,real_open60,1096,0.8905109489051095,976,0.5133196721311475,0.04377252272350085,0.047736020377635906,1.3277773246669295,0.5081967213114754,976
QQQ,first 60%,placebo_full,1097,0.8587055606198724,940,0.48617021276595745,-0.03214756322132417,-0.039557347888660374,-1.090963863753732,0.47983014861995754,942
QQQ,first 60%,placebo_open60,1097,0.7411121239744758,813,0.4870848708487085,-0.03483349588964124,-0.042961450022846674,-1.050389995138137,0.48462484624846247,813
QQQ,first 60%,volmatch_full,1097,0.9644484958979034,1058,0.4962192816635161,-0.013077998746457986,0.013250118406650977,0.36915541436052,0.4886578449905482,1058
QQQ,first 60%,volmatch_open60,1097,0.8805834092980857,966,0.4906832298136646,-0.02553920273217769,-0.009637845275093706,-0.2584894707942387,0.4886128364389234,966
QQQ,middle 20%,real_full,335,0.9850746268656716,330,0.49696969696969695,-0.008557041089229944,0.010992273761803294,0.18540936498468621,0.4666666666666667,330
QQQ,middle 20%,real_open60,335,0.8776119402985074,294,0.4931972789115646,-0.02551930714381756,0.005230729288553636,0.08046542688393596,0.46598639455782315,294
QQQ,middle 20%,placebo_full,335,0.9313432835820895,312,0.483974358974359,-0.029627015494798625,-0.009757674094705217,-0.15641717887743298,0.4583333333333333,312
QQQ,middle 20%,placebo_open60,335,0.8388059701492537,281,0.48398576512455516,-0.03337969401947527,0.0039114579522486264,0.0577709086908865,0.45195729537366547,281
QQQ,middle 20%,volmatch_full,335,0.9880597014925373,331,0.5196374622356495,0.02854621892357523,0.03400973045042845,0.5566542347873568,0.46827794561933533,331
QQQ,middle 20%,volmatch_open60,335,0.9223880597014925,309,0.5210355987055016,0.06580184245158494,0.04199516586047597,0.6514452620698967,0.47896440129449835,309
BTCUSDT,first 60%,real_full,1089,0.8714416896235078,949,0.512118018967334,0.0446030330062519,-0.1315175527870784,-1.7574089850488257,0.5563751317175974,949
BTCUSDT,first 60%,real_open60,1089,0.4967860422405877,541,0.49353049907578556,-0.020440614705019566,-0.1745261698768288,-1.5799949193522724,0.5397412199630314,541
BTCUSDT,first 60%,placebo_full,1089,0.8383838383838383,912,0.47478070175438597,-0.10525780882292834,-0.23477785882534433,-2.827551747661125,0.5049288061336255,913
BTCUSDT,first 60%,placebo_open60,1089,0.5619834710743802,612,0.4624183006535948,-0.18469544700056573,-0.28235321243081885,-2.500669338079602,0.47058823529411764,612
BTCUSDT,first 60%,volmatch_full,1089,0.9146005509641874,996,0.45883534136546184,-0.1264909408109638,-0.18432382196140001,-2.346375335696795,0.5150602409638554,996
BTCUSDT,first 60%,volmatch_open60,1089,0.5638200183654729,614,0.4592833876221498,-0.14931703050866107,-0.19455583032197954,-1.7777798071458375,0.5,614
BTCUSDT,middle 20%,real_full,344,0.9186046511627907,316,0.509493670886076,0.053232086923310495,0.07366591933866594,0.5589719030910002,0.5411392405063291,316
BTCUSDT,middle 20%,real_open60,344,0.7122093023255814,245,0.5061224489795918,0.039569484013923795,0.11626641543969923,0.7575999366283271,0.5387755102040817,245
BTCUSDT,middle 20%,placebo_full,345,0.9043478260869565,312,0.4967948717948718,-0.005317138799965093,-0.14632306862069713,-1.1181397570988962,0.5064102564102564,312
BTCUSDT,middle 20%,placebo_open60,345,0.6927536231884058,239,0.497907949790795,-0.0030962217248298174,-0.15763379177463266,-0.9524256114690535,0.502092050209205,239
BTCUSDT,middle 20%,volmatch_full,345,0.9739130434782609,336,0.49702380952380953,-0.0061173070892373005,-0.08706967626060369,-0.7076742930915481,0.5089285714285714,336
BTCUSDT,middle 20%,volmatch_open60,345,0.7739130434782608,267,0.45692883895131087,-0.2010877354211682,-0.23449155693124762,-1.620107833515282,0.47191011235955055,267
