date,symbol,side,level_timeframe,level_price,swept_at,confirmed_by,confirmed_at,pullback_into,entry_at,entry,stop,stop_rests_on,risk_per_share,shares,notional,risk_wanted_dollars,risk_taken_dollars,risk_pct_of_account,size_clamped_by_buying_power,target1,target1_from,target2,target2_from,exit_at,exit_price,what_happened,pnl_dollars,pnl_pct_of_account,reward_vs_risk,regime,cost_dollars,filter_escalated
2026-01-27,QQQ,long,premarket_ny,628.87,09:30,5-minute gap inversion,09:45,a fair value gap,10:09,630.89,627.2769,"beyond the furthest price reached while the premarket_ny level was being taken, plus a spread buffer",3.6131,276.77,174612.36,1000.0,1000.0,1.0,False,634.5031,"no pool beyond 1:1, so the 1:1 floor itself",638.1162,"no marked level beyond target 1, so twice what was risked",15:55,631.16,flat by the close,68.62,0.069,0.069,trending up,6.11,False
2026-02-17,SPY,short,london,681.37,09:30,5-minute break of structure,09:50,a fair value gap,10:11,676.75,682.8677,"beyond the furthest price reached while the london level was being taken, plus a spread buffer",6.1177,163.57,110698.0,1000.69,1000.69,1.0,False,670.6323,"no pool beyond 1:1, so the 1:1 floor itself",664.5147,"no marked level beyond target 1, so twice what was risked",11:19,682.8677,stopped out,-1004.56,-1.004,-1.004,trending down,3.87,False
2026-02-23,QQQ,short,london,607.56,09:30,5-minute break of structure,09:40,a fair value gap,10:04,603.84,608.0704,"beyond the furthest price reached while the london level was being taken, plus a spread buffer",4.2304,234.17,141402.86,990.64,990.64,1.0,False,599.23,the first 15-minute pool at or beyond 1:1,593.34,the next marked higher-timeframe level,15:55,600.3725,flat by the close,940.82,0.95,0.95,trending down,4.95,False
2026-03-09,SPY,short,premarket_ny,667.29,09:30,5-minute break of structure,09:35,a fair value gap,09:53,662.7951,667.6963,"beyond the furthest price reached while the premarket_ny level was being taken, plus a spread buffer",4.9012,204.04,135238.34,1000.05,1000.05,1.0,False,657.8939,"no pool beyond 1:1, so the 1:1 floor itself",652.9927,"no marked level beyond target 1, so twice what was risked",10:47,667.6963,stopped out,-1004.78,-1.005,-1.005,trending down,4.73,False
2026-03-24,SPY,short,15m,653.03,09:35,5-minute break of structure,09:40,the midpoint,10:05,651.75,653.1052,"beyond the furthest price reached while the 15m level was being taken, plus a spread buffer",1.3552,607.6,396000.36,990.0,823.4,0.832,True,649.88,the first 15-minute pool at or beyond 1:1,641.0,the next marked higher-timeframe level,10:07,653.1052,stopped out,-837.26,-0.846,-1.017,trending down,13.86,False
2026-03-30,SPY,short,premarket_ny,640.19,09:30,5-minute gap inversion,09:35,a fair value gap,10:28,635.67,640.4336,"beyond the furthest price reached while the premarket_ny level was being taken, plus a spread buffer",4.7636,206.07,130992.53,981.63,981.63,1.0,False,630.9064,"no pool beyond 1:1, so the 1:1 floor itself",626.1429,"no marked level beyond target 1, so twice what was risked",15:55,632.36,flat by the close,827.28,0.843,0.843,trending down,4.58,False
2026-04-09,QQQ,long,15m,604.55,09:30,5-minute break of structure,09:40,the midpoint,09:57,604.82,604.4095,"beyond the furthest price reached while the 15m level was being taken, plus a spread buffer",0.4105,654.67,395960.43,989.9,268.73,0.271,True,607.1,the first 15-minute pool at or beyond 1:1,607.705,the next marked higher-timeframe level,10:00,604.4095,stopped out,-282.59,-0.285,-1.052,trending up,13.86,False
2026-04-15,SPY,long,15m,694.46,09:40,5-minute break of structure,09:55,the midpoint,10:21,696.3,694.1304,"beyond the furthest price reached while the 15m level was being taken, plus a spread buffer",2.1696,227.48,158391.16,493.54,493.54,0.5,False,698.4696,"no pool beyond 1:1, so the 1:1 floor itself",700.6393,"no marked level beyond target 1, so twice what was risked",15:55,700.19,flat by the close,683.66,0.693,1.385,trending up,5.54,False
2026-05-07,SPY,long,premarket_ny,734.71,09:30,5-minute break of structure,10:00,a fair value gap,10:20,734.79,733.4765,"beyond the furthest price reached while the premarket_ny level was being taken, plus a spread buffer",1.3135,541.06,397564.73,993.91,710.67,0.715,True,736.13,the first 15-minute pool at or beyond 1:1,737.417,"no marked level beyond target 1, so twice what was risked",11:26,734.79,stopped at break even,348.59,0.351,0.491,trending up,13.91,False
2026-05-14,QQQ,long,london,714.78,08:55,a 5-minute break of structure that printed before the bell,09:20,the midpoint,10:15,717.82,713.8182,"beyond the furthest price reached while the london level was being taken, plus a spread buffer",4.0018,124.62,89454.16,498.7,498.7,0.5,False,721.8218,"no pool beyond 1:1, so the 1:1 floor itself",725.8236,"no marked level beyond target 1, so twice what was risked",13:19,717.82,stopped at break even,246.22,0.247,0.494,trending up,3.13,False
