date,symbol,target1_filled,runner_ended,made_per_dollar_risked,left_on_table_per_dollar_risked,buffer_share_of_the_stop_distance
2026-01-27,QQQ,False,never got a partial,0.069,0.025,1.75
2026-02-17,SPY,False,never got a partial,-1.004,0.075,1.11
2026-02-23,QQQ,True,flat by the close,0.95,0.046,1.43
2026-03-09,SPY,False,never got a partial,-1.005,0.0,1.35
2026-03-24,SPY,False,never got a partial,-1.017,0.0,4.81
2026-03-30,SPY,True,flat by the close,0.843,0.181,1.33
2026-04-09,QQQ,False,never got a partial,-1.052,0.0,14.73
2026-04-15,SPY,True,flat by the close,1.385,0.041,3.21
2026-05-07,SPY,True,stopped at break even,0.491,0.632,5.59
2026-05-14,QQQ,True,stopped at break even,0.494,0.877,1.79
2026-05-26,SPY,False,never got a partial,-1.011,0.143,3.03
2026-05-28,QQQ,False,never got a partial,0.605,0.086,1.31
2026-06-08,SPY,False,never got a partial,-1.009,0.0,2.65
2026-06-09,QQQ,True,reached target 2,1.412,1.369,0.73
2026-06-18,SPY,False,never got a partial,-0.854,0.32,2.05
2026-06-22,QQQ,False,never got a partial,-1.007,0.0,1.97
2026-07-16,QQQ,True,flat by the close,2.906,0.207,3.78
2026-07-20,SPY,False,never got a partial,0.728,0.075,1.87
2026-07-21,SPY,False,never got a partial,-1.017,0.0,4.75
2026-07-23,QQQ,False,never got a partial,-1.006,0.0,1.79
