date,symbol,as_built,no_be,hold_all,first_only
2026-01-27,QQQ,0.069,0.069,0.069,0.069
2026-02-17,SPY,-1.004,-1.004,-1.004,-1.004
2026-02-23,QQQ,0.95,0.95,0.815,0.95
2026-03-09,SPY,-1.005,-1.005,-1.005,-1.005
2026-03-24,SPY,-1.017,-1.017,-1.017,-1.017
2026-03-30,QQQ,0.87,0.87,0.87,0.87
2026-04-07,QQQ,-1.005,-1.005,-1.005,-1.005
2026-04-09,QQQ,-1.052,-1.052,-1.052,-1.052
2026-04-15,SPY,1.782,1.782,1.782,1.782
2026-05-06,QQQ,1.324,1.324,1.324,1.324
2026-05-07,SPY,1.001,1.001,-1.02,0.491
2026-05-14,SPY,1.485,1.485,1.485,1.485
2026-05-26,SPY,-1.011,-1.011,-1.011,-1.011
2026-05-28,QQQ,0.605,0.605,0.605,0.605
2026-06-08,QQQ,-1.004,-1.004,-1.004,-1.004
2026-06-09,QQQ,1.412,1.412,0.96,1.412
2026-06-18,SPY,-0.854,-0.854,-0.854,-0.854
2026-06-22,QQQ,-1.007,-1.007,-1.007,-1.007
2026-07-07,QQQ,0.218,0.218,0.218,0.218
2026-07-16,QQQ,2.906,2.906,3.283,2.906
2026-07-20,QQQ,0.806,0.806,0.806,0.806
2026-07-21,SPY,-1.017,-1.017,-1.017,-1.017
