year,sessions,cpi_beats_a_quiet_day_pct,ppi_beats_a_quiet_day_pct,jobs_beats_a_quiet_day_pct,any_of_the_three_beats_a_quiet_day_pct,quiet_0830_price_move_pct,cpi_0830_price_move_pct,ppi_0830_price_move_pct,jobs_0830_price_move_pct,cpi_vs_quiet,ppi_vs_quiet,jobs_vs_quiet,top10_0830_moves_on_a_release_day,cpi_days,ppi_days,jobs_days,quiet_days,fed_1400_price_move_pct,other_1400_price_move_pct,fed_days
2016,252,86.7,84.7,99.3,90.2,0.048,0.1197,0.1128,0.3469,2.49,2.35,7.23,9,12,12,12,155,0.384,0.0739,8
2017,251,90.9,65.9,99.3,85.2,0.0252,0.0696,0.0421,0.1424,2.76,1.67,5.64,9,11,12,12,156,0.1883,0.0406,8
2018,251,88.6,62.1,97.3,82.7,0.0518,0.1409,0.1066,0.2887,2.72,2.06,5.58,8,12,12,12,157,0.2562,0.1017,8
2019,251,81.4,77.9,98.4,85.9,0.049,0.1173,0.0812,0.3037,2.39,1.66,6.19,7,12,12,12,158,0.4419,0.0776,8
2020,253,68.2,61.5,92.3,74.1,0.0779,0.1251,0.1304,0.3942,1.61,1.67,5.06,6,11,12,12,161,0.2654,0.1447,7
2021,252,95.8,73.7,96.7,88.5,0.0491,0.2955,0.0965,0.293,6.02,1.97,5.97,8,12,12,11,156,0.4836,0.0751,8
2022,251,98.9,92.7,97.5,96.4,0.1136,1.522,0.4554,0.6287,13.39,4.01,5.53,10,12,12,12,156,1.0463,0.156,8
2023,250,99.5,90.4,98.3,96.0,0.0638,0.6278,0.2741,0.5181,9.84,4.29,8.12,10,12,12,11,159,0.5165,0.0851,8
2024,252,99.0,95.3,98.6,97.7,0.0444,0.5845,0.2811,0.4676,13.15,6.32,10.52,9,12,12,12,162,0.346,0.0755,8
2025,250,99.4,96.5,98.4,98.2,0.0633,0.632,0.3559,0.3894,9.99,5.62,6.15,10,11,10,11,168,0.3339,0.0845,8
2026,140,99.3,95.5,93.4,96.2,0.0744,0.3923,0.2302,0.3054,5.27,3.09,4.11,10,7,8,6,86,0.2111,0.0835,4
