year,sessions,trading_weeks,trades,trades_per_week,trades_per_month,share_of_sessions_traded_pct,win_rate_pct,avg_win_dollars,avg_loss_dollars,avg_win_over_avg_loss,mean_result_x_risked,net_dollars,account_end_dollars,return_on_the_account_pct,stood_down_on_a_release,stood_down_because_no_calendar,stood_down_other
2016,252,52,45,0.87,3.8,17.9,40.0,776,652,1.191,-0.149,-3621,96379,-3.62,41,0,166
2017,251,52,34,0.65,2.8,13.5,41.2,799,614,1.302,-0.106,-1088,98912,-1.09,40,0,177
2018,251,53,35,0.66,2.9,13.9,34.3,1301,834,1.561,-0.114,-3561,96439,-3.56,43,0,173
2019,252,53,42,0.79,3.5,16.7,42.9,782,696,1.123,-0.101,-2634,97366,-2.63,43,0,167
2020,253,53,34,0.64,2.8,13.4,47.1,1143,754,1.516,0.045,4717,104717,4.72,41,0,178
2021,252,52,41,0.79,3.4,16.3,51.2,903,671,1.346,0.145,5542,105542,5.54,43,0,168
2022,251,52,38,0.73,3.2,15.1,42.1,1227,858,1.431,0.019,771,100771,0.77,44,0,169
2023,250,52,36,0.69,3.0,14.4,61.1,1233,796,1.548,0.403,15974,115974,15.97,41,0,173
2024,252,53,26,0.49,2.2,10.3,61.5,916,753,1.217,0.316,7126,107126,7.13,43,0,183
2025,250,53,27,0.51,2.2,10.8,44.4,975,862,1.132,0.007,-1221,98779,-1.22,40,0,183
2026,140,30,22,0.73,1.8,15.7,54.5,955,892,1.07,0.157,2538,102538,2.54,24,0,94
