market,symbol,year,entered_utc,side,level_timeframe,entry,stop,units,risk_dollars,share_of_the_days_budget,size_worked_out_from,what_happened,day_boundary_cut,pnl_dollars,result_x_risked
sp500,QQQ,2016,2016-01-11 15:08:00,short,premarket_ny,104.23,105.070423,3061.621066,2573.06,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",flat by the close,True,-715.34,-0.278
sp500,SPY,2016,2016-02-12 14:58:00,short,london,184.18,185.448418,1333.693781,1691.68,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-1700.28,-1.0051
sp500,QQQ,2016,2016-02-16 15:22:00,short,premarket_ny,99.4167,99.959942,3132.312889,1701.6,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-1712.5,-1.0064
sp500,SPY,2016,2016-02-22 15:13:00,long,premarket_ny,194.6599,193.770534,1218.515861,1083.71,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",flat by the close,True,64.93,0.0599
sp500,SPY,2016,2016-02-29 15:06:00,long,15m,195.11,194.690489,1966.825043,825.1,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",the 1-minute broke structure against the trade — the rest closed by hand,False,1265.5,1.5337
sp500,SPY,2016,2016-03-01 15:20:00,long,premarket_ny,195.25,194.434675,1231.69158,1004.23,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",the 1-minute broke structure against the trade — the rest closed by hand,False,1587.92,1.5812
sp500,QQQ,2016,2016-03-01 15:20:00,long,london,103.87,103.149613,1493.140286,1075.64,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",the 1-minute broke structure against the trade — the rest closed by hand,False,1450.38,1.3484
sp500,QQQ,2016,2016-03-10 15:23:00,long,premarket_ny,105.58,104.979442,1514.872927,909.77,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-915.37,-1.0062
sp500,SPY,2016,2016-03-10 15:23:00,long,premarket_ny,200.64,199.579936,1236.06871,1310.31,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-1318.99,-1.0066
sp500,SPY,2016,2016-03-22 14:11:00,long,premarket_ny,204.28,203.549572,1919.05711,1401.73,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",the 1-minute broke structure against the trade — the rest closed by hand,False,1627.07,1.1608
sp500,QQQ,2016,2016-03-30 14:06:00,long,premarket_ny,109.98,109.329002,2890.913254,1881.98,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-1893.11,-1.0059
sp500,QQQ,2016,2016-04-04 14:20:00,long,premarket_ny,110.265,110.008973,1414.326824,362.11,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-367.56,-1.0151
sp500,QQQ,2016,2016-04-08 14:14:00,long,4h,109.92,109.409008,2826.860923,1444.5,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-1455.38,-1.0075
sp500,QQQ,2016,2016-04-21 14:19:00,long,london,110.35,110.138965,1386.879262,292.68,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",the 1-minute broke structure against the trade — the rest closed by hand,False,726.22,2.4813
sp500,SPY,2016,2016-04-26 14:17:00,long,4h,209.2,208.78908,1142.95041,469.66,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-478.03,-1.0178
sp500,SPY,2016,2016-05-11 14:22:00,long,premarket_ny,207.769,207.539223,1145.130092,263.12,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-271.45,-1.0316
sp500,QQQ,2016,2016-05-11 14:24:00,long,premarket_ny,107.2901,106.999271,1430.123874,415.92,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-421.29,-1.0129
sp500,QQQ,2016,2016-05-16 13:58:00,long,premarket_ny,106.0,105.5494,1437.102046,647.56,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",the 1-minute broke structure against the trade — the rest closed by hand,False,1176.68,1.8171
sp500,SPY,2016,2016-05-16 14:00:00,long,london,205.59,204.709441,1148.930495,1011.7,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",the 1-minute broke structure against the trade — the rest closed by hand,False,1470.98,1.454
sp500,QQQ,2016,2016-05-20 14:00:00,long,london,106.45,105.659355,2941.424822,2325.62,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",flat by the close,True,-10.96,-0.0047
sp500,QQQ,2016,2016-05-25 14:06:00,long,premarket_ny,109.17,108.673083,2867.818089,1425.07,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",flat by the close,True,333.18,0.2338
sp500,QQQ,2016,2016-05-27 14:02:00,long,premarket_ny,109.91,109.599009,2858.183258,888.87,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",flat by the close,True,546.35,0.6147
sp500,QQQ,2016,2016-06-01 14:23:00,long,premarket_ny,110.27,109.898973,1432.331535,531.43,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",flat by the close,True,-91.47,-0.1721
sp500,SPY,2016,2016-06-01 14:24:00,long,4h,209.4599,208.869054,1169.236345,690.84,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",flat by the close,True,926.93,1.3418
sp500,QQQ,2016,2016-06-08 13:59:00,long,premarket_ny,110.5593,110.298944,720.320399,187.54,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-190.33,-1.0149
sp500,QQQ,2016,2016-06-27 14:04:00,short,premarket_ny,102.89,103.610289,3090.145967,2225.8,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",flat by the close,True,1827.51,0.8211
sp500,SPY,2016,2016-06-28 14:24:00,short,premarket_ny,201.8281,202.320183,2010.851911,989.51,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",the 1-minute broke structure against the trade — the rest closed by hand,False,1165.86,1.1782
sp500,SPY,2016,2016-06-30 14:04:00,short,premarket_ny,206.69,207.360669,1228.45882,823.89,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-832.78,-1.0108
sp500,QQQ,2016,2016-06-30 14:26:00,short,premarket_ny,106.17,106.670617,1542.325292,772.11,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-777.85,-1.0074
sp500,QQQ,2016,2016-07-05 14:06:00,short,premarket_ny,107.2244,107.670722,1503.191688,670.91,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",flat by the close,True,-299.67,-0.4467
sp500,SPY,2016,2016-07-05 14:09:00,short,premarket_ny,208.285,209.100829,1199.919927,978.93,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",flat by the close,True,-242.73,-0.248
sp500,QQQ,2016,2016-07-06 14:28:00,short,premarket_ny,107.04,107.440604,1497.696163,599.98,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-605.59,-1.0094
sp500,SPY,2016,2016-07-06 14:28:00,short,premarket_ny,207.34,208.160734,1198.916655,983.99,0.5,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-992.69,-1.0088
sp500,SPY,2016,2016-07-18 14:18:00,long,london,216.22,215.648378,1829.177023,1045.6,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",flat by the close,True,480.04,0.4591
sp500,QQQ,2016,2016-07-19 14:24:00,long,london,112.22,111.958778,2825.328042,738.04,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-749.13,-1.015
