trades,weeks,trades_per_week,win_rate_pct,mean_result_x_risked,net_dollars,deepest_fall_dollars,deepest_fall_pct_of_start,longest_losing_run,avg_win_dollars,avg_loss_dollars,pair,year,days,account_end_dollars
272,51,5.33,33.5,-0.258,-47901,67608,67.61,14,1117,826,BTC/USD,2021,365,52099
276,52,5.31,37.7,-1.103,-25832,27546,27.55,16,946,722,BTC/USD,2022,365,74168
304,52,5.85,38.2,-0.26,-36361,45179,45.18,9,550,533,BTC/USD,2023,365,63639
283,52,5.44,38.9,-0.215,-38408,49083,49.08,8,615,613,BTC/USD,2024,366,61592
265,52,5.1,38.9,-0.242,-37824,40309,40.31,11,641,641,BTC/USD,2025,365,62176
186,29,6.41,40.9,-0.145,-20911,28152,28.15,12,799,742,BTC/USD,2026,207,79089
260,50,5.2,40.8,-0.056,-7005,32390,32.39,10,1797,1283,ETH/USD,2021,365,92995
275,52,5.29,34.9,-0.257,-47584,47584,47.58,12,931,765,ETH/USD,2022,365,52416
308,51,6.04,36.7,-0.399,-42008,42927,42.93,8,569,545,ETH/USD,2023,365,57992
250,52,4.81,38.8,-0.232,-33739,39462,39.46,10,909,797,ETH/USD,2024,366,66261
281,52,5.4,40.6,-0.098,-3592,19534,19.53,8,1419,990,ETH/USD,2025,365,96408
145,29,5.0,37.2,-0.186,-13725,19662,19.66,10,899,684,ETH/USD,2026,207,86275
248,51,4.86,42.3,-0.051,-2467,40487,40.49,7,2603,1928,SOL/USD,2021,365,97533
231,52,4.44,34.2,-0.209,-39048,44793,44.79,9,1330,948,SOL/USD,2022,365,60952
134,26,5.15,39.6,-0.143,-16374,34814,34.81,14,1709,1320,SOL/USD,2023,185,83626
99,16,6.19,41.4,-0.199,-5332,18017,18.02,6,1417,1094,SOL/USD,2024,128,94668
257,52,4.94,37.0,-0.175,-34702,48339,48.34,14,1328,993,SOL/USD,2025,365,65298
143,29,4.93,46.9,-0.037,-769,12013,12.01,8,1082,964,SOL/USD,2026,207,99231
110,50,2.2,37.3,-0.1,-15698,22660,22.66,11,1442,1085,XRP/USD,2024,366,84302
245,52,4.71,38.4,-0.138,-34504,53890,53.89,10,1273,1021,XRP/USD,2025,365,65496
97,28,3.46,35.1,-1.993,-22749,22977,22.98,11,834,811,XRP/USD,2026,207,77251
244,51,4.78,37.7,-0.159,-44994,48782,48.78,13,1517,1214,LINK/USD,2021,365,55006
215,52,4.13,41.4,-0.042,-1763,21670,21.67,9,1864,1331,LINK/USD,2022,365,98237
263,51,5.16,42.2,-0.08,-27133,42931,42.93,9,1123,999,LINK/USD,2023,365,72867
289,52,5.56,43.6,-0.065,39839,22301,22.3,10,1794,1142,LINK/USD,2024,366,139839
271,52,5.21,36.9,-0.256,-49227,50904,50.9,13,1092,927,LINK/USD,2025,365,50773
116,29,4.0,38.8,-0.211,-22329,24782,24.78,6,968,928,LINK/USD,2026,207,77671
214,50,4.28,39.7,-0.116,-44466,49414,49.41,8,1464,1309,LTC/USD,2021,365,55534
168,51,3.29,41.7,-0.07,-20494,27885,27.88,7,1433,1232,LTC/USD,2022,365,79506
252,52,4.85,38.5,-0.24,-34831,49112,49.11,10,964,828,LTC/USD,2023,365,65169
249,52,4.79,41.0,-0.125,-33505,43930,43.93,9,992,916,LTC/USD,2024,366,66495
251,52,4.83,37.5,-0.292,-36425,48519,48.52,12,1050,861,LTC/USD,2025,365,63575
124,29,4.28,37.9,-0.244,-9562,17985,17.99,6,1043,761,LTC/USD,2026,207,90438
111,22,5.05,50.5,-0.021,19193,11080,11.08,7,1315,990,ADA/USD,2026,164,119193
93,19,4.89,35.5,-0.269,-23812,26916,26.92,9,1061,981,DOT/USD,2023,136,76188
242,52,4.65,43.0,-0.186,-36500,47344,47.34,9,1089,1085,DOT/USD,2024,366,63500
237,52,4.56,33.3,-0.411,-68199,72885,72.89,15,851,857,DOT/USD,2025,365,31801
131,29,4.52,42.0,-0.176,-21003,25118,25.12,9,1105,1076,DOT/USD,2026,207,78997
