trades,weeks,trades_per_week,win_rate_pct,mean_result_x_risked,net_dollars,deepest_fall_dollars,deepest_fall_pct_of_start,longest_losing_run,avg_win_dollars,avg_loss_dollars,year,sessions,account_end_dollars
55,52,1.06,38.2,-0.12,-322,7197,7.2,6,1049,657,2016,252,99678
42,52,0.81,38.1,-0.167,-3772,7273,7.27,7,645,542,2017,251,96228
41,53,0.77,29.3,-0.221,-10617,20141,20.14,11,1999,1193,2018,251,89383
53,53,1.0,45.3,-0.079,352,8476,8.48,8,981,800,2019,252,100352
46,53,0.87,43.5,-0.042,4936,9603,9.6,4,1688,1109,2020,253,104936
49,52,0.94,49.0,0.074,4048,5164,5.16,5,1106,900,2021,252,104048
45,52,0.87,40.0,0.093,2950,10810,10.81,5,2412,1499,2022,251,102950
45,52,0.87,64.4,0.364,22410,8360,8.36,4,1427,1186,2023,250,122410
34,53,0.64,64.7,0.456,15334,2119,2.12,3,1029,608,2024,252,115334
29,53,0.55,44.8,0.096,963,7156,7.16,8,1478,1141,2025,250,100963
28,30,0.93,60.7,0.177,2245,5170,5.17,3,1106,1506,2026,140,102245
