pair,session,choch_t,entry_t,exit_t,side,entry,stop,target,exit,outcome,stop_move_in_price_pct,leverage,units,notional,risk_dollars,pnl,cost,r,mfe_r,moved_to_breakeven,stop_from,hours_held,arm
BTC/USD,asia,2026-07-03 00:05:00,2026-07-03 01:05:00,2026-07-03 01:10:00,short,61448.25,61511.061,61197.005999999994,61511.061,stopped out,0.10221771978860507,29.3491187849255,47.76233462291522,2934911.87849255,3000.0,-6526.458051506424,3526.458051506424,-1.0,1.8550413144194013,False,middle_candle,0.08333333333333333,fvg_midpoint_1to4
BTC/USD,london,2026-07-06 07:40:00,2026-07-06 08:15:00,2026-07-06 08:20:00,long,62929.4075,62910.85,63003.63750000001,63003.63750000001,target,0.02948939253877866,101.73149535226909,151.10905339913305,9509203.198293304,2804.206258454807,-209.00564538192157,11425.83067920115,4.0,5.731968206923571,False,middle_candle,0.08333333333333333,fvg_midpoint_1to4
BTC/USD,asia,2026-07-07 00:20:00,2026-07-07 00:35:00,2026-07-07 01:00:00,long,64033.8575,63957.7,64338.4875,64033.8575,break even,0.11893317531276508,25.224248760791394,36.73881218649912,2352527.864269548,2797.9360890933494,-2826.6916254424837,2826.6916254424837,0.0,2.669303745527301,True,middle_candle,0.4166666666666667,fvg_midpoint_1to4
BTC/USD,asia,2026-07-09 00:20:00,2026-07-09 00:30:00,2026-07-09 01:05:00,short,62208.546749999994,62267.371,61973.24974999997,62208.546749999994,break even,0.09455975597116023,31.72597019936229,46.122735782093926,2869228.3651382877,2713.135340330075,-3447.535697408917,3447.535697408917,-0.0,3.3674334989392585,True,middle_candle,0.5833333333333334,fvg_midpoint_1to4
BTC/USD,london,2026-07-11 08:10:00,2026-07-11 09:40:00,2026-07-11 09:45:00,long,64138.56725,64110.05,64252.63624999999,64110.05,stopped out,0.04446193799253779,67.47344212714032,91.51335663179543,5869535.578601644,2609.7092694078074,-9662.279110242205,7052.569840834398,-1.0,2.775434167039401,False,middle_candle,0.08333333333333333,fvg_midpoint_1to4
BTC/USD,london,2026-07-14 07:05:00,2026-07-14 07:25:00,2026-07-14 08:00:00,short,62571.6625,62607.89,62426.752499999995,62426.752499999995,target,0.057897614595106645,51.81560623835359,64.03535701057167,4006798.7469324996,2319.840896100541,4464.974503274654,4814.3890811275105,4.0,4.432889379614794,True,middle_candle,0.5833333333333334,fvg_midpoint_1to4
BTC/USD,london,2026-07-15 07:20:00,2026-07-15 09:15:00,2026-07-15 12:30:00,short,64829.1905,64929.395,64428.3725,64829.1905,break even,0.15456694619686764,19.40906561082589,24.487823712495796,1587525.788387807,2453.7901311987807,-1907.4995537207494,1907.4995537207494,-0.0,2.8475268076782942,True,middle_candle,3.25,fvg_midpoint_1to4
BTC/USD,new_york,2026-07-15 14:30:00,2026-07-15 16:05:00,2026-07-15 16:30:00,long,65110.2675,64989.1,65594.93750000001,64989.1,stopped out,0.18609584118204275,16.12072564837888,19.77894356644393,1287812.3064785684,2396.5651445871586,-3943.9424645982112,1547.3773200110527,-1.0,1.2816431798955632,False,middle_candle,0.4166666666666667,fvg_midpoint_1to4
BTC/USD,asia,2026-07-16 00:20:00,2026-07-16 01:45:00,2026-07-16 01:50:00,short,64719.77025,64807.2785,64369.737250000006,64807.2785,stopped out,0.1352110022362123,22.187543545894506,26.034652397336703,1684956.7216942431,2278.2468706492123,-4302.8150497491815,2024.5681790999693,-1.0,1.8911674042162525,False,middle_candle,0.08333333333333333,fvg_midpoint_1to4
BTC/USD,asia,2026-07-16 00:35:00,2026-07-16 00:50:00,2026-07-16 01:15:00,short,64594.604999999996,64640.519,64410.94899999998,64410.94899999998,target,0.07108023959586766,42.20582284270196,49.61987347321075,3205176.1271520266,2278.2468706492123,5261.792070931908,3851.195411664941,4.0,5.3623077928294505,False,middle_candle,0.4166666666666667,fvg_midpoint_1to4
