timeframe,entry,target,trades,per_day_per_pair,won_pct,stopped_out_pct,mean_r,t_stat,median_stop_move_in_price_pct,median_leverage,cost_over_risk,gross_dollars,net_dollars
5m,fvg_midpoint,1:4,1118,0.61,26.7,61.4,0.556,8.33,0.144,20.9,1.83,185536,-525743
5m,fvg_midpoint,1:1,1118,0.61,34.6,40.0,0.199,6.81,0.144,20.9,1.87,26211,-514793
5m,market_on_signal,1:4,5180,2.84,10.6,38.1,0.045,2.24,0.435,6.9,0.44,12296,-500182
5m,market_on_signal,1:1,5180,2.84,31.0,35.8,-0.015,-1.31,0.435,6.9,0.43,44469,-500179
15m,fvg_midpoint,1:4,687,0.38,24.6,65.5,0.368,4.49,0.242,12.4,0.77,386546,-393893
15m,fvg_midpoint,1:1,687,0.38,41.8,41.9,0.157,4.18,0.242,12.4,0.78,114836,-450094
15m,market_on_signal,1:4,1620,0.89,9.0,36.0,-0.009,-0.27,0.785,3.8,0.24,58296,-453920
15m,market_on_signal,1:1,1620,0.89,31.5,34.1,-0.022,-1.1,0.785,3.8,0.24,3849,-447852
30m,fvg_midpoint,1:4,297,0.16,25.6,64.3,0.394,3.15,0.328,9.1,0.55,227135,-142566
30m,fvg_midpoint,1:1,297,0.16,55.2,39.1,0.212,3.75,0.328,9.1,0.54,109001,-222045
30m,market_on_signal,1:4,683,0.37,8.1,36.6,-0.083,-1.83,1.133,2.6,0.16,-132465,-328784
30m,market_on_signal,1:1,683,0.37,29.9,35.7,-0.057,-1.84,1.133,2.6,0.16,-92727,-298408
1h,fvg_midpoint,1:4,140,0.08,27.9,65.0,0.413,2.25,0.539,5.6,0.33,154620,21944
1h,fvg_midpoint,1:1,140,0.08,55.7,43.6,0.121,1.45,0.539,5.6,0.33,42364,-82348
1h,market_on_signal,1:4,305,0.17,11.1,34.1,-0.022,-0.32,1.58,1.9,0.11,-19035,-104645
1h,market_on_signal,1:1,305,0.17,29.2,33.1,-0.05,-1.11,1.58,1.9,0.11,-44459,-129775
