pair,day,day_range_pct,captured_move_in_price_pct,share_of_day_captured,r,mfe_r,pnl,outcome,hours_held,big_day
BTC/USD,2025-07-28,2.0413472327987763,-0.0,-0.0,-0.0,2.7638880506526355,-2363.057340076192,break even,1.0833333333333333,True
BTC/USD,2025-07-29,1.8854172826439535,-0.0,-0.0,-0.0,3.949627386418977,-2069.7965314879734,break even,3.6666666666666665,False
BTC/USD,2025-07-31,2.8841219445830135,-0.03413419458260833,-0.011835211977329708,-1.0,0.6192098765430633,-12959.168363879624,stopped out,0.08333333333333333,True
BTC/USD,2025-08-01,2.91051274951381,0.47591345434659255,0.16351533056369263,4.0,10.296431462675399,7410.199031992119,target,0.5,True
BTC/USD,2025-08-01,2.91051274951381,0.5825809619519022,0.20016437380293908,4.0,4.011363501536334,8574.265143388908,target,0.6666666666666666,True
BTC/USD,2025-08-03,2.5180264371861174,-0.0,-0.0,-0.0,3.3617864391593035,-7103.420886590888,break even,0.5,True
BTC/USD,2025-08-04,1.360777489488928,-0.10593164248418978,-0.07784641008720308,-1.0,2.3205014900833714,-5857.878972520264,stopped out,0.08333333333333333,False
BTC/USD,2025-08-05,2.1763363639795075,0.4214396117012172,0.19364635847493725,4.0,4.7431922345475375,7346.049635260972,target,2.0,True
BTC/USD,2025-08-06,2.1320307737138746,-0.12041492693678792,-0.05647898164576305,-1.0,1.3270344296476884,-5572.622092242862,stopped out,0.3333333333333333,True
BTC/USD,2025-08-07,2.97405528228875,0.11669403900154808,0.03923734696408992,4.0,7.179205485578846,-311.118757314076,target,0.08333333333333333,True
BTC/USD,2025-08-07,2.97405528228875,0.1108629673371007,0.03727670026758334,4.0,4.520213517544181,-876.0206774947692,target,0.16666666666666666,True
BTC/USD,2025-08-07,2.97405528228875,-0.11145360041106246,-0.03747529545761869,-1.0,1.2211806498719977,-5374.99230163165,stopped out,0.16666666666666666,True
BTC/USD,2025-08-08,1.4913364736652965,-0.09699207622683202,-0.06503701742669249,-1.0,0.10392220077811472,-5429.744413822709,stopped out,0.08333333333333333,False
BTC/USD,2025-08-10,2.416936871274815,-0.010106388908370924,-0.0041814865040477045,-1.0,10.010585656117554,-29159.970032650377,stopped out,0.08333333333333333,True
BTC/USD,2025-08-14,5.872082766277067,-0.07380166663215774,-0.012568226567921557,-1.0,4.360665313715016,-3646.6848020099605,stopped out,0.16666666666666666,True
BTC/USD,2025-08-15,2.112726642750601,-0.04919739221731166,-0.02328620807908239,-1.0,3.492432833403114,-4399.901432448201,stopped out,0.5,True
BTC/USD,2025-08-16,0.6771988681499078,-0.05656291668609475,-0.08352482460672649,-1.0,1.0117187940154457,-3581.0006710510966,stopped out,0.16666666666666666,False
BTC/USD,2025-08-18,2.4239050967633684,-0.08494446672560353,-0.03504446887752725,-1.0,1.6200575052507045,-2508.0907454215535,stopped out,0.08333333333333333,True
BTC/USD,2025-08-20,1.939154153287048,-0.0723154765961241,-0.03729227842641731,-1.0,1.161182493383433,-2564.4299684283296,stopped out,0.4166666666666667,False
BTC/USD,2025-08-20,1.939154153287048,-0.04959768506805407,-0.025576968692242102,-1.0,1.6239926154724305,-3034.4061413329878,stopped out,0.08333333333333333,False
BTC/USD,2025-08-20,1.939154153287048,0.32957715056163556,0.16995923196872792,4.0,4.807521166635826,2022.0408690110996,target,0.08333333333333333,False
BTC/USD,2025-08-22,4.999606912639624,-0.11357383755685883,-0.022716553429376646,-1.0,0.18718697584953592,-1762.0327023809741,stopped out,0.3333333333333333,True
BTC/USD,2025-08-23,2.09387939003112,0.5069665864381873,0.2421183325323492,4.0,4.49281511647051,2451.7856143080207,target,4.75,True
BTC/USD,2025-08-25,4.7972708594370275,0.42815811869737824,0.08925035322012727,4.0,4.546070222935021,2523.2503249948277,target,0.75,True
BTC/USD,2025-08-25,4.7972708594370275,0.5215578382445741,0.10871969782956561,4.0,4.193359643733706,2932.5599667561964,target,0.25,True
BTC/USD,2025-08-26,3.2826282381376752,-0.0,-0.0,0.0,1.9338465746133877,-1014.3057624359643,break even,0.5833333333333334,True
BTC/USD,2025-08-27,2.0535227244500835,0.568864566725308,0.2770188807516826,4.0,4.03566003844557,3187.129970544806,target,0.9166666666666666,True
BTC/USD,2025-08-27,2.0535227244500835,0.7442222296581676,0.36241246361540225,4.0,4.137431448377311,3708.932422106524,target,0.4166666666666667,True
BTC/USD,2025-08-27,2.0535227244500835,-0.1546487599053521,-0.07530900830267936,-1.0,2.4383780405954316,-2162.6053467942825,stopped out,0.9166666666666666,True
BTC/USD,2025-08-29,4.557319308546962,0.28382349956735015,0.06227860730211668,4.0,4.575007485148242,2657.5659020372736,target,0.3333333333333333,True
BTC/USD,2025-08-29,4.557319308546962,0.6078016131045376,0.13336823074140194,4.0,9.822715702939336,3953.391994006656,target,0.08333333333333333,True
BTC/USD,2025-08-30,2.4884809886858243,-0.11138739865521352,-0.04476120137612046,-1.0,0.4101916616695364,-2807.261168204978,stopped out,0.16666666666666666,True
BTC/USD,2025-08-31,1.385369651435209,-0.054371984526583296,-0.03924727560637355,-1.0,1.8998176039680588,-4064.5407596483883,stopped out,0.08333333333333333,False
BTC/USD,2025-08-31,1.385369651435209,0.3342913794120843,0.24130121449229572,4.0,8.77387568486933,2932.0618071319172,target,0.08333333333333333,False
BTC/USD,2025-09-01,2.463329909719626,0.34469489028187195,0.13993046117038574,4.0,6.203643078099377,3210.9165377017725,target,0.25,True
BTC/USD,2025-09-02,3.08562650872869,-0.0,-0.0,0.0,3.0988590884653724,-2102.352640716214,break even,1.0,True
BTC/USD,2025-09-03,1.8225376742216868,-0.0486549333247557,-0.02669625655092905,-1.0,1.0318950031160057,-4390.85508810538,stopped out,0.08333333333333333,False
BTC/USD,2025-09-04,2.626545042865731,-0.03671882938304912,-0.013979897082970446,-1.0,6.391484436864733,-4844.019960113146,stopped out,0.08333333333333333,True
BTC/USD,2025-09-04,2.626545042865731,-0.10537205147836284,-0.04011812086169103,-1.0,2.280265547962914,-2115.675964358037,stopped out,0.08333333333333333,True
BTC/USD,2025-09-05,2.8477253019015207,-0.04639971230588007,-0.01629360538212637,-1.0,2.5520038167941808,-3320.4490491687898,stopped out,0.08333333333333333,True
BTC/USD,2025-09-07,1.2496741023475044,-0.08961818093289203,-0.0717132416880088,-1.0,0.8705707649160244,-1932.0833760705939,stopped out,0.16666666666666666,False
BTC/USD,2025-09-07,1.2496741023475044,-0.054428289975389774,-0.04355398729408459,-1.0,1.5217657093524444,-2461.6667570459213,stopped out,0.5833333333333334,False
BTC/USD,2025-09-08,2.0329799062824434,-0.057541914611535114,-0.02830422201110569,-1.0,2.698362934302535,-2141.932697977969,stopped out,0.5833333333333334,True
BTC/USD,2025-09-08,2.0329799062824434,-0.1647741511117705,-0.08105055569047927,-1.0,1.3034325035691248,-1088.2664004742594,stopped out,0.16666666666666666,True
BTC/USD,2025-09-10,3.1023737765601913,0.04646587552442655,0.014977523300221536,4.0,8.752184672495227,-3785.1563769475165,target,0.16666666666666666,True
BTC/USD,2025-09-10,3.1023737765601913,0.10939708123605081,0.035262379427841425,4.0,43.14861751382377,-190.05312628524894,target,0.08333333333333333,True
BTC/USD,2025-09-11,2.2429641158337,-0.06893973564910734,-0.030735995802359386,-1.0,0.6714613034623417,-1309.5667084726276,stopped out,0.25,True
BTC/USD,2025-09-11,2.2429641158337,0.3047371740699895,0.13586359760228264,4.0,4.351662952355781,1156.7507441187872,target,1.3333333333333333,True
BTC/USD,2025-09-11,2.2429641158337,0.25866145039593125,0.11532126108035745,4.0,4.3945141542938835,1012.7984027869276,target,0.16666666666666666,True
BTC/USD,2025-09-13,1.0749781125111246,-0.06466808122286924,-0.06015757946160044,-1.0,0.712089010293435,-1438.268823989792,stopped out,0.08333333333333333,False
BTC/USD,2025-09-13,1.0749781125111246,-0.02235640870449787,-0.020797082698059594,-1.0,4.9969318050263025,-2932.8578263018494,stopped out,0.08333333333333333,False
BTC/USD,2025-09-14,0.8817810738671616,-0.031062856074080894,-0.03522740166995288,-1.0,0.0,-1811.4513026284767,stopped out,0.08333333333333333,False
BTC/USD,2025-09-15,2.0211375498225705,-0.0,-0.0,-0.0,1.980107505439521,-390.0298333289937,break even,0.25,True
BTC/USD,2025-09-15,2.0211375498225705,-0.03172782425891685,-0.01569800346428779,-1.0,1.2481678903542732,-1465.1253538533936,stopped out,0.16666666666666666,True
BTC/USD,2025-09-15,2.0211375498225705,-0.0361647464629705,-0.01789326335861965,-1.0,3.081897090232683,-1132.9358137956146,stopped out,0.08333333333333333,True
BTC/USD,2025-09-16,2.0475098479184406,-0.0382497750839096,-0.018681118981085956,-1.0,2.0021845030113847,-944.7099431762,stopped out,0.5833333333333334,True
BTC/USD,2025-09-16,2.0475098479184406,0.5167083005217046,0.25235937255540214,4.0,6.082220308304876,613.2793334955369,target,0.75,True
BTC/USD,2025-09-16,2.0475098479184406,-0.08528824066413296,-0.041654618047790845,-1.0,1.7133262097385855,-481.223153438109,stopped out,0.25,True
BTC/USD,2025-09-18,1.599627680334394,-0.08160828750618981,-0.05101705134855507,-1.0,0.9263888743003108,-503.7090797270966,stopped out,0.16666666666666666,False
BTC/USD,2025-09-20,0.7296681976672201,-0.03077045637175467,-0.04217047758163109,-1.0,2.571635250162237,-925.1920998441822,stopped out,0.16666666666666666,False
BTC/USD,2025-09-20,0.7296681976672201,-0.0446886637803074,-0.06124518503503227,-1.0,2.0884242900453356,-593.4065447707299,stopped out,0.25,False
BTC/USD,2025-09-21,0.8852968798536,-0.00967028719586927,-0.010923213913809827,-1.0,4.616872961254986,-1920.7228289428062,stopped out,0.08333333333333333,False
BTC/USD,2025-09-21,0.8852968798536,-0.03995960228482577,-0.045136951450042186,-1.0,2.2777948959125465,-342.3777094590075,stopped out,0.3333333333333333,False
BTC/USD,2025-09-22,3.4216302506836787,-0.14640894994752943,-0.04278923765017431,-1.0,1.3251486578128782,-136.870258525859,stopped out,0.3333333333333333,True
BTC/USD,2025-09-23,1.812649562442547,-0.0733469149352202,-0.040463924442397554,-1.0,0.9750779569974054,-187.4930575966277,stopped out,0.16666666666666666,False
BTC/USD,2025-09-23,1.812649562442547,0.3615595644894873,0.19946467975987892,4.0,4.340429716308979,174.78188510279483,target,0.3333333333333333,False
BTC/USD,2025-09-24,2.594222700328366,-0.10032294031220622,-0.038671676220976614,-1.0,1.7107261926208146,-155.34953660616486,stopped out,0.08333333333333333,True
BTC/USD,2025-09-24,2.594222700328366,-0.027870011749771918,-0.010743106883709037,-1.0,2.8612611460905537,-350.6894037046881,stopped out,0.08333333333333333,True
BTC/USD,2025-09-24,2.594222700328366,-0.0,-0.0,-0.0,2.0212310172225076,-63.747245290935396,break even,0.8333333333333334,True
BTC/USD,2025-09-24,2.594222700328366,-0.07030261396430766,-0.027099683444836497,-1.0,2.7354939523416357,-145.19291204001493,stopped out,0.16666666666666666,True
BTC/USD,2025-09-25,4.330817396444219,-0.13104547141683143,-0.030258830936724598,-1.0,2.1325797269981006,-94.38498764702209,stopped out,0.5,True
BTC/USD,2025-09-25,4.330817396444219,-0.05433900567102506,-0.012547055370110879,-1.0,3.843713780772287,-149.02249808651865,stopped out,0.16666666666666666,True
BTC/USD,2025-09-26,1.5941459086494199,-0.15506241331103576,-0.09726990012000003,-1.0,0.8536188141158958,-74.43181684310511,stopped out,0.16666666666666666,False
BTC/USD,2025-09-28,2.900043918606457,-0.022922976571630983,-0.007904354973577794,-1.0,2.604982312790178,-247.815609350241,stopped out,0.08333333333333333,True
BTC/USD,2025-09-28,2.900043918606457,0.1967114511066638,0.06783050761561864,4.0,4.124536748929491,50.23321959348641,target,0.4166666666666667,True
BTC/USD,2025-09-28,2.900043918606457,0.2616277370222777,0.09021509479345965,4.0,4.076296298876325,73.05534084526971,target,0.6666666666666666,True
BTC/USD,2025-09-30,1.8720266089461974,-0.13424059264474142,-0.07170869901272836,-1.0,2.6522969593260437,-68.1608999363101,stopped out,0.25,False
BTC/USD,2025-10-02,2.3183208220205125,-0.10636828675589077,-0.04588160781957107,-1.0,3.0978698294685225,-72.24205833623057,stopped out,0.08333333333333333,True
BTC/USD,2025-10-06,2.5433458637266027,-0.05898193304472413,-0.02319068510733403,-1.0,1.847689784234342,-96.4458119778454,stopped out,0.08333333333333333,True
BTC/USD,2025-10-06,2.5433458637266027,-0.2026608056986645,-0.07968275514118182,-1.0,1.9877774557124626,-45.973841162253436,stopped out,0.5833333333333334,True
BTC/USD,2025-10-07,3.6887101650671843,-0.08707159975584829,-0.023604890560509083,-1.0,1.3794445574398677,-65.40777346819135,stopped out,1.0,True
BTC/USD,2025-10-08,2.600553068782507,-0.22395861485002475,-0.08611960953170426,-1.0,1.5021506317025919,-39.212385775794054,stopped out,0.4166666666666667,True
BTC/USD,2025-10-09,3.238539135849563,0.015475711392686118,0.0047786087317504,4.0,82.28331760502095,-658.6668116349035,target,0.08333333333333333,True
