pair,session,choch_t,entry_t,exit_t,side,entry,stop,target,exit,outcome,stop_move_in_price_pct,leverage,units,notional,risk_dollars,pnl,cost,r,mfe_r,moved_to_breakeven,stop_from,hours_held,arm
BTC/USD,asia,2025-07-28 00:40:00,2025-07-28 01:20:00,2025-07-28 02:25:00,short,119482.169,119664.43,118753.125,119482.169,break even,0.15254242664442977,19.666659735215035,16.45991188460517,1966665.9735215034,3000.0,-2363.057340076192,2363.057340076192,-0.0,2.7638880506526355,True,middle_candle,1.0833333333333333,fvg_midpoint_1to4
BTC/USD,london,2025-07-29 08:25:00,2025-07-29 08:45:00,2025-07-29 12:25:00,short,119043.3695,119245.791,118233.68350000001,119043.3695,break even,0.17004012978647814,17.64289408486775,14.47034173641516,1722598.2381193414,2929.108279797714,-2069.7965314879734,2069.7965314879734,-0.0,3.949627386418977,True,three_candles,3.6666666666666665,fvg_midpoint_1to4
BTC/USD,london,2025-07-31 07:15:00,2025-07-31 07:40:00,2025-07-31 07:45:00,long,118649.35,118608.85,118811.35,118608.85,stopped out,0.03413419458260833,87.8884074074074,70.79047861365616,8399244.273699205,2867.0143838530744,-12959.168363879624,10092.15398002655,-1.0,0.6192098765430633,False,middle_candle,0.08333333333333333,fvg_midpoint_1to4
BTC/USD,asia,2025-08-01 00:10:00,2025-08-01 00:20:00,2025-08-01 00:50:00,short,115815.17499999999,115952.97,115263.99499999994,115263.99499999994,target,0.11897836358664815,25.214668529334713,17.984972843255967,2082932.7772119371,2478.2393329366864,7410.199031992119,2502.758299754627,4.0,10.296431462675399,False,middle_candle,0.5,fvg_midpoint_1to4
BTC/USD,new_york,2025-08-01 13:30:00,2025-08-01 14:30:00,2025-08-01 15:10:00,short,115737.39,115905.956,115063.12599999997,115063.12599999997,target,0.14564524048797556,20.59799544392032,16.0206999270099,1854193.9955253163,2700.5453038964497,8574.265143388908,2227.91607219689,4.0,4.011363501536334,True,three_candles,0.6666666666666666,fvg_midpoint_1to4
BTC/USD,london,2025-08-03 08:25:00,2025-08-03 08:30:00,2025-08-03 09:00:00,short,113742.0075,113798.914,113514.38150000002,113742.0075,break even,0.050031207687271845,59.96257413476774,51.976017822186506,5911856.6089512715,2957.773258198117,-7103.420886590888,7103.420886590888,-0.0,3.3617864391593035,True,middle_candle,0.5,fvg_midpoint_1to4
BTC/USD,new_york,2025-08-04 14:00:00,2025-08-04 14:50:00,2025-08-04 14:55:00,long,114826.408,114704.7705,115312.95799999998,114704.7705,stopped out,0.10593164248418978,28.320149953756715,22.564345959103534,2590982.7953531737,2744.6706316003906,-5857.878972520264,3113.208340919873,-1.0,2.3205014900833714,False,middle_candle,0.08333333333333333,fvg_midpoint_1to4
BTC/USD,asia,2025-08-05 00:50:00,2025-08-05 01:05:00,2025-08-05 03:05:00,short,115037.5965,115158.8,114552.78249999999,114552.78249999999,target,0.1053599029253043,28.473830334931804,21.195215174683185,2438246.6109958813,2568.9342624247824,7346.049635260972,2929.687414438158,4.0,4.7431922345475375,True,three_candles,2.0,fvg_midpoint_1to4
BTC/USD,new_york,2025-08-06 14:15:00,2025-08-06 14:35:00,2025-08-06 14:55:00,short,114307.257,114444.9,113756.68500000001,114444.9,stopped out,0.12041492693678792,24.913854754692135,20.26485728647795,2316420.2499137577,2789.3157514826116,-5572.622092242862,2783.306340760251,-1.0,1.3270344296476884,False,middle_candle,0.3333333333333333,fvg_midpoint_1to4
BTC/USD,asia,2025-08-07 01:15:00,2025-08-07 01:20:00,2025-08-07 01:25:00,long,114975.8815,114942.339,115110.05149999999,115110.05149999999,target,0.02917350975038702,102.8330161735237,78.17357348783318,8988075.52176865,2622.137088715326,-311.118757314076,10799.66711217538,4.0,7.179205485578846,True,middle_candle,0.08333333333333333,fvg_midpoint_1to4
