pair,session,entry_t,exit_t,side,outcome,r,pnl,cost,stop_move_in_price_pct,face_value_times_account,hours_held,moved_to_breakeven
BTC/USD,asia,2025-08-13 08:00:00,2025-08-13 10:00:00,short,stopped out,-1.0,-4079.7874062232277,1079.787406223228,0.3338309919875408,8.986583247225786,2.0,False
BTC/USD,london,2025-08-17 16:00:00,2025-08-17 18:00:00,long,stopped out,-1.0,-4898.92729688149,2021.320919068187,0.1710565753234893,17.538057185621927,2.0,False
BTC/USD,asia,2025-09-09 05:00:00,2025-09-09 06:00:00,short,stopped out,-1.0,-5253.752854969387,2523.1142960625293,0.13003820030909735,23.070143949001753,1.0,False
BTC/USD,london,2025-09-16 06:00:00,2025-09-16 17:00:00,short,stopped out,-1.0,-3565.050526926349,992.024553668572,0.31164876111753564,9.626221484861208,11.0,False
BTC/USD,london,2025-10-09 02:00:00,2025-10-09 14:00:00,long,break even,0.0,-557.8474535985791,557.8474535985791,0.5311710367159175,5.647898308891547,12.0,True
BTC/USD,london,2026-01-29 11:00:00,2026-01-29 15:00:00,short,target,4.0,9455.317706979047,342.03842838906877,0.8604341870202659,3.4866118121005587,4.0,True
BTC/USD,asia,2026-04-09 09:00:00,2026-04-09 15:00:00,short,stopped out,-1.0,-3252.824859181108,519.8262941297077,0.6317202759105511,4.748937329383404,6.0,False
BTC/USD,new_york,2026-05-05 22:00:00,2026-05-05 23:00:00,long,stopped out,-1.0,-5152.98760559474,2517.573786318773,0.12577961675717636,23.85124138032353,1.0,False
BTC/USD,new_york,2026-05-18 20:00:00,2026-05-20 12:00:00,short,stopped out,-1.0,-2925.1729382087938,444.3487471006691,0.6708349552677284,4.472038876988317,40.0,False
BTC/USD,london,2026-05-22 12:00:00,2026-05-22 14:00:00,short,target,4.0,8265.318738528304,1306.9572733191394,0.2200075007938589,13.63589872697531,2.0,False
BTC/USD,new_york,2026-05-24 22:00:00,2026-05-24 23:00:00,short,stopped out,-1.0,-3761.9710244954335,1120.9424593777235,0.28309580562505215,10.597119209789236,1.0,False
BTC/USD,new_york,2026-05-25 22:00:00,2026-05-26 00:00:00,long,stopped out,-1.0,-3490.0802563793663,961.9108219965191,0.315802105903553,9.499619995935713,2.0,False
BTC/USD,london,2026-06-10 08:00:00,2026-06-10 09:00:00,long,stopped out,-1.0,-3045.4593380861074,621.9923113946415,0.46816156367641176,6.4080442154229615,1.0,False
BTC/USD,new_york,2026-06-13 16:00:00,2026-06-13 21:00:00,long,target,4.0,7835.45422814457,1492.958758050962,0.18769107376350244,15.983711637667483,5.0,False
BTC/USD,new_york,2026-06-15 19:00:00,2026-06-15 22:00:00,long,stopped out,-1.0,-3273.2168935562772,706.0500201630572,0.43688012359536377,6.866872256194894,3.0,False
BTC/USD,new_york,2026-06-27 17:00:00,2026-06-27 19:00:00,long,stopped out,-1.0,-4249.4889296949,1780.5185631083689,0.16661458960055467,18.005626081078873,2.0,False
BTC/USD,london,2026-06-28 10:00:00,2026-06-28 13:00:00,long,stopped out,-1.0,-4180.751582105359,1839.2658834096746,0.1529644996695982,19.612393767704077,3.0,False
BTC/USD,london,2026-07-03 09:00:00,2026-07-03 13:00:00,long,target,4.0,7826.2069169331735,1038.0456879969229,0.25651296446045185,11.695315308176278,4.0,True
BTC/USD,asia,2026-07-26 00:00:00,2026-07-26 15:00:00,short,stopped out,-1.0,-3034.563572700897,583.7142139603781,0.5044986465319284,5.9464976182253,15.0,False
ETH/USD,asia,2025-07-29 06:00:00,2025-07-29 07:00:00,short,stopped out,-1.0,-3509.634528416565,509.63452841656505,0.7095201051179759,4.228209994840348,1.0,False
ETH/USD,asia,2025-08-10 02:00:00,2025-08-10 03:00:00,long,stopped out,-1.0,-3660.3436970486864,765.6327329011833,0.45570837435554473,6.583157494620437,1.0,False
ETH/USD,asia,2025-08-11 10:00:00,2025-08-11 11:00:00,long,stopped out,-1.0,-3490.7590414714055,705.8583882353631,0.4755480692828612,6.308510524549236,1.0,False
ETH/USD,new_york,2025-08-11 20:00:00,2025-08-12 15:00:00,long,target,4.0,10491.60090352734,229.11062444026047,1.4100051073005957,2.1276518676896092,19.0,True
ETH/USD,london,2025-08-22 10:00:00,2025-08-22 11:00:00,long,stopped out,-1.0,-4249.2899937006105,1254.36408460289,0.28778275651757157,10.42453007366626,1.0,False
ETH/USD,new_york,2025-08-24 11:00:00,2025-08-24 17:00:00,long,target,4.0,10915.859890155933,553.9289469908767,0.623941203195407,4.80814535830623,6.0,True
ETH/USD,new_york,2025-08-24 19:00:00,2025-08-24 20:00:00,long,break even,0.0,-888.0978640744527,888.0978640744527,0.38916780194088824,7.7087569553240645,1.0,True
ETH/USD,asia,2025-08-26 12:00:00,2025-08-26 19:00:00,short,stopped out,-1.0,-3400.8498440566245,232.56977398747765,1.6419978740166485,1.827042560451928,7.0,False
ETH/USD,new_york,2025-08-27 18:00:00,2025-08-27 19:00:00,long,stopped out,-1.0,-3434.2043793798985,367.94980463245054,1.0044352101602505,2.9867531222062316,1.0,False
ETH/USD,london,2025-08-28 14:00:00,2025-08-28 15:00:00,long,stopped out,-1.0,-4027.9913986543957,1064.762955288345,0.3354397275187105,8.943484488827172,1.0,False
ETH/USD,new_york,2025-09-18 19:00:00,2025-09-19 03:00:00,long,stopped out,-1.0,-3829.5310850332385,987.1423836268197,0.34706112081420776,8.64401057935265,8.0,False
ETH/USD,london,2025-10-27 16:00:00,2025-10-28 03:00:00,short,target,4.0,10506.436835391332,403.5742400303555,0.8145993484510985,3.6827920445852085,11.0,True
ETH/USD,new_york,2025-11-06 14:00:00,2025-11-06 15:00:00,long,stopped out,-1.0,-4171.637183435326,1128.941309518164,0.3248549409631103,9.234891090484206,1.0,False
ETH/USD,new_york,2025-11-13 03:00:00,2025-11-13 05:00:00,short,stopped out,-1.0,-3121.7071875256956,204.16042911159357,1.7224576433524887,1.7416974005589938,2.0,False
ETH/USD,london,2025-11-22 14:00:00,2025-11-22 16:00:00,short,stopped out,-1.0,-4058.637145005808,1234.741602217477,0.27566069240968305,10.882944440774468,2.0,False
ETH/USD,asia,2025-11-27 14:00:00,2025-11-29 14:00:00,long,held to the cap,0.06885387211050456,-18.43350173133595,204.48605780015237,1.5927435895289346,1.88354234775936,48.0,True
ETH/USD,london,2025-12-08 18:00:00,2025-12-09 15:00:00,long,target,4.0,10262.185441943457,544.1482516014108,0.5984163359090023,5.013232126163401,21.0,True
ETH/USD,new_york,2025-12-08 21:00:00,2025-12-09 15:00:00,short,stopped out,-1.0,-3328.249784728636,626.6663613424188,0.5196181301595015,5.773470604420831,18.0,False
ETH/USD,asia,2025-12-23 02:00:00,2025-12-23 03:00:00,long,stopped out,-1.0,-3507.7631925979977,598.1616994953367,0.5862963698922934,5.116866066476106,1.0,False
ETH/USD,london,2025-12-31 09:00:00,2025-12-31 11:00:00,short,stopped out,-1.0,-3948.7352677219606,1144.3666703972392,0.2953739499156582,10.156616725532594,2.0,False
ETH/USD,asia,2026-02-08 01:00:00,2026-02-08 02:00:00,short,stopped out,-1.0,-3340.0678231482416,654.1612838551797,0.49488963196496166,6.061957669406985,1.0,False
ETH/USD,new_york,2026-03-25 16:00:00,2026-03-26 05:00:00,short,target,4.0,9627.715392936323,715.1026254581368,0.43582567891145463,6.883486093552327,13.0,False
ETH/USD,new_york,2026-04-06 16:00:00,2026-04-06 17:00:00,long,stopped out,-1.0,-3707.037413975949,832.5014475892443,0.41618367945477397,7.208355704697942,1.0,False
ETH/USD,london,2026-04-06 23:00:00,2026-04-07 12:00:00,long,stopped out,-1.0,-3319.5693723329296,445.03340594622483,0.7785337257378453,3.8533976124885125,13.0,False
ETH/USD,london,2026-04-08 23:00:00,2026-04-10 23:00:00,long,held to the cap,1.5985049057779304,4075.9493748723526,182.04850666528174,1.7636266088526422,1.7010403363962063,48.0,False
ETH/USD,london,2026-04-19 11:00:00,2026-04-19 12:00:00,short,stopped out,-1.0,-4665.048238672706,1879.0319946290967,0.1787111975968146,16.78686081421835,1.0,False
ETH/USD,new_york,2026-04-25 22:00:00,2026-04-26 05:00:00,short,stopped out,-1.0,-4492.103695766886,1846.0388988834577,0.1727674498359727,17.364382022471435,7.0,False
ETH/USD,asia,2026-05-13 12:00:00,2026-05-13 13:00:00,long,stopped out,-1.0,-3378.10371945978,866.8020334493584,0.3492056506623421,8.590926275992004,1.0,False
ETH/USD,new_york,2026-05-14 05:00:00,2026-05-14 14:00:00,short,stopped out,-1.0,-2786.1866744123304,376.22809998570216,0.7720770512824806,3.88562254896291,9.0,False
ETH/USD,new_york,2026-05-17 19:00:00,2026-05-17 22:00:00,short,target,4.0,7502.002599191464,1803.48929758557,0.1554776867321438,19.29537326580106,3.0,False
ETH/USD,new_york,2026-05-18 21:00:00,2026-05-20 21:00:00,short,held to the cap,0.11970472058535979,-34.090041831770634,339.5086224340324,0.9058069835178691,3.311963867124257,48.0,False
ETH/USD,new_york,2026-05-30 17:00:00,2026-05-31 02:00:00,long,target,4.0,8529.357457233851,1672.283946426345,0.18382405309431507,16.31995350717668,9.0,False
ETH/USD,london,2026-06-03 14:00:00,2026-06-03 15:00:00,long,stopped out,-1.0,-3409.8780778794317,603.587003247367,0.560396134718416,5.353355981849196,1.0,False
ETH/USD,asia,2026-06-04 03:00:00,2026-06-04 09:00:00,short,target,4.0,10380.33734427955,435.6415849031791,0.7481329929227152,4.009982220246648,6.0,False
ETH/USD,asia,2026-06-22 22:00:00,2026-06-23 06:00:00,long,stopped out,-1.0,-3534.8362506165004,519.4313979924324,0.6997126530826043,4.287474275023344,8.0,False
ETH/USD,new_york,2026-07-12 22:00:00,2026-07-13 00:00:00,long,target,4.0,10642.27923355317,995.1598268691215,0.3523764601426103,8.513622047244215,2.0,False
