pair,entry_t,equity_before,stop_move_in_price_pct,risk_dollars,risk_share_of_account_pct,truncated_by_the_ceiling,face_value_times_account,exchange_leverage_wanted,exchange_leverage_set,margin_share_of_account_pct,liquidation_move_pct,guard_needs_pct,guard_would_refuse
ETH/USD,2025-07-29 06:00:00,2178.0,0.7095201051179759,484.0,22.22222222222222,False,31.32007403585443,313.2007403585443,150.0,20.880049357236285,0.6666666666666666,2.1285603153539276,True
SOL/USD,2025-08-01 11:00:00,1611.7789627487941,0.23648143752582873,285.86685456354303,17.736107814437155,True,75.00000000000001,750.0,75.0,100.00000000000001,1.3333333333333333,0.7094443125774862,False
XRP/USD,2025-08-01 13:00:00,2594.0243086886117,0.6067648282644126,461.63124408083985,17.795949040825057,False,29.329236323286093,293.2923632328609,50.0,58.658472646572186,2.0,1.8202944847932379,False
ETH/USD,2025-08-10 02:00:00,2034.1592347688195,0.45570837435554473,452.0353855041821,22.22222222222222,False,48.764129589781014,487.6412958978101,150.0,32.509419726520676,0.6666666666666666,1.3671251230666341,True
SOL/USD,2025-08-10 06:00:00,1462.5633501826396,0.6446233991392082,325.01407781836434,22.22222222222222,False,34.473185819652926,344.73185819652923,75.0,45.96424775953724,1.3333333333333333,1.9338701974176247,True
ETH/USD,2025-08-11 10:00:00,1070.3052228058532,0.47554806928286114,237.84560506796737,22.22222222222222,False,46.729707589253614,467.2970758925361,150.0,31.153138392835743,0.6666666666666666,1.4266442078485835,True
XRP/USD,2025-08-11 13:00:00,772.1754868669844,0.616254394825652,171.59455263710765,22.222222222222225,False,36.060144006776994,360.60144006776994,50.0,72.12028801355397,2.0,1.848763184476956,False
ETH/USD,2025-08-11 20:00:00,564.6283802468348,1.4100051073005957,125.47297338818551,22.22222222222222,False,15.760384205108217,157.60384205108215,150.0,10.506922803405477,0.6666666666666666,4.230015321901787,True
BTC/USD,2025-08-13 08:00:00,1055.7944218042687,0.3338309919875408,234.62098262317082,22.22222222222222,False,66.5672833127836,665.6728331278359,150.0,44.37818887518907,0.6666666666666666,1.0014929759626223,True
XRP/USD,2025-08-13 14:00:00,736.726511757025,0.47900120522883427,163.71700261267222,22.22222222222222,False,46.39283154121909,463.92831541219084,50.0,92.78566308243818,2.0,1.4370036156865027,False
