trades,per_week,win_rate,mean_r,net,cost,lev_med,lev_lo,lev_hi,stop_lo,stop_hi,hold_med_h,hold_max_h,open,held_out,ties,window,instrument,session
107,0.40552246886843535,29.906542056074766,-0.15972825528842277,-45290.09358887656,13823.151390033127,8.877438828664149,1.7053047235881331,57.86081347429348,0.05184856243566029,1.7592163784591515,18.0,456.25,0,1,0,5 years,GBP_JPY,all
58,0.21981591770438552,29.310344827586206,-0.18076775315205781,-23452.71353777057,7963.373153829792,9.370208210261774,2.241078563110276,57.86081347429348,0.05184856243566029,1.3386411567100334,9.125,456.25,0,1,0,5 years,GBP_JPY,london
49,0.18570655116404983,30.612244897959183,-0.13482435985799765,-21837.380051106004,5859.778236203336,8.706899175649822,1.7053047235881331,29.20057345193784,0.10273770838568623,1.7592163784591515,26.75,338.75,0,0,0,5 years,GBP_JPY,new_york
114,0.43205197617758534,29.82456140350877,-0.15897360857641432,-47322.01814246831,13649.836847867375,10.305543138780004,1.5659176613800159,30.794971428570257,0.0974185024642279,1.915809543495507,8.875,432.75,0,2,0,5 years,GBP_USD,all
66,0.25013535462912834,27.272727272727273,-0.2401518030327663,-39200.444562626064,8514.918350795335,11.478893252995322,1.5659176613800159,30.794971428570257,0.0974185024642279,1.915809543495507,6.625,432.75,0,1,0,5 years,GBP_USD,london
48,0.18191662154845697,33.333333333333336,-0.047353591198930255,-8121.573579842237,5134.9184970720435,8.4892818939207,2.386723223754002,27.368316685165947,0.1096158026272053,1.256953454067202,22.0,375.75,0,1,0,5 years,GBP_USD,new_york
118,0.44721169463995675,27.11864406779661,-0.2533012512769815,-62945.661779749295,11923.883559718432,11.53422940790895,1.8789128091589915,59.22775658493215,0.05065192695080427,1.5966680227928254,7.0,601.0,0,0,0,5 years,EUR_USD,all
73,0.27666486193827833,26.027397260273972,-0.2813689404837894,-43172.60675146865,7015.425700605877,11.394086956521475,1.8789128091589915,47.57684058667617,0.06305588944130405,1.5966680227928254,7.25,601.0,0,0,0,5 years,EUR_USD,london
45,0.17054683270167842,28.88888888888889,-0.20776922211927104,-19773.055028280625,4908.457859112552,11.992195121950848,3.379968678472433,59.22775658493215,0.05065192695080427,0.8875821894763359,6.25,168.25,0,0,0,5 years,EUR_USD,new_york
123,0.466161342717921,35.77235772357724,-0.2072806454170589,-58627.992654932044,52750.5560491126,5.494794348317579,0.7199059505439165,23.334547672292427,0.12856473766415522,4.167211005456178,7.5,678.75,0,0,0,5 years,XAU_USD,all
73,0.27666486193827833,34.24657534246575,-0.2612014252683537,-42950.862592721394,34773.912430621436,5.494794348317579,0.7199059505439165,23.334547672292427,0.12856473766415522,4.167211005456178,7.75,678.75,0,0,0,5 years,XAU_USD,london
50,0.18949648077964268,38.0,-0.12855630683416844,-15677.130062210646,17976.64361849116,5.492124578941679,1.1177313962403528,18.795026404760314,0.15961669515080723,2.6840079916256476,5.5,614.5,0,0,0,5 years,XAU_USD,new_york
24,0.46153846153846156,25.0,-0.31793400121554377,-21938.69389748081,4315.710962273697,10.16748292533204,4.7430049751242915,29.200573451937835,0.10273770838568623,0.6325104054779921,21.25,131.5,0,0,0,12 months,GBP_JPY,all
9,0.17307692307692307,11.11111111111111,-0.7351878590741157,-18204.034345267166,1628.5883202427108,12.892199914567215,4.92774605949676,26.542246104246793,0.113027359787761,0.6087976051887648,9.25,31.0,0,0,0,12 months,GBP_JPY,london
15,0.28846153846153844,33.333333333333336,-0.06758168650040065,-3734.6595522136486,2687.1226420309863,10.041213133929464,4.7430049751242915,29.200573451937835,0.10273770838568623,0.6325104054779921,29.0,131.5,0,0,0,12 months,GBP_JPY,new_york
16,0.3076923076923077,37.5,0.05944095057175948,1358.6536900473243,3311.5503206796366,13.115751165493124,5.136779684282782,29.018143236069893,0.10338359610379774,0.5840234902772303,8.0,315.75,0,0,0,12 months,GBP_USD,all
11,0.21153846153846154,27.272727272727273,-0.25391233361271603,-8738.15177824845,2513.6618118732054,14.926504213758102,5.234342679127737,29.018143236069893,0.10338359610379774,0.5731378673319735,6.5,199.0,0,0,0,12 months,GBP_USD,london
