book,risk,p_both,tickets,cash_in,payouts,cash_out,ratio
"majors, his literal floor",0.005,0.022813688212927757,43.83333333333333,2191.6666666666665,0.3181818181818182,143.18181818181822,0.06533010715520224
"majors, his literal floor",0.01,0.1444866920152091,6.921052631578948,346.0526315789474,0.3181818181818182,143.18181818181822,0.4137573453162807
"majors, his literal floor",0.015,0.060836501901140684,16.4375,821.875,0.3181818181818182,143.18181818181822,0.17421361908053928
"majors, his literal floor",0.02,0.057034220532319393,17.53333333333333,876.6666666666665,0.22727272727272727,102.27272727272728,0.1166609056342897
"majors, his literal floor",0.03,0.0038022813688212928,263.0,13150.0,0.10606060606060606,47.72727272727273,0.0036294503975112338
EUR/USD alone,0.005,0.0,inf,inf,0.0,0.0,0.0
EUR/USD alone,0.01,0.0,inf,inf,0.1111111111111111,50.0,0.0
EUR/USD alone,0.015,0.068,14.705882352941176,735.2941176470588,0.15873015873015872,71.42857142857143,0.09714285714285716
EUR/USD alone,0.02,0.124,8.064516129032258,403.2258064516129,0.2222222222222222,100.0,0.248
EUR/USD alone,0.03,0.02,50.0,2500.0,0.14285714285714285,64.28571428571429,0.025714285714285717
"majors, engulf >= 3",0.005,0.0,inf,inf,0.030303030303030304,13.636363636363638,0.0
"majors, engulf >= 3",0.01,0.2661596958174905,3.757142857142857,187.85714285714286,0.3484848484848485,156.81818181818184,0.8347735914275839
"majors, engulf >= 3",0.015,0.1520912547528517,6.575,328.75,0.3787878787878788,170.45454545454547,0.5184929139301764
"majors, engulf >= 3",0.02,0.045627376425855515,21.916666666666664,1095.8333333333333,0.21212121212121213,95.45454545454545,0.08710680954026963
"majors, engulf >= 3",0.03,0.011406844106463879,87.66666666666666,4383.333333333333,0.07575757575757576,34.09090909090909,0.007777393708952645
"majors, engulf >= 4",0.005,0.0,inf,inf,0.0,0.0,0.0
"majors, engulf >= 4",0.01,0.003968253968253968,252.0,12600.0,0.25396825396825395,114.28571428571429,0.009070294784580499
"majors, engulf >= 4",0.015,0.1984126984126984,5.04,252.0,0.2857142857142857,128.57142857142858,0.5102040816326531
"majors, engulf >= 4",0.02,0.23015873015873015,4.344827586206897,217.24137931034483,0.5396825396825397,242.8571428571429,1.1179138321995465
"majors, engulf >= 4",0.03,0.0,inf,inf,0.031746031746031744,14.285714285714286,0.0
"majors, 1:3 target",0.005,0.053231939163498096,18.78571428571429,939.2857142857144,0.30303030303030304,136.36363636363637,0.14517801590044935
"majors, 1:3 target",0.01,0.08745247148288973,11.434782608695652,571.7391304347826,0.21212121212121213,95.45454545454545,0.16695471828551675
"majors, 1:3 target",0.015,0.10646387832699619,9.392857142857144,469.6428571428572,0.24242424242424243,109.09090909090911,0.23228482544071896
"majors, 1:3 target",0.02,0.0,inf,inf,0.06060606060606061,27.272727272727277,0.0
"majors, 1:3 target",0.03,0.0,inf,inf,0.045454545454545456,20.454545454545457,0.0
majors + gold,0.005,0.26996197718631176,3.7042253521126765,185.21126760563382,0.45454545454545453,204.54545454545456,1.1043899066712755
majors + gold,0.01,0.12167300380228137,8.21875,410.9375,0.3939393939393939,177.2727272727273,0.43138610438990677
majors + gold,0.015,0.08365019011406843,11.954545454545455,597.7272727272727,0.30303030303030304,136.36363636363637,0.22813688212927757
majors + gold,0.02,0.06844106463878327,14.61111111111111,730.5555555555555,0.12121212121212122,54.545454545454554,0.0746629796059454
majors + gold,0.03,0.0038022813688212928,263.0,13150.0,0.07575757575757576,34.09090909090909,0.0025924645696508816
