book,risk,end,worst_day,worst_dd,worst_bal_dd,underwater_share,days_over_daily_cap,days_over_total_cap,worst_week,best_week,weeks_green
"majors, his literal floor",0.005,5062.10706197184,-0.013620760606891963,-0.15375416300807482,-0.15004724004539002,0.9822546972860126,0,454,-0.023760065244407193,0.028556297001351972,0.40229885057471265
"majors, his literal floor",0.01,4997.974257992664,-0.0277449042637576,-0.3055687609193621,-0.29733389964325013,0.9822546972860126,0,793,-0.043761385327838714,0.05426091411936385,0.40229885057471265
"majors, his literal floor",0.015,4813.816190823519,-0.04232438196330713,-0.45434166354370753,-0.44052302402603055,0.9822546972860126,0,836,-0.06007995245755805,0.07570830314492621,0.4061302681992337
"majors, his literal floor",0.02,4524.128724170466,-0.057307553837695195,-0.5991162498218403,-0.5833696240965727,0.9832985386221295,5,872,-0.07473782716992391,0.09195036118436788,0.4061302681992337
"majors, his literal floor",0.03,3716.008330118935,-0.0882613539000693,-0.9114825325341899,-0.8906805557547745,0.9832985386221295,68,917,-0.120321486413904,0.13311518856348858,0.4099616858237548
EUR/USD alone,0.005,4726.29122582829,-0.009464041712295512,-0.1596607353396097,-0.1563104259735257,0.9640718562874252,0,163,-0.01080523379469412,0.01950287404658722,0.3076923076923077
EUR/USD alone,0.01,4428.653292596609,-0.01957632435724663,-0.315865722192035,-0.3098847235128005,0.9640718562874252,0,272,-0.02211680910522212,0.039027037417243164,0.3076923076923077
EUR/USD alone,0.015,4113.89970815921,-0.030285724490770372,-0.46761274454166596,-0.45966427030636814,0.9640718562874252,0,341,-0.034180353513801526,0.05834433355067822,0.3076923076923077
EUR/USD alone,0.02,3788.742626762001,-0.04153318775043881,-0.6141316549769976,-0.6048114916739552,0.9640718562874252,0,376,-0.04695159733078912,0.077232179517801,0.3076923076923077
EUR/USD alone,0.03,3132.297752189008,-0.06536992637708318,-0.8894864308818403,-0.8789098305084156,0.9640718562874252,5,449,-0.07411444924254097,0.11288122306323421,0.3076923076923077
"majors, engulf >= 3",0.005,5236.304709055249,-0.013741982403168368,-0.07290541723242004,-0.06513611351495292,0.9105504587155964,0,0,-0.01121226613204367,0.02097306513813829,0.3288590604026846
"majors, engulf >= 3",0.01,5450.620469132714,-0.028382403476258877,-0.1556672090032678,-0.13936248203390386,0.9128440366972477,0,29,-0.024373058529903784,0.04443623780148092,0.3288590604026846
"majors, engulf >= 3",0.015,5639.6678818932805,-0.0437097134255524,-0.24804763026883084,-0.22251050648688397,0.9128440366972477,0,85,-0.0395446646620406,0.07029700114722442,0.3288590604026846
"majors, engulf >= 3",0.02,5800.511390594485,-0.05948944986776242,-0.34961337906418377,-0.31423138741633155,0.9128440366972477,7,145,-0.05675879935369932,0.09841571201716169,0.3288590604026846
"majors, engulf >= 3",0.03,6027.996622694325,-0.09247541378866281,-0.5775843863222321,-0.5210803223845791,0.9151376146788991,75,209,-0.09726795113242656,0.16063464394591087,0.3288590604026846
"majors, engulf >= 4",0.005,5384.129608833024,-0.014218704740885369,-0.044467721765478384,-0.0397238179963113,0.8854961832061069,0,0,-0.010839054852604108,0.02073046624036801,0.3146067415730337
"majors, engulf >= 4",0.01,5778.871493641635,-0.030466107909999117,-0.09113645536657732,-0.08155467127788288,0.8854961832061069,0,0,-0.022990961782450733,0.043508402722473805,0.3146067415730337
"majors, engulf >= 4",0.015,6182.529114917602,-0.04880262375401271,-0.14000614689294488,-0.1255000705832861,0.8893129770992366,0,30,-0.036496168204391846,0.0683270576268158,0.3146067415730337
"majors, engulf >= 4",0.02,6593.224272789537,-0.06926880813271091,-0.19107341993769023,-0.1715642201394914,0.8893129770992366,3,75,-0.05138752651604623,0.09516181197269487,0.3146067415730337
"majors, engulf >= 4",0.03,7427.378740367534,-0.11664111860020566,-0.29977061365146584,-0.27004888320124665,0.8893129770992366,25,120,-0.08541765623406487,0.15468840208188714,0.3146067415730337
"majors, 1:3 target",0.005,4439.2781877497655,-0.018228032691156658,-0.22329614593672942,-0.22077471622088907,0.9824198552223371,0,659,-0.024616659992648858,0.042206578798511626,0.33725490196078434
"majors, 1:3 target",0.01,3803.1014898728913,-0.03679585515168383,-0.4572876353517777,-0.45057092602957854,0.9824198552223371,0,828,-0.04619523248913372,0.0793238987332487,0.33725490196078434
"majors, 1:3 target",0.015,3146.458605675162,-0.055695168787902365,-0.6906280279120875,-0.6823796111176652,0.9824198552223371,3,871,-0.07275591351864152,0.10965436638824617,0.33725490196078434
"majors, 1:3 target",0.02,2515.9147122551067,-0.07504005399034777,-0.9143377046900274,-0.9056278726009008,0.983453981385729,24,902,-0.10132902882476885,0.14105586097306105,0.33725490196078434
"majors, 1:3 target",0.03,1455.9329047492438,-0.11999033451862325,-1.3110415923849248,-1.3036055757932856,0.983453981385729,99,932,-0.1633618749940808,0.22570099196416554,0.33725490196078434
majors + gold,0.005,5626.6599637987765,-0.014886348863892635,-0.11318466521533682,-0.11064922219984674,0.9571150097465887,0,23,-0.0205343620501923,0.027054123898552898,0.4389312977099237
majors + gold,0.01,6170.219938923498,-0.03266764244982769,-0.22336345368758556,-0.2191624758350048,0.9610136452241715,0,464,-0.039558164474155305,0.051003348980638755,0.4389312977099237
majors + gold,0.015,6596.706376822439,-0.05245092789326482,-0.32938385015692345,-0.3243579516933239,0.9619883040935673,1,570,-0.06032821492336675,0.07436302658139367,0.44274809160305345
