window,arm,instrument,control,trades,per_week,win_rate,mean_r,net,acct_per_week,lev_med,lev_hi,size_med,open,held_out
12 months,"step470 spine (engulf, flat 1:2)",BOOK,none,120,2.3076923076923075,36.666666666666664,0.06427269451458714,24460.33229394632,0.0011759775141320346,8.373023192095081,32.61330221703366,1.0,0,1
12 months,+ head and shoulders only,BOOK,none,33,0.6346153846153846,39.39393939393939,0.18291362114645693,23018.556838816185,0.0011066613864815474,5.918068331545827,14.414895600536473,1.0,0,5
12 months,+ structure FILTER only (his newest),BOOK,none,85,1.6346153846153846,35.294117647058826,0.012722256116433763,9584.715158836934,0.00046080361340562184,9.923774962659921,32.67848239539597,1.0,0,0
12 months,+ structure RIDE only (hold to the level),BOOK,none,80,1.5384615384615385,32.5,0.11893038969000294,40156.098504094814,0.0019305816588507123,9.888605607494343,32.67848239539597,1.0,1,0
12 months,+ quality-weighted size only,BOOK,none,120,2.3076923076923075,36.666666666666664,0.06427269451458713,13651.660909542754,0.0006563298514203247,10.582151665744036,45.658623103847134,1.2,0,1
12 months,+ his rejection candle only,BOOK,none,162,3.1153846153846154,34.5679012345679,-0.018639603025026815,-5689.095419584948,-0.000273514202864661,9.414261498392435,32.61330221703367,1.0,0,1
12 months,+ rejection with no level under it,BOOK,none,208,4.0,32.69230769230769,-0.08737129989277516,-51502.98756182362,-0.0024761051712415202,9.332317322833255,31.948858564780863,1.0,0,1
12 months,step472 engulf spine,BOOK,none,80,1.5384615384615385,32.5,0.11893038969000294,51276.66272484429,0.0024652241694636677,14.235812885950075,45.65862310384714,1.2,1,0
12 months,step472 head and shoulders,BOOK,none,18,0.34615384615384615,33.333333333333336,0.09978776685805332,4219.250276244825,0.00020284857097330888,10.136535708475883,20.052913427856343,1.2,0,0
12 months,step472 BOTH PATTERNS,BOOK,none,82,1.5769230769230769,32.926829268292686,0.1266979154355842,46507.12731296062,0.002235919582353876,13.73705514007404,45.658623103847134,1.2,1,0
12 months,"step472 BOTH, engulf trigger only",BOOK,none,82,1.5769230769230769,32.926829268292686,0.1266979154355842,46507.12731296062,0.002235919582353876,13.73705514007404,45.658623103847134,1.2,1,0
12 months,"step472 BOTH, engulf trigger, flat size",BOOK,none,82,1.5769230769230769,32.926829268292686,0.12669791543558423,38142.049935359086,0.0018337524007384176,9.888605607494343,32.678482395395974,1.0,1,0
12 months,step472 engulf spine,BOOK,reversed,75,1.4423076923076923,25.333333333333332,-0.20105284900943746,-51960.38621810981,-0.002498095491255279,13.92282584212199,45.658623103847134,1.2,2,0
12 months,step472 head and shoulders,BOOK,reversed,16,0.3076923076923077,31.25,0.04549974892780484,7670.91040552696,0.0003687937694964884,10.136535708475883,20.052913427856343,1.2,1,0
12 months,step472 BOTH PATTERNS,BOOK,reversed,80,1.5384615384615385,25.0,-0.212887272176658,-57651.166339798714,-0.0027716906894133995,13.441964453675485,45.65862310384714,1.2,2,0
12 months,"step472 BOTH, engulf trigger only",BOOK,reversed,80,1.5384615384615385,25.0,-0.212887272176658,-57651.166339798714,-0.0027716906894133995,13.441964453675485,45.65862310384714,1.2,2,0
12 months,"step472 BOTH, engulf trigger, flat size",BOOK,reversed,80,1.5384615384615385,25.0,-0.21288727217665798,-46501.883610524455,-0.0022356674812752143,9.619835791655811,32.67848239539597,1.0,2,0
12 months,+ head and shoulders only,BOOK,reversed,40,0.7692307692307693,37.5,0.09193481242625128,11539.863220452822,0.0005548011163679241,5.368279854044597,14.414895600536475,1.0,0,2
12 months,+ structure FILTER only (his newest),BOOK,reversed,76,1.4615384615384615,27.63157894736842,-0.21435891599760606,-40031.381548161386,-0.0019245856513539128,9.61983579165581,32.67848239539597,1.0,2,0
12 months,"step470 spine (engulf, flat 1:2)",BOOK,reversed,126,2.423076923076923,25.396825396825395,-0.2813623893524163,-88811.70406298585,-0.004269793464566627,8.818459721453364,32.67848239539597,1.0,2,1
12 months,step472 BOTH PATTERNS,GBP_JPY,none,22,0.4230769230769231,13.636363636363637,-0.6180896719540839,-41503.416291384914,-0.007981426209881714,14.235812885950073,45.658623103847134,1.2,0,0
12 months,step472 BOTH PATTERNS,GBP_USD,none,32,0.6153846153846154,37.5,0.33386821011381573,35705.20064714543,0.006866384739835659,14.782803680623362,28.91309312592273,1.2,1,0
12 months,step472 BOTH PATTERNS,EUR_USD,none,18,0.34615384615384615,50.0,0.6270428697107602,49561.816265270696,0.009531118512552058,15.401161122677898,28.310826705056964,1.2,0,0
12 months,step472 BOTH PATTERNS,XAU_USD,none,10,0.19230769230769232,30.0,0.20166474702719678,2743.526691929401,0.0005276012869095002,2.2457804421123395,4.606619280378561,1.2,0,0
12 months,step472 BOTH PATTERNS,GBP_JPY,reversed,16,0.3076923076923077,31.25,-0.04724526857700766,-4468.753416386814,-0.0008593756569974642,14.235812885950073,45.65862310384714,1.2,1,0
12 months,step472 BOTH PATTERNS,GBP_USD,reversed,35,0.6730769230769231,20.0,-0.36224843917596145,-41365.28113683526,-0.007954861757083705,14.423367513176949,26.956082987553376,1.2,0,0
12 months,step472 BOTH PATTERNS,EUR_USD,reversed,21,0.40384615384615385,19.047619047619047,-0.41497056667649934,-27280.929221451104,-0.005246332542586751,13.089118154090704,28.310826705056968,1.2,0,0
12 months,step472 BOTH PATTERNS,XAU_USD,reversed,8,0.15384615384615385,50.0,0.6397524743080778,15463.797434874454,0.0029738071990143182,2.2457804421123395,4.606619280378561,1.1,1,0
12 months,his two-a-week cap ON,BOOK,none,82,1.5769230769230769,32.926829268292686,0.1266979154355842,46507.12731296062,0.002235919582353876,13.73705514007404,45.658623103847134,1.2,1,0
12 months,structure-shift exit ON,BOOK,none,92,1.7692307692307692,30.434782608695652,-0.008760715049734798,18623.88172564877,0.0008953789291177294,13.384208840489258,45.658623103847134,1.2,1,0
12 months,"runner ON (half past target, 1:4 ceiling)",BOOK,none,80,1.5384615384615385,32.5,0.06827460020350073,28646.344415795727,0.0013772280969132562,14.001422758302777,45.658623103847134,1.2,1,0
12 months,weekly-close direction ON,BOOK,none,35,0.6730769230769231,25.714285714285715,-0.06842715477756596,-12268.438556513058,-0.0005898287767554355,15.142239848069778,45.65862310384713,1.2,1,0
12 months,top-down layers ON (weekly+daily),BOOK,none,8,0.15384615384615385,25.0,-0.03814954392984521,-1948.1592760006552,-9.366150365387766e-05,16.703748313739418,27.55072429906502,1.3333333333333333,1,0
12 months,his engulf-quality floor at 3,BOOK,none,19,0.36538461538461536,26.31578947368421,-0.1640606051884217,-14458.080689867365,-0.0006951000331667002,13.794810753260267,22.138756091517706,1.4,1,0
12 months,size anchored at the top instead,BOOK,none,82,1.5769230769230769,32.926829268292686,0.12669791543558417,15622.808067426267,0.0007510965417031859,5.30094834834235,19.56798133022021,0.4666666666666667,1,0
12 months,"flat size, no quality dial",BOOK,none,82,1.5769230769230769,32.926829268292686,0.12669791543558423,38142.049935359086,0.0018337524007384176,9.888605607494343,32.678482395395974,1.0,1,0
12 months,his high-risk right-shoulder entry ON,BOOK,none,135,2.5961538461538463,34.074074074074076,0.08596004290051236,28274.624795295138,0.0013593569613122663,12.185106461765429,50.51825938567146,1.2,1,0
12 months,neckline need not be an area,BOOK,none,82,1.5769230769230769,32.926829268292686,0.1266979154355842,46507.12731296062,0.002235919582353876,13.73705514007404,45.658623103847134,1.2,1,0
12 months,his rejection half ON (level-gated),BOOK,none,126,2.423076923076923,30.952380952380953,-0.0034185680286782775,-8460.974056343988,-0.00040677759886269173,13.960618724500653,45.658623103847134,1.2,1,0
12 months,LAYERED: spine alone (ships),BOOK,none,82,1.5769230769230769,32.926829268292686,0.1266979154355842,46507.12731296062,0.002235919582353876,13.73705514007404,45.658623103847134,1.2,1,0
12 months,LAYERED: spine alone (ships),BOOK,reversed,80,1.5384615384615385,25.0,-0.212887272176658,-57651.166339798714,-0.0027716906894133995,13.441964453675485,45.65862310384714,1.2,2,0
12 months,LAYERED: + his weekly-close direction,BOOK,none,35,0.6730769230769231,25.714285714285715,-0.06842715477756596,-12268.438556513058,-0.0005898287767554355,15.142239848069778,45.65862310384713,1.2,1,0
12 months,LAYERED: + his weekly-close direction,BOOK,reversed,30,0.5769230769230769,23.333333333333332,-0.3356227339899195,-43504.626229752714,-0.002091568568738111,15.14527515564409,45.65862310384713,1.2,2,0
12 months,"LAYERED: + weekly close, engulf pattern only",BOOK,none,33,0.6346153846153846,24.242424242424242,-0.10997606470059686,-16480.672008000718,-0.0007923400003846499,15.148310463218403,45.65862310384713,1.2,1,0
