sym,level,dirn,entries,DAILY,H4,AGREE,STANDDOWN,NOBIAS
BTCUSD,prev day low,1,2122,1075,385,236,987,3
BTCUSD,prev day high,-1,2334,975,422,195,1007,8
BTCUSD,last session low,1,4531,2566,1957,1249,2022,6
BTCUSD,last session high,-1,4826,2227,1751,955,2067,11
BTCUSD,1h swing low,1,6922,3845,3524,2184,2994,16
BTCUSD,1h swing high,-1,7302,3301,3417,1809,3096,12
BTCUSD,4h swing low,1,3013,1708,1071,717,1344,3
BTCUSD,4h swing high,-1,3241,1504,1074,615,1347,4
ETHUSD,prev day low,1,2161,1091,427,261,994,5
ETHUSD,prev day high,-1,2276,924,304,183,862,18
ETHUSD,last session low,1,4630,2466,1956,1206,1999,22
ETHUSD,last session high,-1,4768,2290,1774,1058,1943,29
ETHUSD,1h swing low,1,6984,3736,3537,2180,2894,33
ETHUSD,1h swing high,-1,7219,3354,3282,1842,2940,36
ETHUSD,4h swing low,1,3045,1623,1066,665,1353,10
ETHUSD,4h swing high,-1,3173,1476,972,551,1343,17
SOLUSD,prev day low,1,1993,1040,293,189,955,0
SOLUSD,prev day high,-1,1930,788,286,173,728,8
SOLUSD,last session low,1,3948,2176,1558,1029,1674,3
SOLUSD,last session high,-1,3874,1764,1428,785,1622,7
SOLUSD,1h swing low,1,5582,3094,2579,1675,2322,5
SOLUSD,1h swing high,-1,5685,2626,2821,1550,2347,12
SOLUSD,4h swing low,1,2442,1325,732,495,1067,0
SOLUSD,4h swing high,-1,2527,1136,758,442,1010,2
