name,filt,n_tr,gross_tr,gross_va,par_tr,comp_tr
"prev day low -> 1m BOS, target 2R",AGREE,408,0.20385019060536164,0.1563601360319238,0.1734842873473412,0.16954492692467907
"last session high -> 1m BOS, hold 24h",H4,2674,0.17916381686229563,0.2718380682854609,0.14618202503567168,0.12786185234261135
"last session high -> 1m BOS, hold 24h",AGREE,1508,0.17495599495448705,0.34204938837302973,0.14618202503567168,0.1389259804474487
"prev day high -> 1m BOS, target 3R",H4,600,0.16384507878699087,0.19664572782158643,0.14087973721368413,0.13644341881574978
"last session high -> 1m BOS, target 3R",AGREE,1508,0.1616544012894843,0.14131618462263226,0.1448708589788731,0.14063848743967552
"prev day low -> 1m BOS, target 1R",AGREE,408,0.15305949368844698,0.11072994804299215,0.11076429114314125,0.10527734594807459
"last session high -> 1m BOS, target 3R",H4,2674,0.1523371730024416,0.11876149123486204,0.1448708589788731,0.14072359605842816
"prev day high -> 1m BOS, target 2R",H4,600,0.1234012790310434,0.13336003500554677,0.11028489519711963,0.10775114429552456
"last session high -> 1m BOS, target 2R",AGREE,1508,0.12290052337362807,0.1352172079963365,0.11086134098815975,0.1078253732561721
"prev day high -> 1m BOS, target 2R",AGREE,312,0.11899774676846948,0.1380229729033206,0.11028489519711963,0.10948394950169797
"prev day high -> 1m BOS, target 1R",AGREE,312,0.09204307667611193,0.13203614962237342,0.04710333936914998,0.04297216728907568
"last session high -> 1m BOS, target 1R",AGREE,1508,0.07632511654621431,0.09823344923348432,0.060518922141426186,0.056533012248044835
