sig_i,sig_t,stop_pct,gross_pct,net_pct,net_low_pct,net_R,reason,bars_held,sym,level,dirn,y,day,R,netR_pt,win
1687,2016-01-08 16:37:00,0.17070142768465968,-0.17070142768465968,-0.2107014276846597,-0.19070142768465967,-1.234327272727284,stop,231,SPY,prev day low,1,2016,2016-01-08,-1.0,-1.234327272727284,False
1802,2016-01-08 18:32:00,0.12886597938144329,-0.12886597938144329,-0.1688659793814433,-0.14886597938144328,-1.3104,stop,40,SPY,prev day low,1,2016,2016-01-08,-1.0,-1.3104,False
1872,2016-01-08 19:42:00,0.18602728400166063,-0.18602728400166063,-0.22602728400166064,-0.20602728400166062,-1.215022222222214,stop,31,SPY,prev day low,1,2016,2016-01-08,-1.0,-1.215022222222214,False
2048,2016-01-11 16:08:00,0.10456969570217955,-0.10456969570217955,-0.14456969570217956,-0.12456969570217956,-1.382520000000022,stop,124,SPY,prev day low,1,2016,2016-01-11,-1.0,-1.382520000000022,False
2248,2016-01-11 19:28:00,0.18293957767091487,-0.18293957767091487,-0.22293957767091488,-0.20293957767091486,-1.218651428571432,stop,26,SPY,prev day low,1,2016,2016-01-11,-1.0,-1.218651428571432,False
3155,2016-01-14 15:05:00,0.37691776822212025,1.868662738227946,1.828662738227946,1.848662738227946,4.851622535211187,close,354,SPY,prev day low,1,2016,2016-01-14,4.957746478873158,4.851622535211187,True
3733,2016-01-15 18:13:00,0.3851091142490366,0.4385964912280665,0.3985964912280665,0.41859649122806647,1.0350222222222143,close,166,SPY,prev day low,1,2016,2016-01-15,1.138888888888881,1.0350222222222143,True
4545,2016-01-20 18:45:00,0.07060612643927626,-0.07060612643927626,-0.11060612643927625,-0.09060612643927626,-1.5665230769230967,stop,1,SPY,prev day low,1,2016,2016-01-20,-1.0,-1.5665230769230967,False
5567,2016-01-25 16:17:00,0.1375588593196079,-0.1375588593196079,-0.1775588593196079,-0.1575588593196079,-1.2907846153846256,stop,232,SPY,prev day low,1,2016,2016-01-25,-1.0,-1.2907846153846256,False
8466,2016-02-03 19:15:00,0.05816720427265276,-0.05816720427265276,-0.09816720427265277,-0.07816720427265277,-1.6876727272726422,stop,1,SPY,prev day low,1,2016,2016-02-03,-1.0,-1.6876727272726422,False
12604,2016-02-19 16:43:00,0.11456543248450704,-0.11456543248450704,-0.15456543248450705,-0.13456543248450703,-1.3491454545454564,stop,3,SPY,prev day low,1,2016,2016-02-19,-1.0,-1.3491454545454564,False
12673,2016-02-19 17:52:00,0.07555625032567882,-0.07555625032567882,-0.11555625032567882,-0.09555625032567883,-1.5294068965516867,stop,3,SPY,prev day low,1,2016,2016-02-19,-1.0,-1.5294068965516867,False
12731,2016-02-19 18:50:00,0.07815029359798549,-0.07815029359798549,-0.11815029359798548,-0.0981502935979855,-1.5118342895263428,stop,4,SPY,prev day low,1,2016,2016-02-19,-1.0,-1.5118342895263428,False
12799,2016-02-19 19:58:00,0.05221932114882209,0.2715404699738957,0.23154046997389569,0.2515404699738957,4.4340000000003545,close,61,SPY,prev day low,1,2016,2016-02-19,5.200000000000399,4.4340000000003545,True
13903,2016-02-24 18:52:00,0.13596193065941062,1.0406317000470686,1.0006317000470686,1.0206317000470686,7.359646153846446,close,127,SPY,prev day low,1,2016,2016-02-24,7.653846153846457,7.359646153846446,True
14847,2016-02-29 15:06:00,0.16907552740648657,-0.16907552740648657,-0.20907552740648658,-0.18907552740648656,-1.2365806608062984,stop,6,SPY,prev day low,1,2016,2016-02-29,-1.0,-1.2365806608062984,False
17282,2016-03-08 16:41:00,0.14056850140618612,-0.14056850140618612,-0.18056850140618613,-0.16056850140618611,-1.2845587709896413,stop,208,SPY,prev day low,1,2016,2016-03-08,-1.0,-1.2845587709896413,False
17377,2016-03-08 18:16:00,0.08025279630836966,-0.08025279630836966,-0.12025279630836966,-0.10025279630836967,-1.4984250000000106,stop,82,SPY,prev day low,1,2016,2016-03-08,-1.0,-1.4984250000000106,False
18058,2016-03-10 16:37:00,0.17191745945319567,-0.17191745945319567,-0.21191745945319568,-0.19191745945319566,-1.232669794721402,stop,58,SPY,prev day low,1,2016,2016-03-10,-1.0,-1.232669794721402,False
18226,2016-03-10 19:25:00,0.00504235578861986,-0.00504235578861986,-0.04504235578861986,-0.02504235578861986,-8.932800000007216,stop,1,SPY,prev day low,1,2016,2016-03-10,-1.0,-8.932800000007216,False
19248,2016-03-15 15:57:00,0.07589549240300586,-0.07589549240300586,-0.11589549240300587,-0.09589549240300586,-1.5270405228758461,stop,2,SPY,prev day low,1,2016,2016-03-15,-1.0,-1.5270405228758461,False
19364,2016-03-15 17:53:00,0.05944714158327779,-0.05944714158327779,-0.09944714158327779,-0.07944714158327779,-1.6728666666666412,stop,54,SPY,prev day low,1,2016,2016-03-15,-1.0,-1.6728666666666412,False
19422,2016-03-15 18:51:00,0.02229764883679979,-0.02229764883679979,-0.06229764883679979,-0.04229764883679979,-2.7939111111116097,stop,1,SPY,prev day low,1,2016,2016-03-15,-1.0,-2.7939111111116097,False
