sym,construction,entries,gross,netR,t_netR_day,stop
BTCUSD,rule1 ON  + rule2 ON   (= arm A),26491,0.001242518987575295,-0.1222900273709549,-1.8814243342806807,0.5059725916553103
BTCUSD,rule1 ON  + rule2 OFF,27269,0.010929467515277682,-0.18390709407305073,-3.2867227213084087,0.4600820890976898
BTCUSD,rule1 OFF + rule2 ON,23665,0.044733012010902025,-0.12422793066470278,-0.5851226392045736,0.40078300809440304
BTCUSD,rule1 OFF + rule2 OFF  (= arm B),24906,0.05254826438651695,-0.264030088571012,-2.002050121266737,0.3601302785950319
ETHUSD,rule1 ON  + rule2 ON   (= arm A),26921,0.0704574865448181,-0.1812513651545781,-3.569111441070008,0.6456454697209558
ETHUSD,rule1 ON  + rule2 OFF,27651,0.06643031992700985,-0.2589703572482899,-4.80727843530119,0.5915878029289607
ETHUSD,rule1 OFF + rule2 ON,23859,0.1334643818216439,-0.14076682705588334,-1.5124500887761119,0.5082567934135932
ETHUSD,rule1 OFF + rule2 OFF  (= arm B),25137,0.13322135852079034,0.048991691537327894,0.6090633700486965,0.45868519083160375
SOLUSD,rule1 ON  + rule2 ON   (= arm A),21611,0.013542929674575394,-0.035453423209879736,1.2069738952643243,0.9471153846153864
SOLUSD,rule1 ON  + rule2 OFF,22112,0.02830179312022494,-0.1227324085123861,-1.1126504171202525,0.864101100053053
SOLUSD,rule1 OFF + rule2 ON,19222,0.11711969671045372,0.07009293839129696,3.29721930737152,0.7392153848280042
SOLUSD,rule1 OFF + rule2 OFF  (= arm B),20151,0.1327238938841401,-0.051232670821029586,0.7249821627078921,0.6664801176220585
