label,entries,days,gross,t_gross_day,grossR,netR,t_netR_day,stop,stop_vol,cost_over_stop,tight,hold_h
" 1m  discarded, stop from close",39073,2033,0.21917614463028978,14.456657777803171,0.9072376593818579,-0.28615594132592753,-2.436333049494636,0.2464503006985698,3.5728936595654353,1.1933936007077854,15.465922759962123,0.7166666666666667
" 1m  discarded, stop from sweep bar",39405,2033,0.24178514885158825,14.815998813946186,0.7449785815009536,0.10492646276774019,0.17042570731468534,0.2878066053033645,4.10244300533337,0.6400521187332133,9.341454130186525,1.0666666666666667
" 1m    [arm A, for reference]",78095,2033,0.12204884886708307,9.301064684676968,0.30679259025891076,-0.02076886555568509,0.4838642511806579,0.45759677780262753,6.672055769592555,0.32756145581459584,3.8760484025865933,2.05
" 5m  discarded, stop from close",33895,2033,0.2350407136385197,12.513859978591972,0.7328129595547576,0.19585612496969562,1.0364369780784068,0.4627067312485188,6.849126432237426,0.5369568345850617,5.9448296208880365,2.8333333333333335
" 5m  discarded, stop from sweep bar",33611,2033,0.24559900467065215,12.943684341595514,0.48592081480243293,0.08260446638052017,1.3413348305866986,0.49385557997388185,7.180968821941413,0.40331634842191266,3.6000119008657876,3.1666666666666665
" 5m    [arm A, for reference]",75023,2033,0.029622619982807335,3.302541414517691,0.07972768119131639,-0.118433507662971,-4.035799294892496,0.6627699478087105,9.75723729814685,0.19816118885428738,1.1463151300267918,3.5833333333333335
"15m  discarded, stop from close",18601,2033,0.1455779228431765,5.685597393295472,0.34004962912344067,-0.014503649542491668,-0.2931137201844268,0.6698164162892593,9.90256924045432,0.3545532786659323,3.3546583517015214,4.0
"15m  discarded, stop from sweep bar",18689,2033,0.17221036104361734,6.263231824028325,0.2712047949581179,0.03776161287013932,1.0225002563965884,0.7173823481609997,10.506892229719542,0.23344318208797857,1.9744234576488842,4.75
"15m    [arm A, for reference]",45939,2033,0.021838318595092283,3.0827407961262234,0.05876328872809744,-0.08770593065808568,-1.9530920608441156,0.9092509811858188,13.38146965851629,0.1464692193861831,0.5006639238990837,6.25
"60m  discarded, stop from close",5163,1663,0.04755902471086994,1.625713276227599,0.06060236549611331,-0.06250531753842886,-0.09460377864432193,1.2675485591755031,17.849040968991655,0.12310768303454217,0.6972690296339338,10.0
"60m  discarded, stop from sweep bar",5470,1663,0.041950245135192826,1.6706305877686811,0.05718145859174933,-0.05258678009026928,-0.03197930338300297,1.3470651870667216,18.914517342247755,0.10976823868201858,0.47531992687385743,11.5
"60m    [arm A, for reference]",18958,2022,0.020503347312809703,3.0167984279525255,0.04101541005957223,-0.04564375943944306,0.8102802433468689,1.506312349788793,21.70254610600383,0.08665916949901525,0.10022154235678868,15.0
