tf,rule,other,d_entries,d_gross,d_netR,d_stop
1,rule 1 (re-sweep),rule 2 ON,-7317,0.02275915253760051,0.002896446652469256,-0.14587782819720196
1,rule 1 (re-sweep),rule 2 OFF,-6782,0.017240925347177805,-0.24379707038664855,-0.1394891468547338
1,rule 2 (stop),rule 1 ON,-240,0.0042010698946309405,-0.28291609713127336,-0.0764314338954813
1,rule 2 (stop),rule 1 OFF,295,-0.0013171572957917654,-0.5296096141703912,-0.07004275255301312
5,rule 1 (re-sweep),rule 2 ON,-8277,0.06767471956246787,0.044255530793210984,-0.13969557808098199
5,rule 1 (re-sweep),rule 2 OFF,-6838,0.06861591287157912,0.1024456024568424,-0.13415842237407438
5,rule 2 (stop),rule 1 ON,2009,0.006215858512496824,-0.0748577338155881,-0.05935980148881581
5,rule 2 (stop),rule 1 OFF,3448,0.007157051821608071,-0.016667662151956697,-0.05382264578190821
15,rule 1 (re-sweep),rule 2 ON,1042,0.02790436420756892,0.014668844985588195,-0.10998666765623422
15,rule 1 (re-sweep),rule 2 OFF,902,0.0268668835092618,0.010331535884520682,-0.09685370461608789
15,rule 2 (stop),rule 1 ON,1432,0.0007842975035655744,-0.07951536247034499,-0.10613319137362398
15,rule 2 (stop),rule 1 OFF,1292,-0.0002531831947415464,-0.0838526715714125,-0.09300022833347765
60,rule 1 (re-sweep),rule 2 ON,1411,-0.0031636380933301525,-0.005949029073102345,-0.07753417617450009
60,rule 1 (re-sweep),rule 2 OFF,575,0.0011112305244690389,-0.0050066218715362765,-0.06018929848327392
60,rule 2 (stop),rule 1 ON,-997,0.0007792843728090422,-0.06750794742834575,-0.2702309499752755
60,rule 2 (stop),rule 1 OFF,-1833,0.005054152990608234,-0.06656554022677968,-0.25288607228404936
