label,entries,days,gross,t_gross_day,grossR,netR,t_netR_day,stop,stop_vol,cost_over_stop,tight,hold_h
 1m  2x2 arm B (sweep scan strict),71073,2033,0.14349084410889182,13.769953128337654,0.6397058286831341,-0.547482033073607,-4.91759564464006,0.24167619705241244,3.5951300540013156,1.1871878617567408,16.28607206674827,0.6166666666666667
 1m  + exclusion lifted in sweep scan,205152,2033,0.020807659744500055,2.874815514781447,0.43811318437960145,-1.7987751207421832,-4.243059463956724,0.19548704230417044,2.8276667573737324,2.2368883051217856,23.910563874590547,0.26666666666666666
" 1m  + same, stop from sweep bar",205110,2033,0.016772977368112764,1.5967406597420368,0.22232592423831732,-0.6969469827984965,-10.617633625311905,0.25664290748973706,3.644424912699497,0.9192729070368144,13.453268977621763,0.45
 5m  2x2 arm B (sweep scan strict),70194,2033,0.10445439136688328,9.152269203529928,0.3588480246730215,-0.09084563902171672,-0.5577328537839734,0.46925172394582026,7.088142217486569,0.44969366369473823,5.097301763683506,2.3333333333333335
 5m  + exclusion lifted in sweep scan,198363,2033,0.005461200613368302,0.4593134333803418,0.24179350150320897,-1.2181162167415016,-9.09979256361828,0.3290350266481023,4.979400539288587,1.4599097182447103,15.102614902980898,0.9166666666666666
" 5m  + same, stop from sweep bar",189598,2033,0.002404324502252758,-0.09147875071836117,0.2390135612955407,-0.6543182097167008,-4.667429960624979,0.3749267416948475,5.5221960126966065,0.8933317710122414,9.744301100222575,1.1666666666666667
15m  2x2 arm B (sweep scan strict),48273,2033,0.04948949960791966,4.431958957933963,0.14068214615872554,-0.15688975724391,-2.3516641547107304,0.706264085196107,10.678264006994565,0.29757190340263556,2.674372837818242,4.25
15m  + exclusion lifted in sweep scan,98623,2033,-0.00153338423902777,0.5215385831272505,0.07311220871645031,-0.5408223892377813,-8.928568914779305,0.5582151788061582,8.403650625431887,0.6139345979542314,6.349431674153087,2.5
"15m  + same, stop from sweep bar",121396,2033,-0.004510459251090596,-0.09113732482686362,0.044627812289197,-0.380947365897395,-10.311883187988839,0.5838909442623215,8.562233529119496,0.425575178186592,4.640185838083627,2.75
60m  2x2 arm B (sweep scan strict),18536,2022,0.022393862210087784,3.0739301376568746,0.05036124950163604,-0.11815832873932508,-0.9559026538577743,1.1758921013302435,17.40677527894745,0.16851957824096106,0.9333189469141131,9.0
60m  + exclusion lifted in sweep scan,26326,2025,0.018433209833529078,2.7697959123773814,0.03735743117160888,-0.1468644453767824,-2.054368655852418,1.1156520832108323,16.504589121899386,0.18422187654839128,1.4016561574109245,8.0
"60m  + same, stop from sweep bar",46326,2025,0.04370133018502399,2.8312215344327454,0.026459425250033083,-0.10103164921406368,-1.3471320986856017,1.2410710657705453,17.668847951554238,0.12749107446409677,0.6432672797133359,10.0
