tf,K,horizon_bars,side,n_events,mean_fwd_ret%,median_fwd_ret%,pct_positive,baseline_mean%
15m,4,4,LONG (absorbed-red),950,0.019179042630401096,0.03227104183232132,53.368421052631575,0.008001847171541543
15m,4,4,SHORT (absorbed-green),940,0.03687174989609372,0.01736782778037904,52.4468085106383,0.008001847171541543
15m,4,24,LONG (absorbed-red),950,0.10032530738631576,0.10527963344821867,54.10526315789473,0.047154012771073756
15m,4,24,SHORT (absorbed-green),940,0.13739813441270368,0.08838331152392076,53.08510638297872,0.047154012771073756
15m,6,4,LONG (absorbed-red),334,5.425293543420329e-05,0.007816762581946968,50.29940119760479,0.008001847171541543
15m,6,4,SHORT (absorbed-green),350,0.05331902261571722,0.027003613290765838,54.0,0.008001847171541543
15m,6,24,LONG (absorbed-red),334,0.07018822305445808,0.09373571248050272,52.99401197604791,0.047154012771073756
15m,6,24,SHORT (absorbed-green),350,0.14045725564756048,0.06797051099380891,52.0,0.047154012771073756
15m,10,4,LONG (absorbed-red),84,-0.03403392628457839,0.04633058230216758,54.761904761904766,0.008001847171541543
15m,10,4,SHORT (absorbed-green),87,-0.054447458202424415,0.010869565217386246,54.02298850574713,0.008001847171541543
15m,10,24,LONG (absorbed-red),84,-0.02767080832726214,0.05067802051135217,54.761904761904766,0.047154012771073756
15m,10,24,SHORT (absorbed-green),87,0.16844821840671914,-0.006197322756573698,48.275862068965516,0.047154012771073756
1h,4,4,LONG (absorbed-red),143,0.07566586974511964,0.08749863283386006,53.14685314685315,0.03157004372139417
1h,4,4,SHORT (absorbed-green),191,0.05336508226543882,0.03978109245572625,51.832460732984295,0.03157004372139417
1h,4,24,LONG (absorbed-red),143,0.1621313848293565,0.3250334542411748,56.64335664335665,0.1892720977840765
1h,4,24,SHORT (absorbed-green),191,0.18353641714014396,0.10589168793062598,52.35602094240838,0.1892720977840765
1h,6,4,LONG (absorbed-red),42,0.3635949943566276,0.4007712506724159,71.42857142857143,0.03157004372139417
1h,6,4,SHORT (absorbed-green),59,-0.19731262496993288,-0.1399829824609511,42.3728813559322,0.03157004372139417
1h,6,24,LONG (absorbed-red),42,0.262131134409832,0.4752835503807229,64.28571428571429,0.1892720977840765
1h,6,24,SHORT (absorbed-green),59,0.5070237299155782,0.27829758648816316,55.932203389830505,0.1892720977840765
1h,10,4,LONG (absorbed-red),6,1.1637954719962391,0.633598178079442,83.33333333333334,0.03157004372139417
1h,10,4,SHORT (absorbed-green),15,0.08961158657072292,0.07468563632531122,53.333333333333336,0.03157004372139417
1h,10,24,LONG (absorbed-red),6,1.4709795453645018,0.8630171439012235,83.33333333333334,0.1892720977840765
1h,10,24,SHORT (absorbed-green),15,1.3503951773306968,0.5628328843403585,66.66666666666666,0.1892720977840765
