family,config,tf,stop%,target%,max_hold_h,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,n_events_tr_va,realized_cost_bps,gross_edge_bps,base_tool,threshold,k
1-sweep,k5 tol0.05% depth0.3% tgt2x hold3d,1h,0.3153389773919723,0.6306779547839446,72,24,-17.238307913629267,25.0,-4.137193899271018,-4.959943177755412,6,-25.584344812164392,16.666666666666664,-1.5350606887298612,-1.5350606887298637,1.0,1.9333333333333333,FAIL,51,,,,,
1-sweep,k5 tol0.05% depth0.3% tgt2x hold7d,1h,0.3153389773919723,0.6306779547839446,168,21,-22.96399752926161,19.047619047619047,-4.822439481144936,-4.93492781271887,6,-25.584344812164392,16.666666666666664,-1.5350606887298612,-1.5350606887298637,1.0,1.5185185185185186,FAIL,51,,,,,
1-sweep,k5 tol0.05% depth0.3% tgt3x hold3d,1h,0.3153389773919723,0.9460169321759169,72,24,-25.658981184708257,12.5,-6.158155484329986,-7.537029868285828,6,-42.04460862322685,0.0,-2.522676517393607,-2.522676517393611,1.0,3.966666666666667,FAIL,51,,,,,
1-sweep,k5 tol0.05% depth0.3% tgt3x hold7d,1h,0.3153389773919723,0.9460169321759169,168,21,-29.13256509302924,9.523809523809524,-6.117838669536136,-6.5481126493376705,6,-42.04460862322685,0.0,-2.522676517393607,-2.522676517393611,1.0,2.5925925925925926,FAIL,51,,,,,
1-sweep,k5 tol0.05% depth0.6% tgt2x hold3d,1h,0.43033081085738156,0.8606616217147631,72,31,-10.407659781583964,32.25806451612903,-3.226374532291032,-5.226705026716772,6,-31.322762893548617,16.666666666666664,-1.8793657736129177,-1.879365773612917,1.0,4.675675675675675,FAIL,73,,,,,
1-sweep,k5 tol0.05% depth0.6% tgt2x hold7d,1h,0.43033081085738156,0.8606616217147631,168,28,-10.541545138963752,32.142857142857146,-2.9516326389098513,-5.380385713356407,6,-31.322762893548617,16.666666666666664,-1.8793657736129177,-1.879365773612917,1.0,4.529411764705882,FAIL,73,,,,,
1-sweep,k5 tol0.05% depth0.6% tgt3x hold3d,1h,0.43033081085738156,1.2909924325721447,72,31,-13.79647760248231,22.58064516129032,-4.276908056769512,-6.901867863084997,6,-53.28600727743136,0.0,-3.197160436645885,-3.1971604366458815,3.0,6.081081081081081,FAIL,73,,,,,
1-sweep,k5 tol0.05% depth0.6% tgt3x hold7d,1h,0.43033081085738156,1.2909924325721447,168,28,-9.570148995817947,25.0,-2.679641718829029,-5.859450646863513,6,-53.28600727743136,0.0,-3.197160436645885,-3.1971604366458815,3.0,5.764705882352941,FAIL,73,,,,,
1-sweep,k5 tol0.10% depth0.3% tgt2x hold3d,1h,0.30636487325418105,0.6127297465083621,72,52,-9.307094675292284,32.69230769230769,-4.839689231151989,-7.7798786605279195,16,1.4309064487383694,43.75,0.2289450317981334,-1.2472573073819149,1.0,1.9705882352941178,FAIL,129,,,,,
1-sweep,k5 tol0.10% depth0.3% tgt2x hold7d,1h,0.30636487325418105,0.6127297465083621,168,45,-8.691315578169128,33.33333333333333,-3.9110920101761093,-6.620373480743001,13,-3.758085481975286,38.46153846153847,-0.48855111265678763,-1.5050805903679976,1.0,1.6896551724137931,FAIL,129,,,,,
1-sweep,k5 tol0.10% depth0.3% tgt3x hold3d,1h,0.30636487325418105,0.9190946197625431,72,52,-11.6707756700157,23.076923076923077,-6.068803348408169,-8.542738506610496,16,-25.19712306504084,12.5,-4.031539690406538,-4.031539690406535,1.0,3.6323529411764706,FAIL,129,,,,,
1-sweep,k5 tol0.10% depth0.3% tgt3x hold7d,1h,0.30636487325418105,0.9190946197625431,168,45,-12.63162149681856,22.22222222222222,-5.684229673568353,-7.851268869525102,13,-31.142967144880878,7.6923076923076925,-4.048585728834519,-4.048585728834514,1.0,2.4827586206896552,FAIL,129,,,,,
1-sweep,k5 tol0.10% depth0.6% tgt2x hold3d,1h,0.4258013131426538,0.8516026262853076,72,64,-5.513675921483156,35.9375,-3.528752589749218,-6.188038090333212,20,-26.23485556255455,20.0,-5.246971112510912,-5.337312810196155,1.0,4.773809523809524,FAIL,186,,,,,
1-sweep,k5 tol0.10% depth0.6% tgt2x hold7d,1h,0.4258013131426538,0.8516026262853076,168,54,-1.6689275855959986,38.88888888888889,-0.9012208962218438,-4.666232216377594,15,-26.294830727888257,20.0,-3.9442246091832334,-4.035808402579259,1.0,4.492753623188406,FAIL,186,,,,,
1-sweep,k5 tol0.10% depth0.6% tgt3x hold3d,1h,0.4258013131426538,1.2774039394279613,72,64,-14.645931743822388,21.875,-9.373396316046323,-10.833458796217746,20,-34.82270919217872,10.0,-6.9645418384357445,-7.053245928784355,3.0,6.738095238095238,FAIL,186,,,,,
1-sweep,k5 tol0.10% depth0.6% tgt3x hold7d,1h,0.4258013131426538,1.2774039394279613,168,54,-8.095783491073908,25.925925925925924,-4.371723085179912,-7.568204118256053,15,-40.5479191377571,6.666666666666667,-6.082187870663569,-6.1717332360230515,3.0,6.869565217391305,FAIL,186,,,,,
1-sweep,k8 tol0.05% depth0.3% tgt2x hold3d,1h,0.33095674868090097,0.6619134973618019,72,16,2.356346422113461,43.75,0.3770154275381632,-2.069333343295404,3,-8.590406372981306,33.33333333333333,-0.2577121911894409,-0.44064094717930075,1.0,3.789473684210526,FAIL,35,,,,,
1-sweep,k8 tol0.05% depth0.3% tgt2x hold7d,1h,0.33095674868090097,0.6619134973618019,168,15,-1.6646712929252923,40.0,-0.24970069393879246,-2.6372422232276205,3,-8.590406372981306,33.33333333333333,-0.2577121911894409,-0.44064094717930075,0.5,3.7222222222222223,FAIL,35,,,,,
1-sweep,k8 tol0.05% depth0.3% tgt3x hold3d,1h,0.33095674868090097,0.9928702460427029,72,16,16.775941768113853,43.75,2.684150682898223,-1.789148108800763,3,-43.47641969051498,0.0,-1.3042925907154501,-1.3042925907154495,2.0,5.894736842105263,FAIL,35,,,,,
1-sweep,k8 tol0.05% depth0.3% tgt3x hold7d,1h,0.33095674868090097,0.9928702460427029,168,15,11.35629744937966,40.0,1.7034446174069462,-2.3586818084970402,3,-43.47641969051498,0.0,-1.3042925907154501,-1.3042925907154495,1.5,5.722222222222222,FAIL,35,,,,,
1-sweep,k8 tol0.05% depth0.6% tgt2x hold3d,1h,0.49034369885433476,0.9806873977086695,72,20,1.861302909323058,40.0,0.3722605818646141,-4.148767850027897,4,-21.242260915716088,25.0,-0.8496904366286473,-1.4285365374039156,4.0,7.5,FAIL,51,,,,,
