family,config,tf,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,oscillator,k,flavor,buffer_pct,stop_pct,target_pct,max_hold_h,filter_name,exit_n,setup,trigger,level,cost_bps_per_trade,clears_9bps_floor
1-divergence,RSI14 k5 regular buf0.15% tgt2x hold48h,1h,312,-5.860990165767254,39.743589743589745,-18.286289317193827,-46.32351668807991,109,-9.610726472943915,36.69724770642202,-10.475691855508861,-16.202096259328126,15.0,20.71496437054632,FAIL,RSI14,5.0,regular,0.15,1.7207943157229815,3.441588631445963,48.0,,,,,,,
1-divergence,RSI14 k5 regular buf0.15% tgt2x hold96h,1h,218,-10.239586705663967,35.321100917431195,-22.322299018347447,-44.44647673614908,73,-14.547570041751971,32.87671232876712,-10.619726130478934,-19.931442045873094,17.0,27.302405498281786,FAIL,RSI14,5.0,regular,0.15,1.7207943157229815,3.441588631445963,96.0,,,,,,,
1-divergence,RSI14 k5 regular buf0.15% tgt3x hold48h,1h,312,-12.564500043846232,34.294871794871796,-39.201240136800244,-58.94594204533175,109,-16.762493001509945,33.02752293577982,-18.27111737164584,-20.60998684819781,20.0,24.204275534441805,FAIL,RSI14,5.0,regular,0.15,1.7207943157229815,5.162382947168944,48.0,,,,,,,
1-divergence,RSI14 k5 regular buf0.15% tgt3x hold96h,1h,218,-19.245732715205698,27.06422018348624,-41.95569731914842,-54.67006055255482,73,-4.258815464623395,27.397260273972602,-3.1089352891750743,-24.03122881564224,23.0,33.07560137457045,FAIL,RSI14,5.0,regular,0.15,1.7207943157229815,5.162382947168944,96.0,,,,,,,
1-divergence,RSI14 k5 regular buf0.35% tgt2x hold48h,1h,312,-4.460016953599395,41.02564102564102,-13.915252895230113,-39.473316103957245,109,-19.711227760607255,35.77981651376147,-21.485238259061912,-21.485238259061905,19.0,22.79334916864608,FAIL,RSI14,5.0,regular,0.35,1.9207943157229814,3.841588631445963,48.0,,,,,,,
1-divergence,RSI14 k5 regular buf0.35% tgt2x hold96h,1h,218,-2.181304007340968,37.61467889908257,-4.755242736003307,-31.43668220719991,73,-13.883181309963183,32.87671232876712,-10.134722356273118,-21.22405710833801,20.0,29.97938144329897,FAIL,RSI14,5.0,regular,0.35,1.9207943157229814,3.841588631445963,96.0,,,,,,,
1-divergence,RSI14 k5 regular buf0.35% tgt3x hold48h,1h,312,-16.441280835156814,35.57692307692308,-51.296796205689255,-65.01096200278415,109,-32.77283977126585,31.19266055045872,-35.72239535067978,-35.72239535067978,26.0,26.81472684085511,FAIL,RSI14,5.0,regular,0.35,1.9207943157229814,5.762382947168945,48.0,,,,,,,
1-divergence,RSI14 k5 regular buf0.35% tgt3x hold96h,1h,218,-21.36426368706859,27.981651376146786,-46.57409483780952,-56.76132427082495,73,-8.637086991122612,27.397260273972602,-6.305073503519509,-24.92435569477133,27.0,37.233676975945016,FAIL,RSI14,5.0,regular,0.35,1.9207943157229814,5.762382947168945,96.0,,,,,,,
1-divergence,RSI14 k5 hidden buf0.15% tgt2x hold48h,1h,245,-3.725527101193453,37.142857142857146,-9.127541397923956,-26.385997642949473,82,8.738600549997566,39.02439024390244,7.165652450998006,-9.899450656671977,6.0,10.944954128440367,FAIL,RSI14,5.0,hidden,0.15,1.0808506902448234,2.1617013804896468,48.0,,,,,,,
1-divergence,RSI14 k5 hidden buf0.15% tgt2x hold96h,1h,179,2.16630873019923,37.43016759776536,3.877692627056617,-20.70697037308163,61,15.48253632459574,40.98360655737705,9.444347158003396,-6.671781486691379,6.0,11.295833333333333,SURVIVOR,RSI14,5.0,hidden,0.15,1.0808506902448234,2.1617013804896468,96.0,,,,,,,
1-divergence,RSI14 k5 hidden buf0.15% tgt3x hold48h,1h,245,-1.3714019269374205,31.428571428571427,-3.3599347209966823,-24.84352434826253,82,16.398624818615534,32.926829268292686,13.446872351264737,-12.82706882633778,8.0,14.241590214067278,FAIL,RSI14,5.0,hidden,0.15,1.0808506902448234,3.24255207073447,48.0,,,,,,,
1-divergence,RSI14 k5 hidden buf0.15% tgt3x hold96h,1h,179,2.3579028670241384,29.608938547486037,4.220646131973216,-24.15970293715249,61,7.460476245611449,29.508196721311474,4.55089050982298,-13.373222730284013,8.0,16.504166666666666,SURVIVOR,RSI14,5.0,hidden,0.15,1.0808506902448234,3.24255207073447,96.0,,,,,,,
