tool,variant,cell,tr_n,tr_exp,checked_val,va_n,va_exp,verdict
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",UNCONDITIONAL,191,17.2980348819511,True,77,-41.72452758549958,BASELINE
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",trending-up×quiet,4,61.32479870771658,False,0,,"UNRELIABLE (train n<15, not attempted on val)"
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",trending-up×normal,41,6.170720814101337,True,31,-24.94747384839725,FAIL-VAL
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",trending-up×violent,3,192.00343399921016,False,0,,"UNRELIABLE (train n<15, not attempted on val)"
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",trending-down×quiet,13,-41.19621185441625,False,0,,"UNRELIABLE (train n<15, not attempted on val)"
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",trending-down×normal,31,32.229695141012805,True,15,-88.12404772438276,FAIL-VAL
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",trending-down×violent,9,-29.169292017548894,False,0,,"UNRELIABLE (train n<15, not attempted on val)"
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",ranging×quiet,45,8.080569251617836,True,4,-130.5155784025851,INSUFFICIENT-VAL-SAMPLE
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",ranging×normal,54,28.166109859800937,True,16,-12.571240801664203,FAIL-VAL
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",ranging×violent,5,-129.36604846380433,False,0,,"UNRELIABLE (train n<15, not attempted on val)"
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",crowded-long×violent,4,108.43976774587554,False,0,,"UNRELIABLE (train n<15, not attempted on val)"
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",crowded-short×violent,0,0.0,False,0,,"UNRELIABLE (train n<15, not attempted on val)"
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",neutral-crowd×violent,14,-31.15935038987248,False,0,,"UNRELIABLE (train n<15, not attempted on val)"
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",news-hot(13mo-span),0,0.0,False,0,,"UNRELIABLE (train n<15, not attempted on val)"
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",ALL-violent(any trend/crowd),17,-21.63319724593641,False,0,,FAIL-TRAIN
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",session=asia,54,18.00566691929621,True,28,-42.76092773188793,FAIL-VAL
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",session=london,62,6.69225978035704,True,21,-72.86628918410167,FAIL-VAL
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",session=newyork,72,-9.616769450606954,False,0,,FAIL-TRAIN
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",session=off-hours,23,48.95541645435293,True,13,32.42367158137607,REHABILITATED
G1-LONG,"engulfing tf=1h ctx=roll55 wick=None stop=1.5xATR tgt=3.0xstop dir=long (train-only best-of-family, tr_exp=$+17.30 n=191)",session=weekend,45,27.816227560281913,True,15,-82.3540396910276,FAIL-VAL
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",UNCONDITIONAL,408,-3.208170156926991,True,144,-20.597965011806536,BASELINE
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",trending-up×quiet,16,-43.77992979984742,False,0,,FAIL-TRAIN
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",trending-up×normal,87,-9.898559375640511,False,0,,FAIL-TRAIN
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",trending-up×violent,19,-4.237967548182975,False,0,,FAIL-TRAIN
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",trending-down×quiet,31,17.892207219534317,True,10,-8.117954404556803,FAIL-VAL
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",trending-down×normal,68,-14.883373558930677,False,0,,FAIL-TRAIN
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",trending-down×violent,6,-70.01360716896579,False,0,,"UNRELIABLE (train n<15, not attempted on val)"
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",ranging×quiet,98,-9.08494196369314,False,0,,FAIL-TRAIN
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",ranging×normal,103,3.5178176451844796,True,37,-55.675769826967574,FAIL-VAL
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",ranging×violent,8,152.82257466246938,False,0,,"UNRELIABLE (train n<15, not attempted on val)"
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",crowded-long×violent,15,30.574425965408228,True,5,16.989248487310032,INSUFFICIENT-VAL-SAMPLE
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",crowded-short×violent,1,238.144102137745,False,0,,"UNRELIABLE (train n<15, not attempted on val)"
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",neutral-crowd×violent,17,-2.3683520705871,False,0,,FAIL-TRAIN
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",news-hot(13mo-span),0,0.0,False,0,,"UNRELIABLE (train n<15, not attempted on val)"
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",ALL-violent(any trend/crowd),33,20.13851261640781,True,19,3.6189708023749088,REHABILITATED
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",session=asia,98,10.528268411312526,True,34,15.748533435012659,REHABILITATED
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",session=london,99,-10.935579572961146,False,0,,FAIL-TRAIN
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",session=newyork,116,-19.77413912961415,False,0,,FAIL-TRAIN
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",session=off-hours,66,-24.99445895433749,False,0,,FAIL-TRAIN
G1-SHORT,"pin-bar tf=1h ctx=roll20 wick=3 stop=1.5xATR tgt=2.0xstop dir=short (train-only best-of-family, tr_exp=$-3.21 n=408)",session=weekend,149,-0.8233207092822865,False,0,,FAIL-TRAIN
