tool,cell,tr_n,tr_exp,va_n,va_exp,verdict
T6-forensic-short,ALL-violent,48,25.14426329583883,8,193.2542581474679,HOT
T6-forensic-short,crowd=crowded-long,55,24.56671313548167,8,193.2542581474679,HOT
T7-volshock-continuation,crowd=crowded-long,41,36.19379574126762,16,54.69555035824544,HOT
T1-news-momentum,crowd=neutral,200,26.483309524316056,64,1.978273223330774,HOT
T2-hidden-div-4h,crowd=neutral,75,27.62235085462363,30,112.5756563919654,HOT
T5-strikes-rsi3-dip,crowd=neutral,166,57.062796558694735,63,32.08339054453912,HOT
T7-volshock-continuation,crowd=neutral,294,2.2635942133202063,111,46.864654746797406,HOT
T8-bbwidth-squeeze-4h,crowd=neutral,109,19.084920976817816,23,121.64291055496474,HOT
T6-forensic-short,crowded-long×violent,48,25.14426329583883,8,193.2542581474679,HOT
T1-news-momentum,news-hot(13mo-span),196,14.9017169658571,67,17.354649542569874,HOT
T7-volshock-continuation,ranging×normal,120,31.83250239668073,36,47.892436014719756,HOT
T1-news-momentum,ranging×normal×asia,58,24.20442817483095,10,14.039163116498822,HOT
T7-volshock-continuation,ranging×normal×asia,35,5.29226139263753,8,93.511548404304,HOT
T4-donchian20-1h,ranging×normal×london,28,11.069492115036544,8,51.463670904006676,HOT
T7-volshock-continuation,ranging×normal×london,39,59.68373570190992,8,28.48905929509715,HOT
T4-donchian20-1h,ranging×normal×newyork,47,94.34429084781561,15,93.10806394795715,HOT
T7-volshock-continuation,ranging×normal×newyork,72,35.80248814518551,29,40.734211994105735,HOT
T7-volshock-continuation,session=asia,98,14.583198459926614,32,76.75574181161767,HOT
T8-bbwidth-squeeze-4h,session=asia,52,55.40114252658039,12,137.87953958223807,HOT
T8-bbwidth-squeeze-4h,session=london,59,17.853473287493355,11,97.37499588296205,HOT
T3-choch-confluence,session=newyork,30,91.70067444345283,13,383.84877622278873,HOT
T7-volshock-continuation,session=newyork,200,22.619815588185567,91,39.07488473516827,HOT
T8-bbwidth-squeeze-4h,session=newyork,50,35.53500577500643,8,247.2165772383994,HOT
T1-news-momentum,session=off-hours,99,9.51466324557351,28,10.26016698263129,HOT
T5-strikes-rsi3-dip,session=weekend,82,42.33449416504675,26,3.780756845122596,HOT
T7-volshock-continuation,session=weekend,79,9.57615890643234,27,76.48537650084344,HOT
T4-donchian20-1h,trend=ranging,82,20.355952324415806,24,3.638704444307374,HOT
T7-volshock-continuation,trend=ranging,189,15.570615463548425,47,45.66501239727214,HOT
T3-choch-confluence,trend=trending-down,26,93.54170386089797,12,89.51954544581652,HOT
T7-volshock-continuation,trend=trending-down,66,36.86753382378359,34,34.45364781248121,HOT
T5-strikes-rsi3-dip,trend=trending-up,169,47.72108764949035,62,18.766891192980292,HOT
T7-volshock-continuation,trend=trending-up,105,19.992749071256792,45,73.01096291685721,HOT
T8-bbwidth-squeeze-4h,trend=trending-up,26,15.384130168058899,14,33.5752577166074,HOT
T1-news-momentum,trending-down×normal,25,38.38137636125473,12,31.34487402721,HOT
T3-choch-confluence,trending-down×normal,20,54.570300556556866,9,290.8102687484995,HOT
T7-volshock-continuation,trending-down×normal,52,18.899204839748844,21,28.6427291368878,HOT
T1-news-momentum,trending-down×normal×newyork,17,5.44712618426103,9,125.84646665292672,HOT
T5-strikes-rsi3-dip,trending-up×normal,128,19.50476276632645,52,0.6620568635074121,HOT
T7-volshock-continuation,trending-up×normal,68,21.4960674564841,34,59.696810529648836,HOT
T8-bbwidth-squeeze-4h,trending-up×normal,24,9.233268768402695,14,32.22253034231913,HOT
T7-volshock-continuation,trending-up×normal×newyork,41,26.49187175753282,24,32.873820906457546,HOT
T5-strikes-rsi3-dip,trending-up×violent,46,37.833329118514996,16,27.766947525560568,HOT
T1-news-momentum,vol=normal,151,3.349347582337387,54,21.649067102700663,HOT
T5-strikes-rsi3-dip,vol=normal,161,17.810181706905418,60,5.394316072919477,HOT
T7-volshock-continuation,vol=normal,237,27.09163908388578,91,53.71069412575685,HOT
T8-bbwidth-squeeze-4h,vol=normal,79,23.81373722390257,22,53.04516331715397,HOT
T7-volshock-continuation,vol=quiet,100,25.63738186943152,11,179.36981967986023,HOT
T6-forensic-short,vol=violent,48,25.14426329583883,8,193.2542581474679,HOT
