tool,cell,tr_n,tr_exp,va_n,va_exp,verdict
T1-news-momentum,UNCONDITIONAL,201,22.662190424390865,68,5.666999427586154,BASELINE
T1-news-momentum,trending-up×quiet,1,135.9381258411304,0,,UNRELIABLE
T1-news-momentum,trending-up×normal,8,48.08485270922006,0,,UNRELIABLE
T1-news-momentum,trending-up×violent,5,-58.44670228201503,0,,UNRELIABLE
T1-news-momentum,trending-down×quiet,4,61.33781802830799,0,,UNRELIABLE
T1-news-momentum,trending-down×normal,25,38.38137636125473,12,31.34487402721,HOT
T1-news-momentum,trending-down×violent,23,49.912647778896314,6,-50.71554375475747,THIN-VAL
T1-news-momentum,ranging×quiet,58,-1.9555745446891235,0,,COLD
T1-news-momentum,ranging×normal,122,1.1010016882761102,20,-14.997822760767212,FADED
T1-news-momentum,ranging×violent,20,42.673848746584646,11,-49.51133791912203,FADED
T1-news-momentum,trending-up×quiet×asia,0,0.0,0,,UNRELIABLE
T1-news-momentum,trending-up×quiet×london,0,0.0,0,,UNRELIABLE
T1-news-momentum,trending-up×quiet×newyork,0,0.0,0,,UNRELIABLE
T1-news-momentum,trending-up×quiet×off-hours,0,0.0,0,,UNRELIABLE
T1-news-momentum,trending-up×quiet×weekend,1,135.9381258411304,0,,UNRELIABLE
T1-news-momentum,trending-up×normal×asia,3,-129.7447558604787,0,,UNRELIABLE
T1-news-momentum,trending-up×normal×london,3,-10.347024515328181,0,,UNRELIABLE
T1-news-momentum,trending-up×normal×newyork,7,2.8810435444832234,0,,UNRELIABLE
T1-news-momentum,trending-up×normal×off-hours,4,-8.17135111443531,0,,UNRELIABLE
T1-news-momentum,trending-up×normal×weekend,1,235.89434211045227,0,,UNRELIABLE
T1-news-momentum,trending-up×violent×asia,1,-131.00427788533307,0,,UNRELIABLE
T1-news-momentum,trending-up×violent×london,0,0.0,0,,UNRELIABLE
T1-news-momentum,trending-up×violent×newyork,2,-130.31767871500688,0,,UNRELIABLE
T1-news-momentum,trending-up×violent×off-hours,2,49.84581759968478,0,,UNRELIABLE
T1-news-momentum,trending-up×violent×weekend,2,50.74298738338621,0,,UNRELIABLE
T1-news-momentum,trending-down×quiet×asia,1,235.82414152607453,0,,UNRELIABLE
T1-news-momentum,trending-down×quiet×london,0,0.0,0,,UNRELIABLE
T1-news-momentum,trending-down×quiet×newyork,1,-87.12652475608957,0,,UNRELIABLE
T1-news-momentum,trending-down×quiet×off-hours,0,0.0,0,,UNRELIABLE
T1-news-momentum,trending-down×quiet×weekend,3,111.80000689663454,0,,UNRELIABLE
T1-news-momentum,trending-down×normal×asia,12,-0.20538033467770825,0,,UNRELIABLE
T1-news-momentum,trending-down×normal×london,7,-29.79907157267553,0,,UNRELIABLE
T1-news-momentum,trending-down×normal×newyork,17,5.44712618426103,9,125.84646665292672,HOT
T1-news-momentum,trending-down×normal×off-hours,12,12.024725539873089,0,,UNRELIABLE
T1-news-momentum,trending-down×normal×weekend,5,58.23067895843851,0,,UNRELIABLE
T1-news-momentum,trending-down×violent×asia,10,-22.113532391595434,0,,UNRELIABLE
T1-news-momentum,trending-down×violent×london,10,51.96182721095283,0,,UNRELIABLE
T1-news-momentum,trending-down×violent×newyork,20,-29.459132032406433,0,,COLD
T1-news-momentum,trending-down×violent×off-hours,11,-52.88820721227223,0,,UNRELIABLE
T1-news-momentum,trending-down×violent×weekend,4,51.407179161935346,0,,UNRELIABLE
T1-news-momentum,ranging×quiet×asia,18,43.19607794234172,0,0.0,THIN-VAL
T1-news-momentum,ranging×quiet×london,12,-24.04520649698937,0,,UNRELIABLE
T1-news-momentum,ranging×quiet×newyork,23,-4.9279025607985485,0,,COLD
T1-news-momentum,ranging×quiet×off-hours,12,35.40377767855504,0,,UNRELIABLE
T1-news-momentum,ranging×quiet×weekend,31,-37.32151971792072,0,,COLD
T1-news-momentum,ranging×normal×asia,58,24.20442817483095,10,14.039163116498822,HOT
T1-news-momentum,ranging×normal×london,35,3.988948825145625,5,-57.77996009729395,THIN-VAL
T1-news-momentum,ranging×normal×newyork,99,13.208004653342243,11,-17.30232635712855,FADED
T1-news-momentum,ranging×normal×off-hours,59,-1.6166813496714338,0,,COLD
T1-news-momentum,ranging×normal×weekend,16,-47.35232743547931,0,,COLD
T1-news-momentum,ranging×violent×asia,5,14.294109185297566,0,,UNRELIABLE
T1-news-momentum,ranging×violent×london,1,236.021172735891,0,,UNRELIABLE
T1-news-momentum,ranging×violent×newyork,17,7.17612524445758,9,-9.952042665782452,FADED
T1-news-momentum,ranging×violent×off-hours,11,86.94458151553226,0,,UNRELIABLE
T1-news-momentum,ranging×violent×weekend,2,50.711658882866686,0,,UNRELIABLE
T1-news-momentum,crowded-long×violent,0,0.0,0,,UNRELIABLE
T1-news-momentum,crowded-short×violent,4,-40.14774987910096,0,,UNRELIABLE
T1-news-momentum,neutral-crowd×violent,44,0.6947406065670211,28,-23.061939267397715,FADED
T1-news-momentum,news-hot(13mo-span),196,14.9017169658571,67,17.354649542569874,HOT
T1-news-momentum,ALL-violent,44,-7.480605196777023,0,,COLD
T1-news-momentum,session=asia,95,13.215567657855258,34,-32.811410598348736,FADED
T1-news-momentum,session=london,67,7.273525224224844,18,-33.98040014288775,FADED
T1-news-momentum,session=newyork,152,-3.7535641853973005,0,,COLD
T1-news-momentum,session=off-hours,99,9.51466324557351,28,10.26016698263129,HOT
T1-news-momentum,session=weekend,59,-8.489748017732612,0,,COLD
T1-news-momentum,crowd=crowded-long,0,0.0,0,,UNRELIABLE
T1-news-momentum,crowd=crowded-short,5,-57.87877245174968,0,,UNRELIABLE
T1-news-momentum,crowd=neutral,200,26.483309524316056,64,1.978273223330774,HOT
T1-news-momentum,vol=quiet,62,6.9457178947794445,4,-21.210502545161944,THIN-VAL
T1-news-momentum,vol=normal,151,3.349347582337387,54,21.649067102700663,HOT
T1-news-momentum,vol=violent,44,-7.480605196777023,0,,COLD
T1-news-momentum,trend=trending-up,11,32.17381702889113,0,,UNRELIABLE
T1-news-momentum,trend=trending-down,43,34.41369280643013,15,-51.603808688026035,FADED
T1-news-momentum,trend=ranging,160,22.488044788767773,25,-26.61012885466851,FADED
T2-hidden-div-4h,UNCONDITIONAL,91,22.041575277116763,33,80.56278705618212,BASELINE
T2-hidden-div-4h,trending-up×quiet,4,241.83284759036906,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×normal,27,11.155414901624884,11,-70.80869632154298,FADED
T2-hidden-div-4h,trending-up×violent,7,211.86075053247103,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×quiet,3,69.72525158770684,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×normal,23,-23.33166197682302,0,,COLD
T2-hidden-div-4h,trending-down×violent,6,119.64415369163362,0,,UNRELIABLE
T2-hidden-div-4h,ranging×quiet,9,-70.51575520822128,0,,UNRELIABLE
T2-hidden-div-4h,ranging×normal,16,-76.98613330900116,0,,COLD
T2-hidden-div-4h,ranging×violent,2,237.6993277286756,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×quiet×asia,1,-266.84146107542983,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×quiet×london,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×quiet×newyork,2,782.7590822155471,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×quiet×off-hours,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×quiet×weekend,1,-257.2384415591587,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×normal×asia,4,77.24722402465204,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×normal×london,9,258.3766321432213,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×normal×newyork,3,253.48343243446593,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×normal×off-hours,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×normal×weekend,14,-144.56060729158818,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×violent×asia,1,701.7284933648807,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×violent×london,3,177.7676421246409,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×violent×newyork,2,231.72466421155332,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×violent×off-hours,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,trending-up×violent×weekend,2,-261.12591871450513,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×quiet×asia,1,-263.28645074871747,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×quiet×london,1,762.9848500832668,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×quiet×newyork,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×quiet×off-hours,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×quiet×weekend,2,-257.27486521356514,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×normal×asia,4,-121.74935609679096,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×normal×london,9,207.10877793256319,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×normal×newyork,7,-121.69035342212841,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×normal×off-hours,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×normal×weekend,7,-20.955593128144756,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×violent×asia,1,769.2463443030065,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×violent×london,3,166.83833943191894,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×violent×newyork,2,-261.04732430202966,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×violent×off-hours,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,trending-down×violent×weekend,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,ranging×quiet×asia,1,50.33947866012204,0,,UNRELIABLE
T2-hidden-div-4h,ranging×quiet×london,2,-112.89096353620971,0,,UNRELIABLE
T2-hidden-div-4h,ranging×quiet×newyork,3,-258.3963849343224,0,,UNRELIABLE
T2-hidden-div-4h,ranging×quiet×off-hours,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,ranging×quiet×weekend,4,16.067683521960134,0,,UNRELIABLE
T2-hidden-div-4h,ranging×normal×asia,1,-257.86397775838486,0,,UNRELIABLE
T2-hidden-div-4h,ranging×normal×london,3,-144.07158697062732,0,,UNRELIABLE
T2-hidden-div-4h,ranging×normal×newyork,7,-217.75989166793002,0,,UNRELIABLE
T2-hidden-div-4h,ranging×normal×off-hours,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,ranging×normal×weekend,5,219.73601390100848,0,,UNRELIABLE
T2-hidden-div-4h,ranging×violent×asia,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,ranging×violent×london,1,-264.29713036386784,0,,UNRELIABLE
T2-hidden-div-4h,ranging×violent×newyork,1,759.776459620798,0,,UNRELIABLE
T2-hidden-div-4h,ranging×violent×off-hours,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,ranging×violent×weekend,0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,crowded-long×violent,4,514.7719204090367,0,,UNRELIABLE
T2-hidden-div-4h,crowded-short×violent,1,25.914380103788062,0,,UNRELIABLE
T2-hidden-div-4h,neutral-crowd×violent,10,66.34248948513178,0,,UNRELIABLE
T2-hidden-div-4h,news-hot(13mo-span),0,0.0,0,,UNRELIABLE
T2-hidden-div-4h,ALL-violent,15,192.82941236202922,5,145.65107168556534,THIN-VAL
T2-hidden-div-4h,session=asia,14,34.82498835536587,0,,UNRELIABLE
