asset,family,config,gate,direction,n_winners,frac_touched,frac_touched_beyond_2bps
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.3 hold2h,calm-gated,long,3,1.0,0.3333333333333333
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.3 hold2h,calm-gated,short,4,1.0,1.0
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.3 hold2h,ungated,long,5,1.0,0.6
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.3 hold2h,ungated,short,7,1.0,1.0
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.3 hold4h,calm-gated,long,4,1.0,0.25
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.3 hold4h,calm-gated,short,4,1.0,1.0
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.3 hold4h,ungated,long,7,1.0,0.5714285714285714
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.3 hold4h,ungated,short,7,1.0,1.0
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold2h,calm-gated,long,3,1.0,0.3333333333333333
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold2h,calm-gated,short,4,1.0,1.0
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold2h,ungated,long,5,1.0,0.6
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold2h,ungated,short,7,1.0,1.0
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold4h,calm-gated,long,4,1.0,0.25
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold4h,calm-gated,short,4,1.0,1.0
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold4h,ungated,long,7,1.0,0.5714285714285714
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold4h,ungated,short,7,1.0,1.0
BTCUSDT,S2-micro-meanrev,win48 Z2.0,calm-gated,long,243,1.0,0.7695473251028807
BTCUSDT,S2-micro-meanrev,win48 Z2.0,calm-gated,short,282,1.0,0.7553191489361702
BTCUSDT,S2-micro-meanrev,win48 Z2.0,ungated,long,746,1.0,0.82171581769437
BTCUSDT,S2-micro-meanrev,win48 Z2.0,ungated,short,801,1.0,0.7802746566791511
BTCUSDT,S2-micro-meanrev,win48 Z2.5,calm-gated,long,130,1.0,0.7846153846153846
BTCUSDT,S2-micro-meanrev,win48 Z2.5,calm-gated,short,178,1.0,0.8426966292134831
BTCUSDT,S2-micro-meanrev,win48 Z2.5,ungated,long,432,1.0,0.8587962962962963
BTCUSDT,S2-micro-meanrev,win48 Z2.5,ungated,short,448,1.0,0.84375
