construction,tool,n_eligible,n,expectancy,total_return_pct,max_dd_pct,trades_per_day
R66-OR-UNION,T1-news-momentum,20,68,5.6669994275861555,3.8535596107585945,-10.462518996841904,0.14704027389854943
R66-OR-UNION,T2-hidden-div-4h,8,33,80.56278705618212,26.58571972854009,-20.686587605230887,0.07135777998017839
R66-OR-UNION,T3-choch-confluence,4,19,127.0237034272131,24.13450365117049,-16.334992117124543,0.041084782412829986
R66-OR-UNION,T4-donchian20-1h,19,42,-56.14575974493036,-23.581219092870754,-24.855718179896375,0.09081899270204523
R66-OR-UNION,T5-strikes-rsi3-dip,19,76,26.92176405987716,20.460540685506643,-12.144931739631954,0.16433912965131994
R66-OR-UNION,T6-forensic-short,5,8,193.2542581474679,15.460340651797422,-1.8966059893515013,0.01729885575277052
R66-OR-UNION,T7-volshock-continuation,26,125,58.634709578375535,73.29338697296942,-9.136933490080603,0.2702946211370394
R66-OR-UNION,T8-bbwidth-squeeze-4h,13,26,80.0158634447249,20.80412449562847,-10.877632314673216,0.05622128119650419
R2a-top1,T1-news-momentum,20,6,-50.71554375475747,-3.042932625285444,-3.042932625285448,0.012974141814577891
R2a-top1,T2-hidden-div-4h,8,5,145.65107168556534,7.282553584278273,-2.6486947151790012,0.010811784845481575
R2a-top1,T3-choch-confluence,4,12,89.51954544581652,10.742345453497993,-15.999176328159967,0.025948283629155782
R2a-top1,T4-donchian20-1h,19,15,93.10806394795715,13.966209592193568,-2.6288680928271386,0.03243535453644473
R2a-top1,T5-strikes-rsi3-dip,19,6,36.59270275704694,2.1955621654228263,-4.783908832879588,0.012974141814577891
R2a-top1,T6-forensic-short,5,8,193.2542581474679,15.460340651797422,-1.8966059893515013,0.01729885575277052
R2a-top1,T7-volshock-continuation,26,4,-10.78419409675007,-0.4313677638700053,-2.625086176049031,0.00864942787638526
R2a-top1,T8-bbwidth-squeeze-4h,13,7,270.20030129232845,18.914021090462985,-1.8640474031618115,0.015136498783674205
R2a-top2,T1-news-momentum,20,6,-50.71554375475747,-3.042932625285444,-3.042932625285448,0.012974141814577891
R2a-top2,T2-hidden-div-4h,8,5,145.65107168556534,7.282553584278273,-2.6486947151790012,0.010811784845481575
R2a-top2,T3-choch-confluence,4,18,203.2101022599165,36.57781840678498,-12.280727631467665,0.03892242544373367
R2a-top2,T4-donchian20-1h,19,22,16.884298350292656,3.7145456370643926,-5.223646148901709,0.04757185332011893
R2a-top2,T5-strikes-rsi3-dip,19,12,-13.319706906302748,-1.5983648287563268,-7.822623323599243,0.025948283629155782
R2a-top2,T6-forensic-short,5,8,193.2542581474679,15.460340651797422,-1.8966059893515013,0.01729885575277052
R2a-top2,T7-volshock-continuation,26,12,15.316046419129023,1.8379255702954733,-3.569842198894409,0.025948283629155782
R2a-top2,T8-bbwidth-squeeze-4h,13,14,182.59337407702319,25.563072370783257,-3.2304733480420595,0.03027299756734841
R2a-top3,T1-news-momentum,20,16,-65.26941166728307,-10.44310586676529,-11.212993656535494,0.03459771150554104
