tool,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,hold_hours,stop_pct,leverage,notional,gross_pnl,fees,funding_cost,net_pnl,overlap_tag
T-DONCH,1,2016-02-14 00:00:00+00:00,407.2300109863281,2016-03-04 00:00:00+00:00,413.9070129394531,structure_floor,456.0,10.259070797736799,10,2500.0,40.990360318441546,3.0245942161910646,0.0,37.965766102250484,transfer-assumption
T-DONCH,1,2016-03-27 00:00:00+00:00,426.7650146484375,2016-08-01 00:00:00+00:00,611.833984375,structure_floor,3048.0,4.83357832347795,17,4250.0,1843.0356152456238,6.205821369147375,0.0,1836.8297938764765,transfer-assumption
T-DONCH,1,2016-09-03 00:00:00+00:00,598.2119750976562,2016-09-21 00:00:00+00:00,600.5059814453125,structure_floor,432.0,4.945064867685837,17,4250.0,16.297779689126887,5.109778667813475,0.0,11.188001021313411,transfer-assumption
T-DONCH,1,2016-10-07 00:00:00+00:00,617.1209716796875,2017-03-18 00:00:00+00:00,1077.25,structure_floor,3888.0,3.4571764559273106,20,5000.0,3728.0294256402244,8.236817655384135,0.0,3719.7926079848403,transfer-assumption
T-DONCH,1,2017-04-06 00:00:00+00:00,1182.6800537109375,2017-07-10 00:00:00+00:00,2332.989990234375,structure_floor,2280.0,23.5877015208213,10,2500.0,2431.574653081509,4.458944791848905,0.0,2427.1157082896602,transfer-assumption
T-DONCH,1,2017-08-05 00:00:00+00:00,3252.909912109375,2017-09-14 00:00:00+00:00,3674.580078125,structure_floor,960.0,24.658225556609885,10,2500.0,324.0715062888029,3.194442903773282,0.0,320.8770633850296,transfer-assumption
T-DONCH,1,2017-10-01 00:00:00+00:00,4403.740234375,2018-01-16 00:00:00+00:00,12350.099609375,structure_floor,2568.0,33.08823953359959,10,2500.0,4511.1422064429435,5.706685323865767,0.0,4505.435521119078,transfer-assumption
T-DONCH,1,2018-02-20 00:00:00+00:00,11403.7001953125,2018-03-08 00:00:00+00:00,9407.0595703125,structure_floor,384.0,46.96230467273121,10,2500.0,-437.71771240985464,2.7373693725540873,0.0,-440.45508178240874,transfer-assumption
T-DONCH,1,2018-04-20 00:00:00+00:00,8845.830078125,2018-06-10 00:00:00+00:00,7090.68017578125,structure_floor,1224.0,26.215289469239234,10,2500.0,-496.0387795273418,2.7023767322835948,0.0,-498.74115625962537,transfer-assumption
T-DONCH,1,2018-07-07 00:00:00+00:00,6856.93017578125,2018-08-10 00:00:00+00:00,6136.419921875,structure_floor,816.0,15.028883087814684,10,2500.0,-262.69417780098587,2.8423834933194083,0.0,-265.5365612943053,transfer-assumption
