tool,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,hold_hours,stop_pct,leverage,notional,gross_pnl,fees,funding_cost,net_pnl,overlap_tag
SP-DONCH,1,2016-11-09 05:00:00+00:00,185.24635314941406,2017-03-21 04:00:00+00:00,203.01037136468838,structure_floor,3167.0,2.389312726339561,20,5000.0,479.47011947237644,1.0479470119472376,0.0,478.4221724604292,transfer-assumption
SP-DONCH,1,2017-04-25 04:00:00+00:00,206.32395935058594,2017-05-17 04:00:00+00:00,205.58873915342298,structure_floor,528.0,2.531969663163075,20,5000.0,-17.817130872175454,0.9982182869127825,0.0,-18.815349159088235,transfer-assumption
SP-DONCH,1,2017-05-25 04:00:00+00:00,209.10028076171875,2017-06-29 04:00:00+00:00,209.26463242652287,structure_floor,840.0,2.6182865606245014,20,5000.0,3.929972360759367,1.0003929972360759,0.0,2.929579363523291,transfer-assumption
SP-DONCH,1,2017-07-14 04:00:00+00:00,213.4226837158203,2017-08-10 04:00:00+00:00,213.52690125365714,structure_floor,648.0,2.2805037167132145,20,5000.0,2.4415759380010553,1.0002441575938004,0.0,1.441331780407255,transfer-assumption
SP-DIP,1,2017-08-10 04:00:00+00:00,211.85821533203125,2017-08-14 04:00:00+00:00,214.27435302734375,signal_exit,96.0,,10,2500.0,28.511258007222523,0.5028511258007222,0.0,28.008406881421802,in-sample-overlap
SP-DIP,1,2017-11-15 05:00:00+00:00,223.98483276367188,2017-11-16 05:00:00+00:00,225.8889617919922,signal_exit,24.0,,10,2500.0,21.25287909928899,0.5021252879099289,0.0,20.75075381137906,in-sample-overlap
SP-DONCH,1,2017-09-11 04:00:00+00:00,216.59498596191406,2018-02-05 05:00:00+00:00,234.08438313836797,structure_floor,3529.0,2.5199647435966597,20,5000.0,403.7350425907189,1.0403735042590718,0.0,402.6946690864598,transfer-assumption
SP-DIP,1,2018-02-02 05:00:00+00:00,241.8187713623047,2018-02-12 05:00:00+00:00,232.94309997558594,signal_exit,240.0,,10,2500.0,-91.75953687049366,0.4908240463129507,0.0,-92.25036091680661,in-sample-overlap
SP-DIP,1,2018-03-22 04:00:00+00:00,232.40406799316406,2018-03-29 04:00:00+00:00,231.94569396972656,signal_exit,168.0,,10,2500.0,-4.930787436248563,0.49950692125637514,0.0,-5.4302943575049385,in-sample-overlap
SP-DIP,1,2018-04-24 04:00:00+00:00,231.7958984375,2018-04-26 04:00:00+00:00,234.7310028076172,signal_exit,48.0,,10,2500.0,31.65612927043002,0.503165612927043,0.0,31.15296365750298,in-sample-overlap
