dataset,config,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,pooled_win%,pooled_RR,tr/day,verdict
NQ,tight9:30-10:30ET align=ON R1.00,0.6800819705038623,0.6801,96,3.8098162406059637,52.083333333333336,3.6574235909817343,-5.770529682451874,38,-2.791179410005354,50.0,-1.060648175802037,-4.401135499284199,51.49253731343284,1.0328026232937988,0.19039725297495708,FAIL
NQ,tight9:30-10:30ET align=ON R1.33,0.6800819705038623,0.9045,96,0.5212330880077426,48.95833333333333,0.5003837644874221,-6.677441879632069,38,-1.597562580646713,50.0,-0.6070737806457505,-4.66289015862405,49.25373134328358,1.0263599811462238,0.19039725297495708,FAIL
NQ,tight9:30-10:30ET align=ON R2.00,0.6800819705038623,1.3602,96,2.88413463047876,48.95833333333333,2.768769245259617,-6.67744187963205,38,-2.2591611974848043,50.0,-0.85848125504423,-4.695899679875955,49.25373134328358,1.1001624952506392,0.19039725297495708,FAIL
NQ,tight9:30-10:30ET align=ON R3.00,0.6800819705038623,2.0402,96,2.358438660931635,47.91666666666667,2.264101114494377,-6.677441879632006,38,-1.835735845978697,50.0,-0.6975796214718999,-5.018603442032748,48.507462686567166,1.1202299913214775,0.19039725297495708,FAIL
NQ,tight9:30-10:30ET align=OFF R1.00,0.6800819705038623,0.6801,118,5.656340573135451,55.08474576271186,6.674481876299843,-4.778159274508075,45,-2.4957764878044446,48.888888888888886,-1.123099419511997,-3.779537276984251,53.37423312883436,1.0236339440785795,0.23160262861879108,FAIL
NQ,tight9:30-10:30ET align=OFF R1.33,0.6800819705038623,0.9045,118,2.6596995544753756,51.69491525423729,3.1384454742809487,-7.301577071034567,45,-0.5033139432848758,48.888888888888886,-0.22649127447819106,-3.9047424680001845,50.920245398773,1.0461160920676396,0.23160262861879108,FAIL
NQ,tight9:30-10:30ET align=OFF R2.00,0.6800819705038623,1.3602,118,4.76958649795913,51.69491525423729,5.628112067591773,-7.465322352603907,45,-1.3586510787474657,48.888888888888886,-0.6113929854363542,-4.137289544691285,50.920245398773,1.1037785469704484,0.23160262861879108,FAIL
NQ,tight9:30-10:30ET align=OFF R3.00,0.6800819705038623,2.0402,118,3.8319095138390598,50.847457627118644,4.521653226330091,-7.37743668207858,45,-1.0002007559816168,48.888888888888886,-0.4500903401917222,-4.1372895446910425,50.306748466257666,1.1039925926909433,0.23160262861879108,FAIL
NQ,ext9:30-11:30ET align=ON R1.00,0.7708353313512996,0.7708,129,2.698928658976678,51.162790697674424,3.481617970079909,-6.353499799906416,53,2.0615713829657527,54.71698113207547,1.0926328329718515,-2.9648338335160416,52.197802197802204,1.029184916156937,0.25859925404061335,SURVIVOR
NQ,ext9:30-11:30ET align=ON R1.33,0.7708353313512996,1.0252,129,0.29845654017639067,49.6124031007752,0.38500893682753556,-7.688198503027342,53,3.6430353941250018,54.71698113207547,1.9308087588862488,-2.6206368993868567,51.098901098901095,1.0168681031669138,0.25859925404061335,SURVIVOR
NQ,ext9:30-11:30ET align=ON R2.00,0.7708353313512996,1.5417,129,2.5264596688838106,49.6124031007752,3.2591329728601126,-7.21619978284275,53,0.8956547209833483,54.71698113207547,0.4746970021211716,-3.5062979017695026,51.098901098901095,1.0523435274762685,0.25859925404061335,SURVIVOR
NQ,ext9:30-11:30ET align=ON R3.00,0.7708353313512996,2.3125,129,2.405472844197317,48.837209302325576,3.1030599690145433,-6.511811373320343,53,2.3348538267179704,54.71698113207547,1.2374725281605325,-3.5062979017694533,50.54945054945055,1.0911834129134035,0.25859925404061335,SURVIVOR
NQ,ext9:30-11:30ET align=OFF R1.00,0.7584565975016571,0.7585,166,2.5171724267242843,52.40963855421686,4.178506228362311,-6.335991787353609,67,0.15613024733368128,50.74626865671642,0.10460726571357437,-3.426669556828795,51.931330472103,1.0068437595778028,0.33106388017287314,SURVIVOR
NQ,ext9:30-11:30ET align=OFF R1.33,0.7584565975016571,1.0087,166,0.7848469730761062,50.602409638554214,1.3028459753063437,-8.452851217204515,67,2.1498059530395177,50.74626865671642,1.4403699885364718,-2.9464112876373205,50.64377682403433,1.0280916605629933,0.33106388017287314,SURVIVOR
NQ,ext9:30-11:30ET align=OFF R2.00,0.7584565975016571,1.5169,166,1.3461054243847663,50.0,2.2345350044787216,-9.218675406918722,67,-0.43398159436659245,50.74626865671642,-0.29076766822562217,-3.938518121680544,50.21459227467812,1.0290771905439557,0.33106388017287314,FAIL
NQ,ext9:30-11:30ET align=OFF R3.00,0.7584565975016571,2.2754,166,0.8086760502697236,49.39759036144578,1.342402243447749,-8.594780328248277,67,0.6780588615091082,50.74626865671642,0.454299437211092,-3.938518121680597,49.78540772532189,1.0440845961131011,0.33106388017287314,SURVIVOR
ES,tight9:30-10:30ET align=ON R1.00,0.5216549616158739,0.5217,97,-2.2264383551386553,47.42268041237113,-2.159645204484495,-4.5451866627534105,28,-0.08648981947771972,57.14285714285714,-0.02421714945376463,-2.7820011547069448,49.6,0.9143945590626948,0.17855017259850017,FAIL
ES,tight9:30-10:30ET align=ON R1.33,0.5216549616158739,0.6938,97,-4.835040991104609,43.29896907216495,-4.689989761371471,-6.212488859036685,28,1.8525831772434296,57.14285714285714,0.5187232896281646,-2.6155407561375124,46.400000000000006,0.9463795992119877,0.17855017259850017,FAIL
ES,tight9:30-10:30ET align=ON R2.00,0.5216549616158739,1.0433,97,-4.970480792924755,42.2680412371134,-4.8213663691370146,-6.5739442478651196,28,0.44068383831751945,57.14285714285714,0.12339147472890666,-2.634743213938591,45.6,0.9525899046791649,0.17855017259850017,FAIL
ES,tight9:30-10:30ET align=ON R3.00,0.5216549616158739,1.565,97,-4.472695640536557,42.2680412371134,-4.338514771320456,-6.372384737292671,28,2.2871179540503754,57.14285714285714,0.6403930271341007,-2.6347432139386564,45.6,1.0044805993917978,0.17855017259850017,FAIL
ES,tight9:30-10:30ET align=OFF R1.00,0.5204066881896593,0.5204,121,0.4671376309743209,50.413223140495866,0.56523653347893,-3.0188799304793212,41,1.694535908543158,56.09756097560976,0.6947597225027025,-1.897919362920529,51.85185185185185,0.9723864072505463,0.23140102368765622,SURVIVOR
ES,tight9:30-10:30ET align=OFF R1.33,0.5204066881896593,0.6921,121,-1.6124383178351511,47.107438016528924,-1.951050364580531,-5.990617306538456,41,4.295236329440341,56.09756097560976,1.7610468950705505,-1.7303334485545516,49.382716049382715,1.0180576934010537,0.23140102368765622,FAIL
ES,tight9:30-10:30ET align=OFF R2.00,0.5204066881896593,1.0408,121,-2.778603259539688,46.28099173553719,-3.3621099440430235,-7.221206399011275,41,4.519112160465251,56.09756097560976,1.8528359857907573,-1.647584098029196,48.76543209876543,0.9943225396315385,0.23140102368765622,FAIL
ES,tight9:30-10:30ET align=OFF R3.00,0.5204066881896593,1.5612,121,-2.3674751351415377,46.28099173553719,-2.8646449135212637,-7.1649689150361295,41,4.53114350255818,56.09756097560976,1.8577688360488454,-1.8748213239841942,48.76543209876543,1.0131869502342177,0.23140102368765622,FAIL
ES,ext9:30-11:30ET align=ON R1.00,0.5263524168990321,0.5264,132,-0.7147772204646599,51.515151515151516,-0.9435059310133553,-4.098213050110838,43,2.302444451595198,58.139534883720934,0.9900511141859303,-2.7136194663117146,53.142857142857146,0.8832016393464519,0.24997024163790024,FAIL
ES,ext9:30-11:30ET align=ON R1.33,0.5263524168990321,0.7,132,-3.576566229743562,47.72727272727273,-4.721067423261505,-6.190147450484462,43,3.2761502264851474,58.139534883720934,1.4087445973886226,-2.4713284753389777,50.28571428571429,0.8766566749624405,0.24997024163790024,FAIL
ES,ext9:30-11:30ET align=ON R2.00,0.5263524168990321,1.0527,132,-3.181540687878045,46.96969696969697,-4.199633707999018,-5.907745560456236,43,2.3126311981415584,58.139534883720934,0.9944314152008804,-2.496563525852337,49.714285714285715,0.9017569232266691,0.24997024163790024,FAIL
ES,ext9:30-11:30ET align=ON R3.00,0.5263524168990321,1.5791,132,-2.9437224073005215,46.96969696969697,-3.8857135776366847,-5.708779694784837,43,3.5362324359961095,58.139534883720934,1.5205799474783177,-2.4965635258523857,49.714285714285715,0.9307807267604185,0.24997024163790024,FAIL
ES,ext9:30-11:30ET align=OFF R1.00,0.5268077151839579,0.5268,171,1.8297248646374595,54.385964912280706,3.128829518530063,-4.902399848667051,58,4.196193190212273,58.620689655172406,2.4337920503231247,-1.6166579398088892,55.45851528384279,0.9301786198864531,0.3271039162004523,SURVIVOR
ES,ext9:30-11:30ET align=OFF R1.33,0.5268077151839579,0.7007,171,-0.9699092471128203,51.461988304093566,-1.6585448125629232,-6.043283428599674,58,6.1588282514288135,58.620689655172406,3.572120385828703,-1.616657939808899,53.275109170305676,0.9230020417575078,0.3271039162004523,FAIL
ES,ext9:30-11:30ET align=OFF R2.00,0.5268077151839579,1.0536,171,-1.7603430100654847,50.29239766081871,-3.0101865472119793,-6.951388373811934,58,4.353023931464247,56.896551724137936,2.524753880249264,-1.843966618756112,51.96506550218341,0.9123093481639974,0.3271039162004523,FAIL
ES,ext9:30-11:30ET align=OFF R3.00,0.5268077151839579,1.5804,171,-1.5770189230632836,50.29239766081871,-2.696702358438219,-6.774843274856231,58,4.994401703492415,56.896551724137936,2.896752988025608,-1.8439666187561357,51.96506550218341,0.9293247329937616,0.3271039162004523,FAIL
SPY,tight9:30-10:30ET align=ON R1.00,1.1820496390875077,1.182,36,0.012010004208200876,52.77777777777778,0.004323601514943931,-3.4765034836380444,18,-18.64896951087576,27.77777777777778,-3.35681451195764,-3.695973645774739,44.44444444444444,0.9289494035941135,0.0637324809441849,FAIL
SPY,tight9:30-10:30ET align=ON R1.33,1.1820496390875077,1.5721,36,-0.23127260300644695,52.77777777777778,-0.08325813708232044,-3.4765034836380444,18,-18.64896951087576,27.77777777777778,-3.35681451195764,-3.695973645774739,44.44444444444444,0.9205246181139141,0.0637324809441849,FAIL
SPY,tight9:30-10:30ET align=ON R2.00,1.1820496390875077,2.3641,36,-0.23127260300644695,52.77777777777778,-0.08325813708232044,-3.4765034836380444,18,-18.64896951087576,27.77777777777778,-3.35681451195764,-3.695973645774739,44.44444444444444,0.9205246181139141,0.0637324809441849,FAIL
SPY,tight9:30-10:30ET align=ON R3.00,1.1820496390875077,3.5461,36,-0.23127260300644695,52.77777777777778,-0.08325813708232044,-3.4765034836380444,18,-18.64896951087576,27.77777777777778,-3.35681451195764,-3.695973645774739,44.44444444444444,0.9205246181139141,0.0637324809441849,FAIL
SPY,tight9:30-10:30ET align=OFF R1.00,1.2315464414969044,1.2315,83,-6.7131376536752825,49.39759036144578,-5.571904252550485,-7.206144642124827,39,-5.841111615975164,48.717948717948715,-2.2780335302303167,-3.4407086132145563,49.18032786885246,0.7463161254316847,0.14398819768871404,FAIL
SPY,tight9:30-10:30ET align=OFF R1.33,1.2315464414969044,1.638,83,-6.868366753666978,49.39759036144578,-5.70074440554359,-7.3327549949705295,39,-5.841111615975164,48.717948717948715,-2.2780335302303167,-3.4407086132145563,49.18032786885246,0.7415600332668263,0.14398819768871404,FAIL
SPY,tight9:30-10:30ET align=OFF R2.00,1.2315464414969044,2.4631,83,-6.868366753666978,49.39759036144578,-5.70074440554359,-7.3327549949705295,39,-5.841111615975164,48.717948717948715,-2.2780335302303167,-3.4407086132145563,49.18032786885246,0.7415600332668263,0.14398819768871404,FAIL
SPY,tight9:30-10:30ET align=OFF R3.00,1.2315464414969044,3.6946,83,-6.868366753666978,49.39759036144578,-5.70074440554359,-7.3327549949705295,39,-5.841111615975164,48.717948717948715,-2.2780335302303167,-3.4407086132145563,49.18032786885246,0.7415600332668263,0.14398819768871404,FAIL
SPY,ext9:30-11:30ET align=ON R1.00,1.1734105592320287,1.1734,62,-4.3990399307054,48.38709677419355,-2.727404757037344,-7.362384146427116,32,-12.38595051292333,37.5,-3.9635041641354674,-4.685312339332941,44.680851063829785,0.8740387716155227,0.11094172608802558,FAIL
SPY,ext9:30-11:30ET align=ON R1.33,1.1734105592320287,1.5606,62,-4.796907181942603,48.38709677419355,-2.9740824528044163,-7.362384146426996,32,-12.38595051292333,37.5,-3.9635041641354674,-4.685312339332941,44.680851063829785,0.8599574687831318,0.11094172608802558,FAIL
SPY,ext9:30-11:30ET align=ON R2.00,1.1734105592320287,2.3468,62,-4.796907181942603,48.38709677419355,-2.9740824528044163,-7.362384146426996,32,-12.38595051292333,37.5,-3.9635041641354674,-4.685312339332941,44.680851063829785,0.8599574687831318,0.11094172608802558,FAIL
SPY,ext9:30-11:30ET align=ON R3.00,1.1734105592320287,3.5202,62,-4.796907181942603,48.38709677419355,-2.9740824528044163,-7.362384146426996,32,-12.38595051292333,37.5,-3.9635041641354674,-4.685312339332941,44.680851063829785,0.8599574687831318,0.11094172608802558,FAIL
SPY,ext9:30-11:30ET align=OFF R1.00,1.1158078130828242,1.1158,174,-4.0621416614197905,47.701149425287355,-7.068126490870441,-9.259215760036351,62,-5.593962696108446,48.38709677419355,-3.4682568715872386,-4.912126391855127,47.88135593220339,0.8475896287241615,0.27853454634866,FAIL
SPY,ext9:30-11:30ET align=OFF R1.33,1.1158078130828242,1.484,174,-4.1422341347044345,47.701149425287355,-7.207487394385714,-9.086386284091326,62,-5.593962696108446,48.38709677419355,-3.4682568715872386,-4.912126391855127,47.88135593220339,0.8441121703096276,0.27853454634866,FAIL
SPY,ext9:30-11:30ET align=OFF R2.00,1.1158078130828242,2.2316,174,-4.1422341347044345,47.701149425287355,-7.207487394385714,-9.086386284091326,62,-5.593962696108446,48.38709677419355,-3.4682568715872386,-4.912126391855127,47.88135593220339,0.8441121703096276,0.27853454634866,FAIL
SPY,ext9:30-11:30ET align=OFF R3.00,1.1158078130828242,3.3474,174,-4.1422341347044345,47.701149425287355,-7.207487394385714,-9.086386284091326,62,-5.593962696108446,48.38709677419355,-3.4682568715872386,-4.912126391855127,47.88135593220339,0.8441121703096276,0.27853454634866,FAIL
BTC,tight9:30-10:30ET align=ON R1.00,0.5568067570184483,0.5568,60,4.8521604196592305,60.0,2.9112962517955365,-2.1864361879302083,28,-7.112546663352792,50.0,-1.9915130657387814,-3.3166233139632393,56.81818181818182,0.7919510121503026,0.04771102300836976,FAIL
BTC,tight9:30-10:30ET align=ON R1.33,0.5568067570184483,0.7406,60,2.4905730391356884,50.0,1.4943438234814144,-2.9020796318083244,28,-18.41374907914425,35.714285714285715,-5.15584974216039,-7.1233667717020905,45.45454545454545,1.0410064957605698,0.04771102300836976,FAIL
BTC,tight9:30-10:30ET align=ON R2.00,0.5568067570184483,1.1136,60,11.509861630062703,46.666666666666664,6.905916978037618,-3.592610502462607,28,-9.893202754010352,35.714285714285715,-2.7700967711228985,-6.331204122455373,43.18181818181818,1.5008641379305863,0.04771102300836976,FAIL
BTC,tight9:30-10:30ET align=ON R3.00,0.5568067570184483,1.6704,60,7.257618414179615,38.333333333333336,4.3545710485077604,-6.646156729092666,28,-15.135218236569083,28.57142857142857,-4.237861106239338,-5.108484076744759,35.22727272727273,1.8451593055684334,0.04771102300836976,FAIL
BTC,tight9:30-10:30ET align=OFF R1.00,0.5075677900224062,0.5076,118,-4.015456340045279,52.54237288135594,-4.738238481253432,-5.919448289789354,42,-2.260746443575737,54.761904761904766,-0.9495135063018134,-3.2378489177499996,53.125,0.7585784502479489,0.08674731456067229,FAIL
BTC,tight9:30-10:30ET align=OFF R1.33,0.5075677900224062,0.6751,118,-5.669853076293941,44.06779661016949,-6.690426630026847,-7.437968892534909,42,-7.099370789282494,45.23809523809524,-2.981735731498647,-5.289162053943558,44.375,0.9999609155844392,0.08674731456067229,FAIL
BTC,tight9:30-10:30ET align=OFF R2.00,0.5075677900224062,1.0151,118,-3.244354497181367,38.983050847457626,-3.8283383066740173,-6.113936893989859,42,-13.029513873873492,33.33333333333333,-5.472395827026865,-8.08906783549178,37.5,1.3808773224935107,0.08674731456067229,FAIL
BTC,tight9:30-10:30ET align=OFF R3.00,0.5075677900224062,1.5227,118,-0.5487450759711943,34.74576271186441,-0.6475191896460064,-6.8628735318770655,42,-12.874743277877272,28.57142857142857,-5.407392176708459,-8.371533021316893,33.125,1.814289661956967,0.08674731456067229,FAIL
